0:00:01.353404: {Acceleration: {Time: 1324, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1285, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 1288, Status: 1, Value: (-30.5625,29.3125,-14.25)},Gravity: {Time: 1282, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1326, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.470355: {Acceleration: {Time: 1431, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1438, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 1440, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 1434, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1443, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.577592: {Acceleration: {Time: 1540, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1546, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 1548, Status: 1, Value: (-29.8125,28.8125,-16.625)},Gravity: {Time: 1544, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1551, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.670066: {Acceleration: {Time: 1634, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1643, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 1601, Status: 1, Value: (-29.4375,28.5,-16.0)},Gravity: {Time: 1640, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1637, Status: 0, Value: (-0.015380859375,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.762141: {Acceleration: {Time: 1733, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1725, Status: 3, Value: (0.02734375,0.01953125,0.04296875)},Magnetic: {Time: 1729, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 1722, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1735, Status: 0, Value: (-0.01531982421875,-0.00299072265625,-0.39312744140625, 0.91937255859375)}}
0:00:01.873206: {Acceleration: {Time: 1844, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1838, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1840, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 1834, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1847, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:01.957552: {Acceleration: {Time: 1929, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1902, Status: 3, Value: (-0.05078125,-0.01953125,0.00390625)},Magnetic: {Time: 1916, Status: 1, Value: (-28.625,28.4375,-16.0625)},Gravity: {Time: 1899, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1931, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.071748: {Acceleration: {Time: 2042, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2035, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2039, Status: 1, Value: (-29.3125,28.0625,-16.75)},Gravity: {Time: 2032, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2045, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.185684: {Acceleration: {Time: 2159, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2120, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 2123, Status: 1, Value: (-29.8125,28.5,-16.3125)},Gravity: {Time: 2106, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2156, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.277339: {Acceleration: {Time: 2251, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2219, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2221, Status: 1, Value: (-30.0,28.5625,-15.125)},Gravity: {Time: 2217, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2248, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:02.392353: {Acceleration: {Time: 2358, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2366, Status: 3, Value: (0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 2300, Status: 1, Value: (-28.75,28.125,-14.875)},Gravity: {Time: 2364, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2360, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
