0:00:04.718769: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.04030710458755493, Phase: 11730.3818359375
0:00:04.834437: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.035830773413181305, Phase: 11731.1103515625
0:00:04.932015: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.03246436268091202, Phase: 11731.720703125
0:00:05.018285: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.029720952734351158, Phase: 11732.267578125
0:00:05.142680: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.026202207431197166, Phase: 11733.046875
0:00:05.235905: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.02384006232023239, Phase: 11733.630859375
0:00:05.334447: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.02155551314353943, Phase: 11734.2529296875
0:00:05.441460: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.01933988928794861, Phase: 11734.92578125
0:00:05.525617: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.017742129042744637, Phase: 11735.4599609375
0:00:05.646488: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.015705471858382225, Phase: 11736.21484375
0:00:05.745860: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.014185776934027672, Phase: 11736.8427734375
0:00:05.837009: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.012933572754263878, Phase: 11737.4140625
0:00:05.935255: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0117062171921134, Phase: 11738.029296875
0:00:06.035319: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.010562505573034286, Phase: 11738.6650390625
0:00:06.157169: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.00933064240962267, Phase: 11739.431640625
0:00:06.255560: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.008445310406386852, Phase: 11740.0478515625
0:00:06.348065: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.007683072239160538, Phase: 11740.6328125
0:00:06.433421: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.007048322353512049, Phase: 11741.1669921875
0:00:06.532592: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.006369356065988541, Phase: 11741.7958984375
0:00:06.646234: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0056795384734869, Phase: 11742.5068359375
0:00:06.748541: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.005114217754453421, Phase: 11743.1533203125
0:00:06.860254: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.004569718614220619, Phase: 11743.8515625
0:00:06.956321: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.004140437114983797, Phase: 11744.4609375
0:00:07.042643: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0037944118957966566, Phase: 11745.0009765625
0:00:07.156162: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.003379975678399205, Phase: 11745.716796875
0:00:07.255604: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0030561184976249933, Phase: 11746.3388671875
