0:00:03.499778: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.62245178222656, Phase Shift: 0.001044547650963068, Phase: 9484.296875
0:00:03.593559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.5510482788086, Phase Shift: 0.0009536385186947882, Phase: 9484.296875
0:00:03.687343: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.48202514648438, Phase Shift: 0.0008697268785908818, Phase: 9484.296875
0:00:03.749962: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.41608428955078, Phase Shift: 0.0007932117441669106, Phase: 9484.296875
0:00:03.859183: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.35445404052734, Phase Shift: 0.0007249320624396205, Phase: 9484.296875
0:00:03.952934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.29352569580078, Phase Shift: 0.0006604493246413767, Phase: 9484.296875
0:00:04.046684: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.23471069335938, Phase Shift: 0.0006010848446749151, Phase: 9484.296875
0:00:04.140642: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.17916870117188, Phase Shift: 0.0005476232036016881, Phase: 9484.296875
0:00:04.265433: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.10417175292969, Phase Shift: 0.0004794697742909193, Phase: 9484.296875
0:00:04.359377: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.05503845214844, Phase Shift: 0.0004372807452455163, Phase: 9484.296875
0:00:04.437279: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 91.00860595703125, Phase Shift: 0.0003992259444203228, Phase: 9484.296875
0:00:04.515627: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.9632339477539, Phase Shift: 0.00036372276372276247, Phase: 9484.296875
0:00:04.624809: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.92084503173828, Phase Shift: 0.00033206725493073463, Phase: 9484.296875
0:00:04.702935: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.88077545166016, Phase Shift: 0.0003034852270502597, Phase: 9484.296875
0:00:04.796679: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.8420181274414, Phase Shift: 0.00027707411209121346, Phase: 9484.296875
0:00:04.890598: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.8057861328125, Phase Shift: 0.0002534895611461252, Phase: 9484.296875
0:00:05.015543: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.75531005859375, Phase Shift: 0.0002224041090812534, Phase: 9484.296875
0:00:05.109345: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.7217025756836, Phase Shift: 0.00020283811318222433, Phase: 9484.296875
0:00:05.187320: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.68923950195312, Phase Shift: 0.0001847984967753291, Phase: 9484.296875
0:00:05.281055: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.65890502929688, Phase Shift: 0.0001687151234364137, Phase: 9484.296875
0:00:05.374808: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.62958526611328, Phase Shift: 0.00015387088933493942, Phase: 9484.296875
0:00:05.468603: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.60157012939453, Phase Shift: 0.00014033025945536792, Phase: 9484.296875
0:00:05.546654: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.5750961303711, Phase Shift: 0.00012811787019018084, Phase: 9484.296875
0:00:05.640435: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.54923248291016, Phase Shift: 0.00011672409164020792, Phase: 9484.296875
0:00:05.734185: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.52452087402344, Phase Shift: 0.00010634148202370852, Phase: 9484.296875
0:00:05.827934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.50067138671875, Phase Shift: 9.678265632828698e-05, Phase: 9484.296875
0:00:05.952935: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.46906280517578, Phase Shift: 8.482434350298718e-05, Phase: 9484.296875
0:00:06.046851: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.44888305664062, Phase Shift: 7.760459993733093e-05, Phase: 9484.296875
0:00:06.124779: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.42912292480469, Phase Shift: 7.085098332026973e-05, Phase: 9484.296875
