0:00:03.940175: Frequency: 0.0, Amplitude: 2.984625599165428e-41, Offset: 89.99952697753906, Phase Shift: 4.3860641933366774e-43, Phase: 10241.12890625
0:00:04.044048: Frequency: 0.0, Amplitude: 2.687970714267864e-41, Offset: 89.99952697753906, Phase Shift: 3.923635700109488e-43, Phase: 10241.7841796875
0:00:04.147774: Frequency: 0.0, Amplitude: 2.420602967274689e-41, Offset: 89.99952697753906, Phase Shift: 3.5592980993850354e-43, Phase: 10242.439453125
0:00:04.251592: Frequency: 0.0, Amplitude: 2.1798598911036854e-41, Offset: 89.99952697753906, Phase Shift: 3.208973483303831e-43, Phase: 10243.0947265625
0:00:04.342756: Frequency: 0.0, Amplitude: 1.9891431701090778e-41, Offset: 89.99952697753906, Phase Shift: 2.9147008057956195e-43, Phase: 10243.66796875
0:00:04.446567: Frequency: 0.0, Amplitude: 1.7914199567928461e-41, Offset: 89.99952697753906, Phase Shift: 2.634441112930656e-43, Phase: 10244.3232421875
0:00:04.550429: Frequency: 0.0, Amplitude: 1.613034662284297e-41, Offset: 89.99952697753906, Phase Shift: 2.396220373995437e-43, Phase: 10244.978515625
0:00:04.654285: Frequency: 0.0, Amplitude: 1.4527261179655379e-41, Offset: 89.99952697753906, Phase Shift: 2.1579996350602183e-43, Phase: 10245.6337890625
0:00:04.745391: Frequency: 0.0, Amplitude: 1.3254882174048445e-41, Offset: 89.99952697753906, Phase Shift: 1.961817850054744e-43, Phase: 10246.20703125
0:00:04.849187: Frequency: 0.0, Amplitude: 1.1937661617583117e-41, Offset: 89.99952697753906, Phase Shift: 1.7376100957627732e-43, Phase: 10246.8623046875
0:00:04.953031: Frequency: 0.0, Amplitude: 1.0752163116764321e-41, Offset: 89.99952697753906, Phase Shift: 1.5694542800437951e-43, Phase: 10247.517578125
0:00:05.056775: Frequency: 0.0, Amplitude: 9.682972388484486e-42, Offset: 89.99952697753906, Phase Shift: 1.4433374182545616e-43, Phase: 10248.1728515625
0:00:05.147905: Frequency: 0.0, Amplitude: 8.835186817567972e-42, Offset: 89.99952697753906, Phase Shift: 1.3312335411085762e-43, Phase: 10248.74609375
0:00:05.251809: Frequency: 0.0, Amplitude: 7.953770083507662e-42, Offset: 89.99952697753906, Phase Shift: 1.2191296639625909e-43, Phase: 10249.4013671875
0:00:05.355579: Frequency: 0.0, Amplitude: 7.163437749628465e-42, Offset: 89.99952697753906, Phase Shift: 1.1070257868166055e-43, Phase: 10250.056640625
0:00:05.459463: Frequency: 0.0, Amplitude: 6.451578129751458e-42, Offset: 89.99952697753906, Phase Shift: 9.949219096706201e-44, Phase: 10250.7119140625
0:00:05.563289: Frequency: 0.0, Amplitude: 5.809783433090692e-42, Offset: 89.99952697753906, Phase Shift: 8.828180325246348e-44, Phase: 10251.3671875
0:00:05.654457: Frequency: 0.0, Amplitude: 5.301112090540783e-42, Offset: 89.99952697753906, Phase Shift: 7.847271400218976e-44, Phase: 10251.9404296875
0:00:05.758156: Frequency: 0.0, Amplitude: 4.7756251664189766e-42, Offset: 89.99952697753906, Phase Shift: 6.726232628759122e-44, Phase: 10252.595703125
0:00:05.862052: Frequency: 0.0, Amplitude: 4.3005849870128636e-42, Offset: 89.99952697753906, Phase Shift: 5.605193857299268e-44, Phase: 10253.2509765625
0:00:05.965836: Frequency: 0.0, Amplitude: 3.874590253858119e-42, Offset: 89.99952697753906, Phase Shift: 5.324934164434305e-44, Phase: 10253.90625
0:00:06.069564: Frequency: 0.0, Amplitude: 3.4906344746331193e-42, Offset: 89.99952697753906, Phase Shift: 5.184804318001823e-44, Phase: 10254.5615234375
0:00:06.173404: Frequency: 0.0, Amplitude: 3.148717649337864e-42, Offset: 89.99952697753906, Phase Shift: 5.044674471569341e-44, Phase: 10255.2099609375
0:00:06.264477: Frequency: 0.0, Amplitude: 2.8698592549372254e-42, Offset: 89.99952697753906, Phase Shift: 4.90454462513686e-44, Phase: 10255.7890625
0:00:06.368331: Frequency: 0.0, Amplitude: 2.5839943682149627e-42, Offset: 89.99952697753906, Phase Shift: 4.764414778704378e-44, Phase: 10256.4443359375
0:00:06.472070: Frequency: 0.0, Amplitude: 2.3303593461721708e-42, Offset: 89.99952697753906, Phase Shift: 4.624284932271896e-44, Phase: 10257.0927734375
0:00:06.575822: Frequency: 0.0, Amplitude: 2.097743801094251e-42, Offset: 89.99952697753906, Phase Shift: 4.484155085839415e-44, Phase: 10257.7470703125
0:00:06.667093: Frequency: 0.0, Amplitude: 1.9113711053390505e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10258.326171875
0:00:06.770903: Frequency: 0.0, Amplitude: 1.723597111119525e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10258.9814453125
0:00:06.874618: Frequency: 0.0, Amplitude: 1.555441295400547e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10259.6298828125
0:00:06.978533: Frequency: 0.0, Amplitude: 1.401298464324817e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10260.2841796875
0:00:07.082230: Frequency: 0.0, Amplitude: 1.2625699163566602e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10260.9384765625
0:00:07.173386: Frequency: 0.0, Amplitude: 1.1518673376749996e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10261.517578125
0:00:07.277177: Frequency: 0.0, Amplitude: 1.0369608636003646e-42, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10262.1728515625
0:00:07.380972: Frequency: 0.0, Amplitude: 9.34666075704653e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10262.828125
0:00:07.472205: Frequency: 0.0, Amplitude: 8.533907647738136e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10263.4013671875
0:00:07.576102: Frequency: 0.0, Amplitude: 7.679115584499998e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10264.056640625
0:00:07.679858: Frequency: 0.0, Amplitude: 6.908401429121348e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10264.7119140625
0:00:07.783748: Frequency: 0.0, Amplitude: 6.221765181602188e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10265.3671875
0:00:07.874712: Frequency: 0.0, Amplitude: 5.675258780515509e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10265.9404296875
0:00:07.978534: Frequency: 0.0, Amplitude: 5.100726410142334e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10266.595703125
0:00:08.082312: Frequency: 0.0, Amplitude: 4.610271947628648e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10267.2509765625
0:00:08.185985: Frequency: 0.0, Amplitude: 4.1478434544014585e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10267.8994140625
0:00:08.289878: Frequency: 0.0, Amplitude: 3.7274539151040134e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10268.5537109375
0:00:08.393604: Frequency: 0.0, Amplitude: 3.377129299022809e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10269.2080078125
0:00:08.484698: Frequency: 0.0, Amplitude: 3.0688436368713494e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10269.787109375
0:00:08.588505: Frequency: 0.0, Amplitude: 2.7605579747198896e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10270.435546875
0:00:08.692285: Frequency: 0.0, Amplitude: 2.5223372357846707e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10271.08984375
0:00:08.796095: Frequency: 0.0, Amplitude: 2.284116496849452e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10271.744140625
0:00:08.887220: Frequency: 0.0, Amplitude: 2.0879347118439774e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10272.3173828125
0:00:08.991031: Frequency: 0.0, Amplitude: 1.8637269575520067e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10272.9716796875
0:00:09.094862: Frequency: 0.0, Amplitude: 1.6535321879032841e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10273.6259765625
0:00:09.198645: Frequency: 0.0, Amplitude: 1.5274153261140506e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10274.2802734375
0:00:09.289709: Frequency: 0.0, Amplitude: 1.4153114489680652e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10274.853515625
0:00:09.393519: Frequency: 0.0, Amplitude: 1.2891945871788317e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10275.5078125
0:00:09.497343: Frequency: 0.0, Amplitude: 1.1770907100328463e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10276.162109375
0:00:09.601177: Frequency: 0.0, Amplitude: 1.064986832886861e-43, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10276.81640625
0:00:09.705009: Frequency: 0.0, Amplitude: 9.528829557408756e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10277.470703125
0:00:09.796181: Frequency: 0.0, Amplitude: 8.547920632381384e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10278.0498046875
0:00:09.900058: Frequency: 0.0, Amplitude: 7.42688186092153e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10278.6982421875
0:00:10.004176: Frequency: 0.0, Amplitude: 6.305843089461677e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10279.3525390625
0:00:10.107723: Frequency: 0.0, Amplitude: 5.465064010866787e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10280.0068359375
0:00:10.198809: Frequency: 0.0, Amplitude: 5.324934164434305e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10280.5859375
0:00:10.302608: Frequency: 0.0, Amplitude: 5.184804318001823e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10281.234375
0:00:10.406488: Frequency: 0.0, Amplitude: 5.044674471569341e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10281.888671875
0:00:10.510247: Frequency: 0.0, Amplitude: 4.90454462513686e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10282.54296875
0:00:10.614015: Frequency: 0.0, Amplitude: 4.764414778704378e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10283.197265625
0:00:10.705237: Frequency: 0.0, Amplitude: 4.624284932271896e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10283.7763671875
0:00:10.809023: Frequency: 0.0, Amplitude: 4.624284932271896e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10284.431640625
0:00:10.913043: Frequency: 0.0, Amplitude: 4.624284932271896e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10285.080078125
0:00:11.016611: Frequency: 0.0, Amplitude: 4.484155085839415e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10285.734375
0:00:11.120425: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10286.388671875
0:00:11.211702: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10286.9609375
0:00:11.315342: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10287.615234375
0:00:11.419204: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10288.26953125
0:00:11.522995: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10288.923828125
0:00:11.614148: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10289.5029296875
0:00:11.718051: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10290.158203125
0:00:11.821812: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10290.806640625
0:00:11.925652: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10291.4609375
