0:00:01.350741 {Acceleration: {Time: 1323, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1260, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1262, Status: 1, Value: (-31.9375,30.25,-16.4375)},Gravity: {Time: 1257, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1326, Status: 0, Value: (-0.0157470703125,-0.00262451171875,-0.399658203125, 0.91656494140625)}}
0:00:01.456673 {Acceleration: {Time: 1429, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 1422, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 1425, Status: 1, Value: (-30.125,28.125,-17.125)},Gravity: {Time: 1418, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1432, Status: 0, Value: (-0.01568603515625,-0.00262451171875,-0.39959716796875, 0.91656494140625)}}
0:00:01.537382 {Acceleration: {Time: 1510, Status: 0, Value: (-0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 1490, Status: 3, Value: (-0.01171875,0.05859375,0.00390625)},Magnetic: {Time: 1504, Status: 1, Value: (-31.5625,30.5625,-16.4375)},Gravity: {Time: 1486, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1484, Status: 0, Value: (-0.015625,-0.00262451171875,-0.399658203125, 0.91656494140625)}}
0:00:01.644133 {Acceleration: {Time: 1607, Status: 0, Value: (0.005859375,0.00390625,-0.00390625)},Gyroscope: {Time: 1614, Status: 3, Value: (-0.01171875,-0.01953125,-0.0703125)},Magnetic: {Time: 1616, Status: 1, Value: (-29.6875,29.375,-17.875)},Gravity: {Time: 1610, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1619, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.755798 {Acceleration: {Time: 1728, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1722, Status: 3, Value: (0.03515625,0.01953125,-0.0703125)},Magnetic: {Time: 1724, Status: 1, Value: (-29.875,29.4375,-16.6875)},Gravity: {Time: 1719, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 1731, Status: 0, Value: (-0.01556396484375,-0.00250244140625,-0.399658203125, 0.91650390625)}}
0:00:01.844009 {Acceleration: {Time: 1816, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1790, Status: 3, Value: (-0.01171875,-0.0546875,-0.03515625)},Magnetic: {Time: 1804, Status: 1, Value: (-31.375,28.875,-16.9375)},Gravity: {Time: 1787, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1819, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.399658203125, 0.91656494140625)}}
0:00:01.957761 {Acceleration: {Time: 1931, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 1903, Status: 3, Value: (-0.05078125,-0.01953125,-0.0703125)},Magnetic: {Time: 1917, Status: 1, Value: (-30.875,29.125,-17.75)},Gravity: {Time: 1900, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1933, Status: 0, Value: (-0.015625,-0.00250244140625,-0.399658203125, 0.91650390625)}}
0:00:02.041893 {Acceleration: {Time: 2017, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 1980, Status: 3, Value: (0.02734375,0.01953125,0.08984375)},Magnetic: {Time: 1983, Status: 1, Value: (-31.4375,29.5,-16.875)},Gravity: {Time: 1977, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2014, Status: 0, Value: (-0.01556396484375,-0.00244140625,-0.39971923828125, 0.91650390625)}}
0:00:02.155587 {Acceleration: {Time: 2131, Status: 0, Value: (-0.00390625,-0.001953125,0.00390625)},Gyroscope: {Time: 2094, Status: 3, Value: (-0.01171875,0.05859375,-0.03515625)},Magnetic: {Time: 2096, Status: 1, Value: (-31.5,28.9375,-16.125)},Gravity: {Time: 2090, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2127, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39971923828125, 0.91650390625)}}
0:00:02.269079 {Acceleration: {Time: 2237, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2245, Status: 3, Value: (-0.01953125,-0.0546875,-0.03515625)},Magnetic: {Time: 2180, Status: 1, Value: (-28.6875,29.0625,-16.125)},Gravity: {Time: 2242, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2239, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39971923828125, 0.91650390625)}}
0:00:02.365080 {Acceleration: {Time: 2332, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 2341, Status: 3, Value: (0.05859375,-0.01953125,0.00390625)},Magnetic: {Time: 2279, Status: 1, Value: (-30.25,28.875,-16.375)},Gravity: {Time: 2338, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2334, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39971923828125, 0.91650390625)}}
0:00:02.458476 {Acceleration: {Time: 2432, Status: 0, Value: (0.005859375,-0.001953125,-0.001953125)},Gyroscope: {Time: 2401, Status: 3, Value: (-0.05859375,0.05859375,0.08203125)},Magnetic: {Time: 2404, Status: 1, Value: (-30.875,29.4375,-17.75)},Gravity: {Time: 2397, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2426, Status: 0, Value: (-0.01556396484375,-0.00244140625,-0.3997802734375, 0.91650390625)}}
0:00:02.570091 {Acceleration: {Time: 2544, Status: 0, Value: (0.001953125,-0.00390625,0.0)},Gyroscope: {Time: 2519, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 2533, Status: 1, Value: (-30.125,28.75,-17.4375)},Gravity: {Time: 2517, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2546, Status: 0, Value: (-0.015625,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:02.652220 {Acceleration: {Time: 2628, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2619, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 2623, Status: 1, Value: (-30.3125,29.8125,-16.625)},Gravity: {Time: 2616, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2625, Status: 0, Value: (-0.015625,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:02.759148 {Acceleration: {Time: 2726, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2736, Status: 3, Value: (-0.01171875,-0.0546875,-0.02734375)},Magnetic: {Time: 2676, Status: 1, Value: (-31.375,29.8125,-17.625)},Gravity: {Time: 2733, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2729, Status: 0, Value: (-0.01556396484375,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
0:00:02.854245 {Acceleration: {Time: 2827, Status: 0, Value: (0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 2792, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 2768, Status: 1, Value: (-31.6875,28.875,-17.6875)},Gravity: {Time: 2789, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2831, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.3997802734375, 0.91644287109375)}}
0:00:02.960128 {Acceleration: {Time: 2934, Status: 0, Value: (-0.001953125,0.00390625,0.00390625)},Gyroscope: {Time: 2914, Status: 3, Value: (0.02734375,-0.0546875,0.01171875)},Magnetic: {Time: 2928, Status: 1, Value: (-29.875,28.8125,-16.375)},Gravity: {Time: 2912, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2908, Status: 0, Value: (-0.01544189453125,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.068996 {Acceleration: {Time: 3046, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 2986, Status: 3, Value: (-0.0859375,0.05859375,-0.0625)},Magnetic: {Time: 2988, Status: 1, Value: (-31.375,29.1875,-17.25)},Gravity: {Time: 2982, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3042, Status: 0, Value: (-0.01544189453125,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.174932 {Acceleration: {Time: 3144, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3117, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 3119, Status: 1, Value: (-30.6875,29.8125,-16.625)},Gravity: {Time: 3152, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3146, Status: 0, Value: (-0.015380859375,-0.00238037109375,-0.39984130859375, 0.91644287109375)}}
0:00:03.272050 {Acceleration: {Time: 3241, Status: 0, Value: (0.0,0.00390625,0.001953125)},Gyroscope: {Time: 3249, Status: 3, Value: (-0.01953125,-0.0546875,-0.03515625)},Magnetic: {Time: 3210, Status: 1, Value: (-30.0625,29.375,-18.1875)},Gravity: {Time: 3247, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3243, Status: 0, Value: (-0.01544189453125,-0.00244140625,-0.39984130859375, 0.91644287109375)}}
