Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.035834, 0.0, 0.0, 90.0, 0.0, 39837.02734375
0:00:00.132024, 0.0, 0.0, 90.0, 0.0, 39837.62890625
0:00:00.231142, 0.0, 0.0, 90.0, 0.0, 39838.2578125
0:00:00.352792, 0.0, 0.0, 90.0, 0.0, 39839.01953125
0:00:00.445670, 0.0, 0.0, 90.0, 0.0, 39839.59765625
0:00:00.535044, 0.0, 0.0, 90.0, 0.0, 39840.16015625
0:00:00.632305, 0.0, 0.0, 90.0, 0.0, 39840.76953125
0:00:00.747997, 0.0, 0.0, 90.0, 0.0, 39841.5
0:00:00.854917, 0.0, 0.0, 90.0, 0.0, 39842.171875
0:00:00.942087, 0.0, 0.0, 90.0, 0.0, 39842.71875
0:00:01.042233, 0.0, 0.0, 90.0, 0.0, 39843.34765625
0:00:01.143156, 0.0, 0.0, 90.0, 0.0, 39843.984375
0:00:01.249964, 0.0, 0.0, 90.0, 0.0, 39844.65625
0:00:01.348342, 0.0, 0.0, 90.0, 0.0, 39845.28125
0:00:01.461887, 0.0, 0.0, 90.0, 0.0, 39845.9921875
0:00:01.565337, 0.0, 0.0, 90.0, 0.0, 39846.640625
0:00:01.651239, 0.0, 0.0, 90.0, 0.0, 39847.1796875
0:00:01.771698, 0.0, 0.0, 90.0, 0.0, 39847.9375
0:00:01.859084, 0.0, 0.0, 90.0, 0.0, 39848.48046875
0:00:01.966851, 0.0, 0.0, 90.0, 0.0, 39849.15625
0:00:02.061255, 0.0, 0.0, 90.0, 0.0, 39849.74609375
0:00:02.156830, 0.0, 0.0, 90.0, 0.0, 39850.34765625
0:00:02.281985, 0.0, 0.0, 90.0, 0.0, 39851.13671875
0:00:02.382106, 0.0, 0.0, 90.0, 0.0, 39851.7734375
0:00:02.483565, 0.0, 0.0, 90.0, 0.0, 39852.41015625
0:00:02.582701, 0.0, 0.0, 90.0, 0.0, 39853.03125
0:00:02.684989, 0.0, 0.0, 90.0, 0.0, 39853.67578125
0:00:02.772271, 0.0, 0.0, 90.0, 0.0, 39854.22265625
0:00:02.882175, 0.0, 0.0, 90.0, 0.0, 39854.9140625
0:00:02.969445, 0.0, 0.0, 90.0, 0.0, 39855.4609375
0:00:03.079894, 0.0, 0.0, 90.0, 0.0, 39856.15625
0:00:03.194369, 0.0, 0.0, 90.0, 0.0, 39856.87890625
0:00:03.286770, 0.0, 0.0, 90.0, 0.0, 39857.45703125
0:00:03.385185, 0.0, 0.0, 90.0, 0.0, 39858.07421875
0:00:03.481493, 0.0, 0.0, 90.0, 0.0, 39858.68359375
0:00:03.581901, 0.0, 0.0, 90.0, 0.0, 39859.3125
0:00:03.697435, 0.0, 0.0, 90.0, 0.0, 39860.04296875
0:00:03.783510, 0.0, 0.0, 90.0, 0.0, 39860.58203125
0:00:03.882744, 0.0, 0.0, 90.0, 0.0, 39861.2109375
0:00:03.989946, 0.0, 0.0, 90.0, 0.0, 39861.8828125
0:00:04.076902, 0.0, 0.0, 90.0, 0.0, 39862.43359375
0:00:04.192754, 0.0, 0.0, 90.0, 0.0, 39863.16015625
0:00:04.275655, 0.0, 0.0, 90.0, 0.0, 39863.6796875
0:00:04.399900, 0.0, 0.0, 90.0, 0.0, 39864.4609375
0:00:04.477496, 0.0, 0.0, 90.0, 0.0, 39864.94921875
0:00:04.594077, 0.0, 0.0, 90.0, 0.0, 39865.6796875
0:00:04.686624, 0.0, 0.0, 90.0, 0.0, 39866.25390625
0:00:04.782085, 0.0, 0.0, 90.0, 0.0, 39866.85546875
0:00:04.899629, 0.0, 0.0, 90.0, 0.0, 39867.58984375
0:00:05.009215, 0.0, 0.0, 90.0, 0.0, 39868.28125
0:00:05.087805, 0.0, 0.0, 90.0, 0.0, 39868.77734375
0:00:05.204387, 0.0, 0.0, 90.0, 0.0, 39869.51171875
