0:00:01.638644 {Acceleration: {Time: 1595, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1580, Status: 3, Value: (-0.00390625,0.00390625,-0.00390625)},Magnetic: {Time: 1583, Status: 2, Value: (8.1875,-19.625,-47.375)},Gravity: {Time: 1566, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 1590, Status: 2, Value: (-0.01043701171875,0.00408935546875,0.98138427734375, 0.1917724609375)}}
0:00:01.757874 {Acceleration: {Time: 1704, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1711, Status: 3, Value: (-0.00390625,0.00390625,-0.00390625)},Magnetic: {Time: 1639, Status: 2, Value: (8.5625,-18.875,-48.1875)},Gravity: {Time: 1708, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 1706, Status: 2, Value: (-0.01043701171875,0.004150390625,0.98138427734375, 0.1917724609375)}}
0:00:01.868680 {Acceleration: {Time: 1821, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1811, Status: 3, Value: (-0.00390625,-0.03125,0.02734375)},Magnetic: {Time: 1814, Status: 2, Value: (8.9375,-19.25,-49.0)},Gravity: {Time: 1796, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 1824, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98138427734375, 0.19171142578125)}}
0:00:01.996110 {Acceleration: {Time: 1937, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1929, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 1931, Status: 2, Value: (8.5625,-18.875,-48.5625)},Gravity: {Time: 1926, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 1939, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98138427734375, 0.19158935546875)}}
0:00:02.104789 {Acceleration: {Time: 2051, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2025, Status: 3, Value: (-0.00390625,-0.0234375,0.02734375)},Magnetic: {Time: 2039, Status: 2, Value: (8.625,-18.5625,-50.1875)},Gravity: {Time: 2022, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 2054, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98138427734375, 0.19158935546875)}}
0:00:02.203659 {Acceleration: {Time: 2150, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2157, Status: 3, Value: (-0.00390625,0.01171875,-0.01171875)},Magnetic: {Time: 2159, Status: 2, Value: (8.5625,-19.25,-49.0)},Gravity: {Time: 2153, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 2161, Status: 2, Value: (-0.0103759765625,0.004150390625,0.9814453125, 0.19146728515625)}}
0:00:02.323819 {Acceleration: {Time: 2278, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2234, Status: 3, Value: (-0.00390625,0.01171875,-0.01171875)},Magnetic: {Time: 2238, Status: 2, Value: (7.5,-18.5625,-50.125)},Gravity: {Time: 2220, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 2275, Status: 2, Value: (-0.0103759765625,0.004150390625,0.9814453125, 0.19146728515625)}}
0:00:02.447382 {Acceleration: {Time: 2394, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2354, Status: 3, Value: (-0.00390625,-0.03125,0.03515625)},Magnetic: {Time: 2358, Status: 2, Value: (8.9375,-18.1875,-48.1875)},Gravity: {Time: 2351, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 2389, Status: 2, Value: (-0.0103759765625,0.004150390625,0.9814453125, 0.19134521484375)}}
0:00:02.556663 {Acceleration: {Time: 2509, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2472, Status: 3, Value: (-0.00390625,-0.03125,0.03515625)},Magnetic: {Time: 2475, Status: 2, Value: (7.875,-19.625,-49.8125)},Gravity: {Time: 2469, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 2506, Status: 2, Value: (-0.0103759765625,0.004150390625,0.9814453125, 0.19134521484375)}}
0:00:02.665722 {Acceleration: {Time: 2621, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2586, Status: 3, Value: (-0.00390625,0.00390625,-0.00390625)},Magnetic: {Time: 2588, Status: 2, Value: (8.5625,-19.625,-47.8125)},Gravity: {Time: 2582, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 2618, Status: 2, Value: (-0.0103759765625,0.004150390625,0.98150634765625, 0.1912841796875)}}
