0:00:01.393584 {Acceleration: {Time: 1344, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1311, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1314, Status: 2, Value: (-2.625,-25.25,-34.5625)},Gravity: {Time: 1351, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1346, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.503622 {Acceleration: {Time: 1443, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1452, Status: 3, Value: (-0.00390625,-0.01171875,0.0)},Magnetic: {Time: 1414, Status: 2, Value: (-3.25,-26.1875,-35.5625)},Gravity: {Time: 1448, Status: 3, Value: (0.4375,0.625,9.8515625)}, Rotation: {Time: 1445, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.587733 {Acceleration: {Time: 1543, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1511, Status: 3, Value: (0.02734375,-0.01171875,-0.03125)},Magnetic: {Time: 1515, Status: 2, Value: (-2.75,-26.8125,-35.125)},Gravity: {Time: 1508, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1536, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.740646 {Acceleration: {Time: 1699, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1661, Status: 3, Value: (-0.01171875,-0.05078125,0.0078125)},Magnetic: {Time: 1665, Status: 2, Value: (-3.5,-27.0,-35.8125)},Gravity: {Time: 1658, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1696, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.827167 {Acceleration: {Time: 1784, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1752, Status: 3, Value: (-0.01171875,-0.01171875,0.046875)},Magnetic: {Time: 1754, Status: 2, Value: (-1.75,-26.5,-34.5)},Gravity: {Time: 1749, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1780, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.874515 {Acceleration: {Time: 1822, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1815, Status: 3, Value: (-0.01171875,0.02734375,-0.03125)},Magnetic: {Time: 1817, Status: 2, Value: (-2.75,-26.8125,-34.8125)},Gravity: {Time: 1749, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1825, Status: 0, Value: (-0.02142333984375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:01.994514 {Acceleration: {Time: 1948, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1922, Status: 3, Value: (0.02734375,-0.01171875,0.0078125)},Magnetic: {Time: 1936, Status: 2, Value: (-3.125,-26.9375,-35.125)},Gravity: {Time: 1918, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 1951, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.058972 {Acceleration: {Time: 2004, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2012, Status: 3, Value: (0.02734375,-0.01171875,-0.03125)},Magnetic: {Time: 1936, Status: 2, Value: (-3.125,-26.9375,-35.125)},Gravity: {Time: 2009, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2006, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.177053 {Acceleration: {Time: 2119, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2126, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 2128, Status: 2, Value: (-2.875,-26.0,-36.125)},Gravity: {Time: 2123, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2132, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.262015 {Acceleration: {Time: 2209, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2202, Status: 3, Value: (-0.01171875,0.02734375,-0.03125)},Magnetic: {Time: 2205, Status: 2, Value: (-3.125,-26.875,-35.5)},Gravity: {Time: 2199, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2212, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.350060 {Acceleration: {Time: 2298, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2272, Status: 3, Value: (0.03515625,-0.01171875,-0.0234375)},Magnetic: {Time: 2286, Status: 2, Value: (-3.125,-26.9375,-34.8125)},Gravity: {Time: 2269, Status: 3, Value: (0.4375,0.625,9.8359375)}, Rotation: {Time: 2301, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.443536 {Acceleration: {Time: 2386, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2322, Status: 3, Value: (-0.01171875,-0.01171875,-0.03125)},Magnetic: {Time: 2325, Status: 2, Value: (-2.75,-25.6875,-34.5625)},Gravity: {Time: 2318, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2388, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.555105 {Acceleration: {Time: 2499, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2473, Status: 3, Value: (0.02734375,-0.01171875,0.0078125)},Magnetic: {Time: 2487, Status: 2, Value: (-3.25,-27.375,-35.125)},Gravity: {Time: 2469, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2502, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.636025 {Acceleration: {Time: 2586, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2550, Status: 3, Value: (0.0625,-0.01171875,0.046875)},Magnetic: {Time: 2553, Status: 2, Value: (-3.0,-26.4375,-35.5)},Gravity: {Time: 2546, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2588, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.726374 {Acceleration: {Time: 2668, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2676, Status: 3, Value: (0.02734375,-0.05078125,0.046875)},Magnetic: {Time: 2639, Status: 2, Value: (-3.125,-29.375,-35.3125)},Gravity: {Time: 2674, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2671, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.811674 {Acceleration: {Time: 2770, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2733, Status: 3, Value: (-0.01171875,0.02734375,0.0078125)},Magnetic: {Time: 2736, Status: 2, Value: (-3.375,-27.8125,-35.4375)},Gravity: {Time: 2730, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2767, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
0:00:02.913156 {Acceleration: {Time: 2854, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2848, Status: 3, Value: (0.02734375,-0.01171875,0.08203125)},Magnetic: {Time: 2850, Status: 2, Value: (-2.1875,-25.8125,-35.25)},Gravity: {Time: 2844, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 2857, Status: 0, Value: (-0.021484375,-0.03240966796875,-0.99884033203125, 0.0279541015625)}}
