0:00:01.337283 {Acceleration: {Time: 1302, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1236, Status: 3, Value: (-0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1239, Status: 1, Value: (-28.625,29.0625,-16.5625)},Gravity: {Time: 1305, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 1299, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.451003 {Acceleration: {Time: 1415, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1389, Status: 3, Value: (-0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 1403, Status: 1, Value: (-28.4375,29.75,-15.4375)},Gravity: {Time: 1387, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 1418, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.558939 {Acceleration: {Time: 1514, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1521, Status: 3, Value: (-0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1523, Status: 1, Value: (-29.25,29.8125,-15.375)},Gravity: {Time: 1517, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 1526, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.642638 {Acceleration: {Time: 1608, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1588, Status: 3, Value: (0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 1601, Status: 1, Value: (-28.5625,28.6875,-16.625)},Gravity: {Time: 1584, Status: 3, Value: (0.1875,-0.25,9.6484375)}, Rotation: {Time: 1582, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.751300 {Acceleration: {Time: 1717, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1696, Status: 3, Value: (0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 1710, Status: 1, Value: (-28.625,28.75,-16.25)},Gravity: {Time: 1693, Status: 3, Value: (0.1875,-0.25,9.6484375)}, Rotation: {Time: 1690, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.3822021484375, 0.9239501953125)}}
0:00:01.866842 {Acceleration: {Time: 1832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1826, Status: 3, Value: (-0.03515625,0.02734375,0.00390625)},Magnetic: {Time: 1829, Status: 1, Value: (-28.875,29.4375,-14.625)},Gravity: {Time: 1822, Status: 3, Value: (0.1875,-0.2578125,9.6484375)}, Rotation: {Time: 1835, Status: 0, Value: (-0.01605224609375,-0.00384521484375,-0.3841552734375, 0.92315673828125)}}
0:00:01.956207 {Acceleration: {Time: 1922, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1894, Status: 3, Value: (0.01171875,0.06640625,0.00390625)},Magnetic: {Time: 1909, Status: 1, Value: (-28.6875,29.6875,-16.1875)},Gravity: {Time: 1891, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 1924, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.3841552734375, 0.92315673828125)}}
0:00:02.068654 {Acceleration: {Time: 2034, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1993, Status: 3, Value: (0.01171875,-0.0546875,0.04296875)},Magnetic: {Time: 1996, Status: 1, Value: (-28.625,28.4375,-15.875)},Gravity: {Time: 2037, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 2030, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3841552734375, 0.92315673828125)}}
0:00:02.167006 {Acceleration: {Time: 2135, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 2125, Status: 3, Value: (-0.02734375,-0.01953125,0.04296875)},Magnetic: {Time: 2129, Status: 1, Value: (-28.25,30.125,-14.3125)},Gravity: {Time: 2122, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 2131, Status: 0, Value: (-0.0155029296875,-0.00360107421875,-0.3841552734375, 0.92315673828125)}}
0:00:02.274243 {Acceleration: {Time: 2233, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2242, Status: 3, Value: (0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2183, Status: 1, Value: (-28.0,29.375,-15.5)},Gravity: {Time: 2240, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 2236, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3841552734375, 0.92315673828125)}}
