0:00:01.594475 {Acceleration: {Time: 1580, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1515, Status: 3, Value: (-0.015625,0.03125,0.015625)},Magnetic: {Time: 1519, Status: 2, Value: (16.9375,14.625,42.75)},Gravity: {Time: 1512, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 1582, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.0257568359375)}}
0:00:01.722877 {Acceleration: {Time: 1688, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1666, Status: 3, Value: (0.015625,-0.0078125,0.015625)},Magnetic: {Time: 1682, Status: 2, Value: (17.3125,14.625,42.0)},Gravity: {Time: 1663, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1661, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02569580078125)}}
0:00:01.837057 {Acceleration: {Time: 1804, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1777, Status: 3, Value: (0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 1792, Status: 2, Value: (16.5625,14.625,41.5625)},Gravity: {Time: 1774, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1808, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.025634765625)}}
0:00:01.942388 {Acceleration: {Time: 1918, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1912, Status: 3, Value: (0.015625,0.03125,-0.01953125)},Magnetic: {Time: 1915, Status: 2, Value: (17.3125,14.5625,40.8125)},Gravity: {Time: 1909, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1920, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02557373046875)}}
0:00:02.041891 {Acceleration: {Time: 1997, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2018, Status: 3, Value: (0.0078125,-0.0078125,-0.05078125)},Magnetic: {Time: 2022, Status: 2, Value: (16.125,14.625,41.1875)},Gravity: {Time: 2015, Status: 3, Value: (0.3359375,-0.4140625,-10.0234375)}, Rotation: {Time: 2000, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.0106201171875, 0.0255126953125)}}
0:00:02.151442 {Acceleration: {Time: 2129, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2137, Status: 3, Value: (-0.03125,0.03125,0.0234375)},Magnetic: {Time: 2077, Status: 2, Value: (16.9375,15.6875,40.8125)},Gravity: {Time: 2135, Status: 3, Value: (0.3359375,-0.4140625,-10.0234375)}, Rotation: {Time: 2132, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0255126953125)}}
0:00:02.246409 {Acceleration: {Time: 2226, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2232, Status: 3, Value: (0.0078125,-0.0078125,0.0234375)},Magnetic: {Time: 2234, Status: 2, Value: (17.75,15.0,42.75)},Gravity: {Time: 2230, Status: 3, Value: (0.3359375,-0.4140625,-10.0234375)}, Rotation: {Time: 2238, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02545166015625)}}
0:00:02.364682 {Acceleration: {Time: 2348, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2297, Status: 3, Value: (0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 2311, Status: 2, Value: (18.0625,14.3125,41.5625)},Gravity: {Time: 2293, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 2343, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.025390625)}}
0:00:02.476669 {Acceleration: {Time: 2464, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2454, Status: 3, Value: (0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 2458, Status: 2, Value: (17.75,13.625,42.375)},Gravity: {Time: 2451, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 2460, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02532958984375)}}
0:00:02.588670 {Acceleration: {Time: 2572, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2581, Status: 3, Value: (-0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 2551, Status: 2, Value: (16.9375,13.9375,41.5625)},Gravity: {Time: 2579, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 2574, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02532958984375)}}
