0:00:01.417896: {Acceleration: {Time: 1370, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1379, Status: 3, Value: (0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 1338, Status: 1, Value: (-28.625,28.4375,-15.875)},Gravity: {Time: 1376, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 1372, Status: 0, Value: (-0.01605224609375,-0.00390625,-0.380859375, 0.92449951171875)}}
0:00:01.521236: {Acceleration: {Time: 1480, Status: 0, Value: (0.0,-0.005859375,-0.001953125)},Gyroscope: {Time: 1460, Status: 3, Value: (0.08203125,0.06640625,-0.0703125)},Magnetic: {Time: 1474, Status: 1, Value: (-29.8125,29.3125,-13.8125)},Gravity: {Time: 1456, Status: 3, Value: (0.1875,-0.2578125,9.6484375)}, Rotation: {Time: 1454, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.380859375, 0.92449951171875)}}
0:00:01.608760: {Acceleration: {Time: 1566, Status: 0, Value: (0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 1540, Status: 3, Value: (0.03515625,-0.01953125,-0.03515625)},Magnetic: {Time: 1554, Status: 1, Value: (-29.125,30.25,-13.4375)},Gravity: {Time: 1538, Status: 3, Value: (0.1953125,-0.25,9.6484375)}, Rotation: {Time: 1570, Status: 0, Value: (-0.015869140625,-0.00445556640625,-0.380859375, 0.92449951171875)}}
0:00:01.722233: {Acceleration: {Time: 1681, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1654, Status: 3, Value: (0.00390625,-0.01953125,-0.0703125)},Magnetic: {Time: 1668, Status: 1, Value: (-29.125,29.375,-16.125)},Gravity: {Time: 1652, Status: 3, Value: (0.1875,-0.25,9.6484375)}, Rotation: {Time: 1683, Status: 0, Value: (-0.0157470703125,-0.0040283203125,-0.38092041015625, 0.92449951171875)}}
0:00:01.838894: {Acceleration: {Time: 1800, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1730, Status: 3, Value: (-0.03515625,0.02734375,-0.00390625)},Magnetic: {Time: 1707, Status: 1, Value: (-28.0,29.125,-15.1875)},Gravity: {Time: 1727, Status: 3, Value: (0.1875,-0.2578125,9.65625)}, Rotation: {Time: 1796, Status: 0, Value: (-0.01611328125,-0.00390625,-0.380859375, 0.92449951171875)}}
0:00:01.936579: {Acceleration: {Time: 1890, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 1898, Status: 3, Value: (-0.02734375,-0.00390625,-0.03515625)},Magnetic: {Time: 1859, Status: 1, Value: (-27.9375,30.0,-16.25)},Gravity: {Time: 1896, Status: 3, Value: (0.1796875,-0.265625,9.6484375)}, Rotation: {Time: 1892, Status: 0, Value: (-0.01593017578125,-0.0035400390625,-0.38092041015625, 0.92449951171875)}}
0:00:02.023901: {Acceleration: {Time: 1978, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 1986, Status: 3, Value: (0.01953125,0.02734375,-0.02734375)},Magnetic: {Time: 1914, Status: 1, Value: (-28.6875,28.75,-15.875)},Gravity: {Time: 1983, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1981, Status: 0, Value: (-0.01629638671875,-0.00335693359375,-0.38079833984375, 0.92449951171875)}}
0:00:02.120045: {Acceleration: {Time: 2082, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2043, Status: 3, Value: (0.01953125,0.02734375,0.05078125)},Magnetic: {Time: 2046, Status: 1, Value: (-28.5,28.6875,-17.0)},Gravity: {Time: 2040, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2076, Status: 0, Value: (-0.01580810546875,-0.00311279296875,-0.380859375, 0.92449951171875)}}
0:00:02.239203: {Acceleration: {Time: 2201, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2163, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 2166, Status: 1, Value: (-29.0625,28.8125,-15.8125)},Gravity: {Time: 2159, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2197, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384521484375, 0.9229736328125)}}
0:00:02.333070: {Acceleration: {Time: 2293, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2261, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2265, Status: 1, Value: (-30.0,29.25,-15.3125)},Gravity: {Time: 2258, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2286, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.384521484375, 0.9229736328125)}}
0:00:02.441072: {Acceleration: {Time: 2401, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2380, Status: 3, Value: (0.01953125,0.02734375,-0.02734375)},Magnetic: {Time: 2394, Status: 1, Value: (-30.125,29.25,-14.5)},Gravity: {Time: 2377, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2375, Status: 0, Value: (-0.01580810546875,-0.00311279296875,-0.384521484375, 0.9229736328125)}}
0:00:02.529443: {Acceleration: {Time: 2488, Status: 0, Value: (-0.009765625,0.005859375,-0.001953125)},Gyroscope: {Time: 2462, Status: 3, Value: (0.05078125,0.02734375,0.12109375)},Magnetic: {Time: 2476, Status: 1, Value: (-29.3125,29.8125,-14.5625)},Gravity: {Time: 2459, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2492, Status: 0, Value: (-0.015869140625,-0.0035400390625,-0.38458251953125, 0.9229736328125)}}
0:00:02.644293: {Acceleration: {Time: 2604, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 2596, Status: 3, Value: (0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 2599, Status: 1, Value: (-28.375,28.75,-15.5625)},Gravity: {Time: 2593, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 2606, Status: 0, Value: (-0.0155029296875,-0.003662109375,-0.38458251953125, 0.9229736328125)}}
