0:00:04.860020: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0037353571970015764, Phase: 49690.1328125
0:00:04.940665: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.003444381756708026, Phase: 49690.6328125
0:00:05.051255: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0030776048079133034, Phase: 49691.328125
0:00:05.149177: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.002785624237731099, Phase: 49691.9453125
0:00:05.274626: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0024507101625204086, Phase: 49692.734375
0:00:05.368163: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0022296509705483913, Phase: 49693.3203125
0:00:05.455494: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0020391205325722694, Phase: 49693.87109375
0:00:05.562565: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0018295140471309423, Phase: 49694.54296875
0:00:05.668632: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0016431163530796766, Phase: 49695.20703125
0:00:05.753998: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0015058055287227035, Phase: 49695.74609375
0:00:05.869589: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.001339961658231914, Phase: 49696.46875
0:00:05.980624: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0011960482224822044, Phase: 49697.171875
0:00:06.078182: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0010836769361048937, Phase: 49697.78125
0:00:06.161523: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0009951720712706447, Phase: 49698.30859375
0:00:06.283914: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0008791344589553773, Phase: 49699.0703125
0:00:06.369277: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0008064999128691852, Phase: 49699.60546875
0:00:06.469914: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0007276906399056315, Phase: 49700.23828125
0:00:06.561750: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0006627099355682731, Phase: 49700.81640625
0:00:06.674497: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0005909361643716693, Phase: 49701.5234375
0:00:06.762756: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.0005398863577283919, Phase: 49702.08203125
0:00:06.880654: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.01989661529660225, Phase: 49702.81640625
0:00:06.969084: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.04597318544983864, Phase: 49703.375
0:00:07.084486: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.09582331031560898, Phase: 49704.1015625
0:00:07.167744: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.14391982555389404, Phase: 49704.625
0:00:07.289516: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.2323484569787979, Phase: 49705.39453125
0:00:07.386062: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.31778690218925476, Phase: 49706.00390625
0:00:07.472579: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.3956051766872406, Phase: 49706.54296875
0:00:07.582474: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -0.5057304501533508, Phase: 49707.234375
0:00:07.699164: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.07739855349063873, Phase: 49707.96875
0:00:07.784652: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.45406243205070496, Phase: 49708.50390625
0:00:07.876738: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.8210699558258057, Phase: 49709.0859375
0:00:07.990347: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.207048773765564, Phase: 49709.79296875
0:00:08.075705: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.4617522954940796, Phase: 49710.33203125
0:00:08.194360: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.761729121208191, Phase: 49711.08203125
0:00:08.277609: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.943981409072876, Phase: 49711.6015625
0:00:08.384868: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.141364097595215, Phase: 49712.26953125
0:00:08.482019: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.281144142150879, Phase: 49712.88671875
0:00:08.580662: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.387751817703247, Phase: 49713.50390625
0:00:08.697360: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.467867612838745, Phase: 49714.23828125
0:00:08.782737: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.5055012702941895, Phase: 49714.77734375
0:00:08.896376: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.518927574157715, Phase: 49715.49609375
0:00:09.011141: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.528122663497925, Phase: 49716.21484375
0:00:09.108351: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.529865026473999, Phase: 49716.83203125
0:00:09.191077: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.520721435546875, Phase: 49717.3515625
0:00:09.290237: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.5186080932617188, Phase: 49717.9765625
0:00:09.411360: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.5880088806152344, Phase: 49718.73828125
0:00:09.504134: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.6617581844329834, Phase: 49719.32421875
0:00:09.588487: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.7420082092285156, Phase: 49719.84765625
0:00:09.692721: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.8501429557800293, Phase: 49720.5078125
0:00:09.798701: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.956632137298584, Phase: 49721.17578125
0:00:09.911352: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.082042932510376, Phase: 49721.8828125
0:00:10.000711: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.1867775917053223, Phase: 49722.44140625
0:00:10.117706: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.326967477798462, Phase: 49723.171875
0:00:10.202853: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.4228553771972656, Phase: 49723.703125
0:00:10.312826: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.536228656768799, Phase: 49724.40234375
0:00:10.401483: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.6175179481506348, Phase: 49724.95703125
0:00:10.519097: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.7157387733459473, Phase: 49725.6953125
0:00:10.613615: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.7860984802246094, Phase: 49726.28515625
0:00:10.710529: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.852661609649658, Phase: 49726.8984375
0:00:10.808450: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.9123244285583496, Phase: 49727.5078125
0:00:10.918399: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.369244337081909, Phase: 49728.203125
0:00:11.027877: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.8923838138580322, Phase: 49728.88671875
0:00:11.107565: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.5745019912719727, Phase: 49729.38671875
0:00:11.221288: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.1635169982910156, Phase: 49730.1015625
0:00:11.318729: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.8454744815826416, Phase: 49730.71875
0:00:11.423069: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5420207977294922, Phase: 49731.37109375
0:00:11.511412: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.7837785482406616, Phase: 49731.921875
0:00:11.637182: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.0948855876922607, Phase: 49732.71484375
0:00:11.723599: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.287263870239258, Phase: 49733.26171875
0:00:11.821974: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.4849941730499268, Phase: 49733.875
0:00:11.915366: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.575969696044922, Phase: 49734.46484375
0:00:12.022410: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.6691641807556152, Phase: 49735.13671875
0:00:12.115327: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.742556571960449, Phase: 49735.72265625
0:00:12.224243: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.8199899196624756, Phase: 49736.40625
0:00:12.337187: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.891754150390625, Phase: 49737.109375
0:00:12.431741: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.9461567401885986, Phase: 49737.703125
0:00:12.525645: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 2.995059013366699, Phase: 49738.29296875
0:00:12.621204: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.0399465560913086, Phase: 49738.88671875
0:00:12.732892: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.0874788761138916, Phase: 49739.58984375
0:00:12.844382: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.12990665435791, Phase: 49740.29296875
0:00:12.926529: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.1580450534820557, Phase: 49740.80859375
0:00:13.022881: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.1882288455963135, Phase: 49741.41015625
0:00:13.133681: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.2195661067962646, Phase: 49742.10546875
0:00:13.245122: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.247809886932373, Phase: 49742.80859375
0:00:13.332539: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.2676491737365723, Phase: 49743.3515625
0:00:13.452317: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.292323350906372, Phase: 49744.10546875
0:00:13.552671: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 3.310910940170288, Phase: 49744.7421875
