0:00:01.396930: {Acceleration: {Time: 1359, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 1326, Status: 3, Value: (-0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 1329, Status: 1, Value: (-29.6875,27.5,-16.75)},Gravity: {Time: 1324, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1356, Status: 0, Value: (-0.01519775390625,-0.00335693359375,-0.38702392578125, 0.92193603515625)}}
0:00:01.506472: {Acceleration: {Time: 1462, Status: 0, Value: (0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 1469, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1405, Status: 1, Value: (-30.1875,30.25,-14.6875)},Gravity: {Time: 1467, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1464, Status: 0, Value: (-0.01519775390625,-0.00335693359375,-0.38702392578125, 0.92193603515625)}}
0:00:01.620341: {Acceleration: {Time: 1575, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1583, Status: 3, Value: (-0.05859375,0.01953125,-0.109375)},Magnetic: {Time: 1522, Status: 1, Value: (-28.125,28.8125,-14.1875)},Gravity: {Time: 1581, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1577, Status: 0, Value: (-0.01519775390625,-0.00341796875,-0.38702392578125, 0.92193603515625)}}
0:00:01.719465: {Acceleration: {Time: 1673, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1682, Status: 3, Value: (-0.05078125,0.01953125,0.08203125)},Magnetic: {Time: 1641, Status: 1, Value: (-29.875,28.5,-15.875)},Gravity: {Time: 1679, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1676, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:01.820965: {Acceleration: {Time: 1775, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1784, Status: 3, Value: (-0.05078125,0.00390625,0.08984375)},Magnetic: {Time: 1746, Status: 1, Value: (-30.0625,29.25,-15.0625)},Gravity: {Time: 1782, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 1777, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:01.920464: {Acceleration: {Time: 1875, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1883, Status: 3, Value: (-0.05078125,-0.02734375,-0.0703125)},Magnetic: {Time: 1817, Status: 1, Value: (-28.25,27.5,-15.0)},Gravity: {Time: 1881, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1878, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:02.020881: {Acceleration: {Time: 1974, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1984, Status: 3, Value: (0.01953125,0.05078125,-0.03515625)},Magnetic: {Time: 1946, Status: 1, Value: (-30.0625,29.8125,-15.4375)},Gravity: {Time: 1981, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1976, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.386962890625, 0.92193603515625)}}
0:00:02.120801: {Acceleration: {Time: 2084, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 2072, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2075, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 2069, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2078, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.386962890625, 0.9219970703125)}}
0:00:02.219600: {Acceleration: {Time: 2174, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2183, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2142, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 2180, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2176, Status: 0, Value: (-0.01513671875,-0.0032958984375,-0.38690185546875, 0.9219970703125)}}
0:00:02.311595: {Acceleration: {Time: 2273, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2265, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2268, Status: 1, Value: (-28.5625,27.75,-16.125)},Gravity: {Time: 2262, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2275, Status: 0, Value: (-0.01513671875,-0.00335693359375,-0.38690185546875, 0.9219970703125)}}
