0:00:01.367275: {Acceleration: {Time: 1327, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1301, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 1315, Status: 1, Value: (-29.4375,27.8125,-15.625)},Gravity: {Time: 1297, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1329, Status: 0, Value: (-0.01507568359375,-0.00323486328125,-0.3941650390625, 0.91888427734375)}}
0:00:01.480203: {Acceleration: {Time: 1440, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1430, Status: 3, Value: (0.05859375,0.01171875,0.05078125)},Magnetic: {Time: 1433, Status: 1, Value: (-29.0,27.5,-15.6875)},Gravity: {Time: 1416, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1442, Status: 0, Value: (-0.01507568359375,-0.00323486328125,-0.3941650390625, 0.91888427734375)}}
0:00:01.588542: {Acceleration: {Time: 1550, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1500, Status: 3, Value: (0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 1514, Status: 1, Value: (-28.625,28.4375,-16.0)},Gravity: {Time: 1497, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1546, Status: 0, Value: (-0.01507568359375,-0.00323486328125,-0.3941650390625, 0.91888427734375)}}
0:00:01.684388: {Acceleration: {Time: 1639, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1647, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 1585, Status: 1, Value: (-30.9375,29.375,-14.1875)},Gravity: {Time: 1644, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1642, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:01.779593: {Acceleration: {Time: 1733, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1742, Status: 3, Value: (0.01953125,-0.0625,0.01953125)},Magnetic: {Time: 1681, Status: 1, Value: (-29.1875,28.1875,-14.875)},Gravity: {Time: 1738, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1735, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:01.872271: {Acceleration: {Time: 1832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1825, Status: 3, Value: (-0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1828, Status: 1, Value: (-28.5,28.375,-16.8125)},Gravity: {Time: 1821, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 1835, Status: 0, Value: (-0.01556396484375,-0.0035400390625,-0.38897705078125, 0.92108154296875)}}
0:00:01.985238: {Acceleration: {Time: 1945, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1938, Status: 3, Value: (0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 1940, Status: 1, Value: (-29.625,29.8125,-15.5)},Gravity: {Time: 1934, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1948, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:02.069803: {Acceleration: {Time: 2032, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2018, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 2021, Status: 1, Value: (-28.4375,28.0,-17.25)},Gravity: {Time: 2004, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2028, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:02.170993: {Acceleration: {Time: 2123, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2133, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2095, Status: 1, Value: (-31.0625,29.25,-16.125)},Gravity: {Time: 2130, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2126, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:02.270348: {Acceleration: {Time: 2230, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2220, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2223, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 2206, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2233, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
0:00:02.386337: {Acceleration: {Time: 2344, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2349, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 2307, Status: 1, Value: (-29.3125,27.75,-16.75)},Gravity: {Time: 2347, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2340, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.38897705078125, 0.921142578125)}}
0:00:02.472858: {Acceleration: {Time: 2433, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2425, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 2428, Status: 1, Value: (-29.3125,28.75,-17.125)},Gravity: {Time: 2421, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 2436, Status: 0, Value: (-0.01507568359375,-0.00335693359375,-0.38897705078125, 0.92108154296875)}}
