0:00:01.609117 {Acceleration: {Time: 1556, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1530, Status: 3, Value: (-0.01953125,-0.03515625,0.00390625)},Magnetic: {Time: 1544, Status: 1, Value: (-30.0625,28.9375,-14.6875)},Gravity: {Time: 1527, Status: 3, Value: (0.171875,-0.234375,9.6484375)}, Rotation: {Time: 1558, Status: 0, Value: (-0.0146484375,-0.00347900390625,-0.38800048828125, 0.92156982421875)}}
0:00:01.695364 {Acceleration: {Time: 1644, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1615, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 1630, Status: 1, Value: (-29.1875,29.5,-15.5625)},Gravity: {Time: 1613, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 1646, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:01.806365 {Acceleration: {Time: 1749, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1757, Status: 3, Value: (-0.01953125,0.01171875,-0.04296875)},Magnetic: {Time: 1695, Status: 1, Value: (-29.0625,27.1875,-14.9375)},Gravity: {Time: 1755, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 1752, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:01.904355 {Acceleration: {Time: 1855, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1826, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 1840, Status: 1, Value: (-30.25,27.875,-15.9375)},Gravity: {Time: 1823, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 1850, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:02.002962 {Acceleration: {Time: 1945, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1954, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 1888, Status: 1, Value: (-30.1875,28.625,-13.5625)},Gravity: {Time: 1951, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1947, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:02.131486 {Acceleration: {Time: 2079, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2069, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2072, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 2055, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2082, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:02.244319 {Acceleration: {Time: 2193, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2154, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 2158, Status: 1, Value: (-30.1875,28.5,-16.625)},Gravity: {Time: 2151, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2189, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38800048828125, 0.9215087890625)}}
0:00:02.347976 {Acceleration: {Time: 2285, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2294, Status: 3, Value: (-0.05859375,-0.02734375,-0.03515625)},Magnetic: {Time: 2257, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 2290, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2287, Status: 0, Value: (-0.01446533203125,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:02.488413 {Acceleration: {Time: 2439, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2402, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 2405, Status: 1, Value: (-30.5,28.0,-13.9375)},Gravity: {Time: 2398, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2436, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
0:00:02.575978 {Acceleration: {Time: 2524, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2518, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 2520, Status: 1, Value: (-28.375,29.4375,-15.3125)},Gravity: {Time: 2515, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2527, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38800048828125, 0.92156982421875)}}
