Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.070865, 0.0, 0.0, 90.0, 0.0, 42865.7734375
0:00:00.163005, 0.0, 0.0, 90.0, 0.0, 42866.34765625
0:00:00.270948, 0.0, 0.0, 90.0, 0.0, 42867.0234375
0:00:00.370439, 0.0, 0.0, 90.0, 0.0, 42867.6484375
0:00:00.462022, 0.0, 0.0, 90.0, 0.0, 42868.2265625
0:00:00.574535, 0.0, 0.0, 90.0, 0.0, 42868.93359375
0:00:00.691185, 0.0, 0.0, 90.0, 0.0, 42869.66796875
0:00:00.775516, 0.0, 0.0, 90.0, 0.0, 42870.1953125
0:00:00.884520, 0.0, 0.0, 90.0, 0.0, 42870.875
0:00:00.980952, 0.0, 0.0, 90.0, 0.0, 42871.48046875
0:00:01.088211, 0.0, 0.0, 90.0, 0.0, 42872.1484375
0:00:01.195237, 0.0, 0.0, 90.0, 0.0, 42872.81640625
0:00:01.283430, 0.0, 0.0, 90.0, 0.0, 42873.3671875
0:00:01.398805, 0.0, 0.0, 90.0, 0.0, 42874.09765625
0:00:01.485082, 0.0, 0.0, 90.0, 0.0, 42874.63671875
0:00:01.595564, 0.0, 0.0, 90.0, 0.0, 42875.328125
0:00:01.681774, 0.0, 0.0, 90.0, 0.0, 42875.8671875
0:00:01.795530, 0.0, 0.0, 90.0, 0.0, 42876.58203125
0:00:01.891421, 0.0, 0.0, 90.0, 0.0, 42877.18359375
0:00:01.991580, 0.0, 0.0, 90.0, 0.0, 42877.80859375
0:00:02.088408, 0.0, 0.0, 90.0, 0.0, 42878.42578125
0:00:02.200875, 0.0, 0.0, 90.0, 0.0, 42879.13671875
0:00:02.291234, 0.0, 0.0, 90.0, 0.0, 42879.703125
0:00:02.404742, 0.0, 0.0, 90.0, 0.0, 42880.41796875
0:00:02.508330, 0.0, 0.0, 90.0, 0.0, 42881.0625
0:00:02.585900, 0.0, 0.0, 90.0, 0.0, 42881.55078125
0:00:02.709309, 0.0, 0.0, 90.0, 0.0, 42882.328125
0:00:02.813242, 0.0, 0.0, 90.0, 0.0, 42882.98046875
0:00:02.892734, 0.0, 0.0, 90.0, 0.0, 42883.4765625
0:00:03.006403, 0.0, 0.0, 90.0, 0.0, 42884.19140625
0:00:03.103946, 0.0, 0.0, 90.0, 0.0, 42884.8046875
0:00:03.201529, 0.0, 0.0, 90.0, 0.0, 42885.4140625
0:00:03.322265, 0.0, 0.0, 90.0, 0.0, 42886.17578125
0:00:03.393725, 0.0, 0.0, 90.0, 0.0, 42886.62890625
0:00:03.519488, 0.0, 0.0, 90.0, 0.0, 42887.421875
0:00:03.603734, 0.0, 0.0, 90.0, 0.0, 42887.94921875
0:00:03.700926, 0.0, 0.0, 90.0, 0.0, 42888.55859375
0:00:03.815944, 0.0, 0.0, 90.0, 0.0, 42889.27734375
0:00:03.901280, 0.0, 0.0, 90.0, 0.0, 42889.81640625
0:00:04.022344, 0.0, 0.0, 90.0, 0.0, 42890.57421875
0:00:04.125688, 0.0, 0.0, 90.0, 0.0, 42891.22265625
0:00:04.221253, 0.0, 0.0, 90.0, 0.0, 42891.82421875
0:00:04.307503, 0.0, 0.0, 90.0, 0.0, 42892.36328125
0:00:04.422965, 0.0, 0.0, 90.0, 0.0, 42893.09375
0:00:04.509319, 0.0, 0.0, 90.0, 0.0, 42893.6328125
0:00:04.619857, 0.0, 0.0, 90.0, 0.0, 42894.33203125
0:00:04.732443, 0.0, 0.0, 90.0, 0.0, 42895.0390625
0:00:04.817719, 0.0, 0.0, 90.0, 0.0, 42895.57421875
0:00:04.935296, 0.0, 0.0, 90.0, 0.0, 42896.31640625
0:00:05.023543, 0.0, 0.0, 90.0, 0.0, 42896.87109375
0:00:05.121665, 0.0, 0.0, 90.0, 0.0, 42897.48828125
0:00:05.239014, 0.0, 0.0, 90.0, 0.0, 42898.23046875
0:00:05.323245, 0.0, 0.0, 90.0, 0.0, 42898.76171875
