0:00:01.419130 {Acceleration: {Time: 1383, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1346, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1349, Status: 1, Value: (-28.6875,28.125,-15.5)},Gravity: {Time: 1343, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1380, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.525111 {Acceleration: {Time: 1481, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1489, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1428, Status: 1, Value: (-29.5,28.5,-15.8125)},Gravity: {Time: 1487, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1484, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.623277 {Acceleration: {Time: 1584, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1546, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1522, Status: 1, Value: (-28.875,28.375,-17.0)},Gravity: {Time: 1543, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1588, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.739793 {Acceleration: {Time: 1702, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1676, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1690, Status: 1, Value: (-30.3125,28.875,-16.125)},Gravity: {Time: 1673, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1704, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.826169 {Acceleration: {Time: 1782, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1791, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1775, Status: 1, Value: (-28.625,28.125,-15.5625)},Gravity: {Time: 1788, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1784, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:01.921220 {Acceleration: {Time: 1886, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1848, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1851, Status: 1, Value: (-29.5625,28.5625,-15.0)},Gravity: {Time: 1845, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1881, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38616943359375, 0.92230224609375)}}
0:00:02.019631 {Acceleration: {Time: 1982, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1946, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1949, Status: 1, Value: (-28.25,26.8125,-15.3125)},Gravity: {Time: 1984, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1978, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38238525390625, 0.923828125)}}
0:00:02.125651 {Acceleration: {Time: 2088, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2080, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2083, Status: 1, Value: (-28.5625,27.4375,-16.0)},Gravity: {Time: 2077, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2090, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3826904296875, 0.9237060546875)}}
0:00:02.237184 {Acceleration: {Time: 2200, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2192, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2194, Status: 1, Value: (-28.4375,28.0,-17.0625)},Gravity: {Time: 2189, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2202, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38299560546875, 0.92364501953125)}}
0:00:02.346171 {Acceleration: {Time: 2309, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2300, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2303, Status: 1, Value: (-28.875,27.75,-16.6875)},Gravity: {Time: 2297, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2311, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38323974609375, 0.92352294921875)}}
