0:00:01.429219: {Acceleration: {Time: 1335, Status: 0, Value: (0.005859375,0.001953125,0.0)},Gyroscope: {Time: 1344, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 1304, Status: 2, Value: (-2.4375,-26.5625,-36.6875)},Gravity: {Time: 1341, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1337, Status: 0, Value: (0.0303955078125,0.02752685546875,0.976806640625, 0.210205078125)}}
0:00:01.528496: {Acceleration: {Time: 1434, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1427, Status: 3, Value: (0.01171875,-0.02734375,-0.03125)},Magnetic: {Time: 1430, Status: 2, Value: (-2.1875,-24.5625,-35.4375)},Gravity: {Time: 1423, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1437, Status: 0, Value: (0.0303955078125,0.027587890625,0.976806640625, 0.210205078125)}}
0:00:01.611886: {Acceleration: {Time: 1522, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1512, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 1515, Status: 2, Value: (-2.75,-25.625,-35.4375)},Gravity: {Time: 1498, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1524, Status: 0, Value: (0.03033447265625,0.0274658203125,0.976806640625, 0.210205078125)}}
0:00:01.728620: {Acceleration: {Time: 1642, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 1600, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 1603, Status: 2, Value: (-2.625,-25.1875,-35.0625)},Gravity: {Time: 1586, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1638, Status: 0, Value: (0.03033447265625,0.02740478515625,0.976806640625, 0.21026611328125)}}
0:00:01.812103: {Acceleration: {Time: 1726, Status: 0, Value: (-0.005859375,-0.001953125,-0.001953125)},Gyroscope: {Time: 1719, Status: 3, Value: (-0.03515625,0.01953125,0.0078125)},Magnetic: {Time: 1721, Status: 2, Value: (-2.3125,-25.0,-35.75)},Gravity: {Time: 1716, Status: 3, Value: (0.46875,0.6328125,9.84375)}, Rotation: {Time: 1728, Status: 0, Value: (0.0302734375,0.02740478515625,0.976806640625, 0.21026611328125)}}
0:00:01.896237: {Acceleration: {Time: 1807, Status: 0, Value: (0.005859375,0.0078125,0.0)},Gyroscope: {Time: 1787, Status: 3, Value: (0.0390625,0.01953125,0.0078125)},Magnetic: {Time: 1801, Status: 2, Value: (-3.0,-26.4375,-35.6875)},Gravity: {Time: 1784, Status: 3, Value: (0.46875,0.6328125,9.84375)}, Rotation: {Time: 1781, Status: 0, Value: (0.03033447265625,0.02734375,0.976806640625, 0.21026611328125)}}
0:00:01.996083: {Acceleration: {Time: 1900, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 1877, Status: 3, Value: (0.01171875,-0.02734375,-0.03125)},Magnetic: {Time: 1891, Status: 2, Value: (-1.75,-25.25,-35.6875)},Gravity: {Time: 1875, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 1895, Status: 0, Value: (0.0302734375,0.02740478515625,0.976806640625, 0.21026611328125)}}
0:00:02.081190: {Acceleration: {Time: 1995, Status: 0, Value: (-0.001953125,-0.00390625,-0.001953125)},Gyroscope: {Time: 2004, Status: 3, Value: (0.046875,0.01171875,-0.0390625)},Magnetic: {Time: 1963, Status: 2, Value: (-1.3125,-24.5625,-36.5)},Gravity: {Time: 2001, Status: 3, Value: (0.4609375,0.640625,9.8515625)}, Rotation: {Time: 1998, Status: 0, Value: (0.0302734375,0.02734375,0.976806640625, 0.21026611328125)}}
0:00:02.178262: {Acceleration: {Time: 2092, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2087, Status: 3, Value: (-0.02734375,0.01171875,0.0078125)},Magnetic: {Time: 2089, Status: 2, Value: (-2.3125,-25.0625,-34.75)},Gravity: {Time: 2083, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2095, Status: 0, Value: (0.03021240234375,0.02734375,0.976806640625, 0.21026611328125)}}
0:00:02.263079: {Acceleration: {Time: 2166, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 2128, Status: 3, Value: (0.0390625,0.01171875,0.015625)},Magnetic: {Time: 2089, Status: 2, Value: (-2.3125,-25.0625,-34.75)},Gravity: {Time: 2083, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 2169, Status: 0, Value: (0.03021240234375,0.02734375,0.976806640625, 0.210205078125)}}
