Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.10, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26960.32421875
0:00:00.21, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26960.986328125
0:00:00.30, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26961.560546875
0:00:00.40, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26962.216796875
0:00:00.51, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26962.87890625
0:00:00.61, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26963.53515625
0:00:00.72, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26964.19140625
0:00:00.81, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26964.771484375
0:00:00.91, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26965.427734375
0:00:01.02, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26966.083984375
0:00:01.12, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26966.740234375
0:00:01.22, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26967.396484375
0:00:01.32, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26967.9765625
0:00:01.42, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26968.6328125
0:00:01.52, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26969.294921875
0:00:01.63, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26969.951171875
0:00:01.73, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26970.607421875
0:00:01.82, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26971.1875
0:00:01.93, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26971.84375
0:00:02.03, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26972.5
0:00:02.14, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26973.15625
0:00:02.24, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26973.8125
0:00:02.34, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26974.474609375
0:00:02.44, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26975.048828125
0:00:02.54, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26975.7109375
0:00:02.64, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26976.3671875
0:00:02.75, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26977.0234375
0:00:02.84, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26977.603515625
0:00:02.94, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26978.259765625
0:00:03.05, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26978.916015625
0:00:03.15, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26979.578125
0:00:03.26, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26980.234375
0:00:03.35, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26980.80859375
0:00:03.45, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26981.470703125
0:00:03.55, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26982.126953125
0:00:03.66, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26982.783203125
0:00:03.76, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26983.439453125
0:00:03.85, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26984.01953125
0:00:03.96, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26984.67578125
0:00:04.06, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26985.33203125
0:00:04.17, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26985.994140625
0:00:04.26, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26986.568359375
0:00:04.36, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26987.224609375
0:00:04.47, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26987.88671875
0:00:04.57, 0.0, 4.0637655465419695e-44, 89.99954223632812, 4.0637655465419695e-44, 26988.54296875
