0:00:01.307168: {Acceleration: {Time: 1235, Status: 0, Value: (-0.005859375,-0.001953125,-0.001953125)},Gyroscope: {Time: 1203, Status: 3, Value: (-0.01953125,-0.00390625,-0.0546875)},Magnetic: {Time: 1207, Status: 2, Value: (-3.5,-25.625,-37.8125)},Gravity: {Time: 1243, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 1238, Status: 0, Value: (-0.02117919921875,0.00030517578125,-0.998291015625, 0.0546875)}}
0:00:01.414630: {Acceleration: {Time: 1357, Status: 0, Value: (-0.00390625,-0.00390625,-0.001953125)},Gyroscope: {Time: 1300, Status: 3, Value: (0.05078125,-0.00390625,-0.0078125)},Magnetic: {Time: 1303, Status: 2, Value: (-2.875,-25.875,-37.125)},Gravity: {Time: 1297, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 1351, Status: 0, Value: (-0.02117919921875,0.00030517578125,-0.998291015625, 0.0546875)}}
0:00:01.517766: {Acceleration: {Time: 1458, Status: 0, Value: (-0.00390625,-0.00390625,0.001953125)},Gyroscope: {Time: 1448, Status: 3, Value: (0.01171875,0.03125,-0.0078125)},Magnetic: {Time: 1451, Status: 2, Value: (-3.5,-25.625,-37.5)},Gravity: {Time: 1445, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 1454, Status: 0, Value: (-0.02117919921875,0.00030517578125,-0.998291015625, 0.0546875)}}
0:00:01.609229: {Acceleration: {Time: 1554, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 1540, Status: 3, Value: (-0.02734375,-0.00390625,-0.046875)},Magnetic: {Time: 1543, Status: 2, Value: (-4.5,-27.125,-38.0625)},Gravity: {Time: 1526, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 1550, Status: 0, Value: (-0.021240234375,0.0003662109375,-0.998291015625, 0.0546875)}}
0:00:01.706654: {Acceleration: {Time: 1653, Status: 0, Value: (0.00390625,0.00390625,-0.001953125)},Gyroscope: {Time: 1627, Status: 3, Value: (0.01171875,-0.04296875,-0.0078125)},Magnetic: {Time: 1641, Status: 2, Value: (-4.125,-25.875,-37.8125)},Gravity: {Time: 1625, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 1656, Status: 0, Value: (-0.021240234375,0.0003662109375,-0.998291015625, 0.0546875)}}
0:00:01.825837: {Acceleration: {Time: 1769, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1727, Status: 3, Value: (0.05078125,-0.00390625,-0.0078125)},Magnetic: {Time: 1731, Status: 2, Value: (-4.8125,-27.25,-38.0625)},Gravity: {Time: 1771, Status: 3, Value: (0.4140625,-0.0390625,9.8515625)}, Rotation: {Time: 1764, Status: 0, Value: (-0.02117919921875,0.0003662109375,-0.998291015625, 0.0546875)}}
0:00:01.892378: {Acceleration: {Time: 1839, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1799, Status: 3, Value: (-0.01953125,0.00390625,0.0)},Magnetic: {Time: 1806, Status: 2, Value: (-4.375,-25.5,-38.1875)},Gravity: {Time: 1771, Status: 3, Value: (0.4140625,-0.0390625,9.8515625)}, Rotation: {Time: 1836, Status: 0, Value: (-0.02117919921875,0.0003662109375,-0.998291015625, 0.0546875)}}
0:00:02.014075: {Acceleration: {Time: 1956, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1964, Status: 3, Value: (0.01953125,-0.03515625,0.03125)},Magnetic: {Time: 1899, Status: 2, Value: (-4.5,-26.0,-37.8125)},Gravity: {Time: 1960, Status: 3, Value: (0.4140625,-0.0390625,9.859375)}, Rotation: {Time: 1958, Status: 0, Value: (-0.02117919921875,0.0003662109375,-0.998291015625, 0.0546875)}}
0:00:02.127539: {Acceleration: {Time: 2061, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2035, Status: 3, Value: (-0.02734375,0.078125,-0.046875)},Magnetic: {Time: 2049, Status: 2, Value: (-4.375,-25.5625,-37.25)},Gravity: {Time: 2031, Status: 3, Value: (0.421875,-0.0390625,9.859375)}, Rotation: {Time: 2063, Status: 0, Value: (-0.021240234375,0.00042724609375,-0.998291015625, 0.0546875)}}
0:00:02.205588: {Acceleration: {Time: 2149, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2083, Status: 3, Value: (0.01171875,0.00390625,0.03125)},Magnetic: {Time: 2087, Status: 2, Value: (-3.625,-25.3125,-37.1875)},Gravity: {Time: 2080, Status: 3, Value: (0.421875,-0.0390625,9.859375)}, Rotation: {Time: 2151, Status: 0, Value: (-0.021240234375,0.00042724609375,-0.998291015625, 0.0546875)}}
