0:00:01.349326: {Acceleration: {Time: 1328, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1314, Status: 3, Value: (-0.01171875,-0.01171875,-0.00390625)},Magnetic: {Time: 1317, Status: 1, Value: (-29.25,29.1875,-15.0)},Gravity: {Time: 1300, Status: 3, Value: (0.1640625,-0.2578125,9.65625)}, Rotation: {Time: 1325, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.384033203125, 0.92315673828125)}}
0:00:01.462856: {Acceleration: {Time: 1441, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1406, Status: 3, Value: (0.02734375,-0.01171875,-0.00390625)},Magnetic: {Time: 1409, Status: 1, Value: (-27.375,27.625,-16.0625)},Gravity: {Time: 1404, Status: 3, Value: (0.1640625,-0.2578125,9.65625)}, Rotation: {Time: 1437, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.384033203125, 0.92315673828125)}}
0:00:01.566294: {Acceleration: {Time: 1543, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1502, Status: 3, Value: (-0.01171875,-0.01953125,-0.04296875)},Magnetic: {Time: 1505, Status: 1, Value: (-28.875,27.125,-16.6875)},Gravity: {Time: 1498, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1545, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.3848876953125, 0.9228515625)}}
0:00:01.652204: {Acceleration: {Time: 1624, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1565, Status: 3, Value: (0.02734375,-0.01171875,-0.03515625)},Magnetic: {Time: 1568, Status: 1, Value: (-29.1875,29.1875,-15.375)},Gravity: {Time: 1631, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1627, Status: 0, Value: (-0.015625,-0.002685546875,-0.3848876953125, 0.9228515625)}}
0:00:01.772716: {Acceleration: {Time: 1752, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1737, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1741, Status: 1, Value: (-28.3125,27.75,-15.1875)},Gravity: {Time: 1723, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1747, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.3848876953125, 0.9228515625)}}
0:00:01.860054: {Acceleration: {Time: 1839, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1803, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 1805, Status: 1, Value: (-28.5,29.1875,-14.6875)},Gravity: {Time: 1799, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1836, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.3848876953125, 0.9228515625)}}
0:00:01.967959: {Acceleration: {Time: 1947, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1897, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 1911, Status: 1, Value: (-28.75,28.5,-15.125)},Gravity: {Time: 1895, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1944, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.3848876953125, 0.9228515625)}}
0:00:02.062227: {Acceleration: {Time: 2041, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2004, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 2006, Status: 1, Value: (-28.5,28.0625,-16.625)},Gravity: {Time: 2001, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2036, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.3848876953125, 0.9228515625)}}
0:00:02.157873: {Acceleration: {Time: 2137, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2127, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 2129, Status: 1, Value: (-29.625,27.875,-14.3125)},Gravity: {Time: 2124, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2133, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.387939453125, 0.92156982421875)}}
0:00:02.283023: {Acceleration: {Time: 2259, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2219, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2222, Status: 1, Value: (-29.0625,29.125,-16.1875)},Gravity: {Time: 2262, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2255, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.387939453125, 0.92156982421875)}}
