0:00:01.348609 {Acceleration: {Time: 1320, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1283, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 1259, Status: 1, Value: (-28.875,29.4375,-14.6875)},Gravity: {Time: 1279, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1323, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.38507080078125, 0.9227294921875)}}
0:00:01.459337 {Acceleration: {Time: 1422, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1428, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1430, Status: 1, Value: (-27.75,27.375,-16.5)},Gravity: {Time: 1426, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1434, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.38507080078125, 0.9227294921875)}}
0:00:01.548873 {Acceleration: {Time: 1520, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1493, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1507, Status: 1, Value: (-28.4375,27.8125,-14.5)},Gravity: {Time: 1489, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1523, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38787841796875, 0.92156982421875)}}
0:00:01.662625 {Acceleration: {Time: 1634, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1628, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1630, Status: 1, Value: (-28.3125,28.4375,-15.5625)},Gravity: {Time: 1625, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1637, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387939453125, 0.92156982421875)}}
0:00:01.766568 {Acceleration: {Time: 1739, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1713, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1727, Status: 1, Value: (-29.625,28.875,-15.0)},Gravity: {Time: 1710, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1741, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38775634765625, 0.921630859375)}}
0:00:01.852030 {Acceleration: {Time: 1824, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1798, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1812, Status: 1, Value: (-28.375,28.75,-15.5625)},Gravity: {Time: 1796, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1827, Status: 0, Value: (-0.01544189453125,-0.003173828125,-0.3878173828125, 0.921630859375)}}
0:00:01.966579 {Acceleration: {Time: 1941, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1874, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1850, Status: 1, Value: (-27.875,27.75,-15.3125)},Gravity: {Time: 1870, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1938, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38348388671875, 0.92340087890625)}}
0:00:02.053833 {Acceleration: {Time: 2026, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 2015, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2019, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 2001, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2029, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38348388671875, 0.92340087890625)}}
0:00:02.167512 {Acceleration: {Time: 2137, Status: 0, Value: (0.001953125,0.00390625,0.00390625)},Gyroscope: {Time: 2086, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 2100, Status: 1, Value: (-29.125,28.5,-15.5)},Gravity: {Time: 2142, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2139, Status: 0, Value: (-0.01580810546875,-0.00311279296875,-0.3834228515625, 0.92340087890625)}}
0:00:02.254930 {Acceleration: {Time: 2218, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2225, Status: 3, Value: (-0.01953125,-0.01171875,0.04296875)},Magnetic: {Time: 2227, Status: 1, Value: (-28.4375,29.75,-15.5)},Gravity: {Time: 2222, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2230, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38348388671875, 0.92340087890625)}}
0:00:02.370611 {Acceleration: {Time: 2345, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2307, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 2309, Status: 1, Value: (-28.375,27.0625,-17.1875)},Gravity: {Time: 2304, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2340, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3834228515625, 0.92340087890625)}}
0:00:02.462435 {Acceleration: {Time: 2435, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 2412, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 2415, Status: 1, Value: (-28.625,29.0625,-16.25)},Gravity: {Time: 2409, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2429, Status: 0, Value: (-0.01556396484375,-0.00274658203125,-0.3834228515625, 0.92340087890625)}}
0:00:02.572668 {Acceleration: {Time: 2547, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2516, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2519, Status: 1, Value: (-29.0,28.4375,-16.1875)},Gravity: {Time: 2513, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2544, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38348388671875, 0.92340087890625)}}
0:00:02.669147 {Acceleration: {Time: 2641, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2604, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2580, Status: 1, Value: (-29.75,29.5,-14.625)},Gravity: {Time: 2601, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2645, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.383544921875, 0.92340087890625)}}
0:00:02.782682 {Acceleration: {Time: 2756, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 2748, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2750, Status: 1, Value: (-28.125,28.0,-16.75)},Gravity: {Time: 2745, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2758, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38348388671875, 0.92340087890625)}}
0:00:02.864741 {Acceleration: {Time: 2840, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2802, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 2805, Status: 1, Value: (-27.875,28.375,-16.0625)},Gravity: {Time: 2788, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2837, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384765625, 0.9228515625)}}
0:00:02.985367 {Acceleration: {Time: 2959, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2900, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 2902, Status: 1, Value: (-28.75,27.625,-17.8125)},Gravity: {Time: 2897, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2961, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38482666015625, 0.9228515625)}}
0:00:03.070562 {Acceleration: {Time: 3043, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2981, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2983, Status: 1, Value: (-28.625,28.75,-16.3125)},Gravity: {Time: 3046, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3040, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.9228515625)}}
0:00:03.168750 {Acceleration: {Time: 3136, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3145, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3079, Status: 1, Value: (-28.625,28.125,-15.5625)},Gravity: {Time: 3141, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3138, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.286716 {Acceleration: {Time: 3252, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3258, Status: 3, Value: (0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 3260, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 3256, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3263, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.371506 {Acceleration: {Time: 3345, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3334, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 3337, Status: 1, Value: (-29.125,29.4375,-15.875)},Gravity: {Time: 3320, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3347, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.483461 {Acceleration: {Time: 3459, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3404, Status: 3, Value: (0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3417, Status: 1, Value: (-29.875,28.5,-15.75)},Gravity: {Time: 3401, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3456, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.578833 {Acceleration: {Time: 3546, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3555, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3493, Status: 1, Value: (-28.4375,28.0,-17.125)},Gravity: {Time: 3552, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3548, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.676779 {Acceleration: {Time: 3650, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3611, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 3614, Status: 1, Value: (-29.0625,28.125,-15.5)},Gravity: {Time: 3597, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 3652, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:03.789907 {Acceleration: {Time: 3763, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3755, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 3759, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 3752, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3767, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
0:00:03.875181 {Acceleration: {Time: 3849, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3839, Status: 3, Value: (0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 3843, Status: 1, Value: (-28.8125,29.125,-15.0625)},Gravity: {Time: 3826, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 3852, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
0:00:03.986689 {Acceleration: {Time: 3961, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3954, Status: 3, Value: (-0.02734375,0.02734375,0.05078125)},Magnetic: {Time: 3958, Status: 1, Value: (-30.0625,28.9375,-14.5625)},Gravity: {Time: 3951, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 3963, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.385009765625, 0.92279052734375)}}
0:00:04.100241 {Acceleration: {Time: 4077, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4039, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4042, Status: 1, Value: (-29.8125,29.5625,-13.8125)},Gravity: {Time: 4036, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4072, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
0:00:04.193466 {Acceleration: {Time: 4170, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4132, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4135, Status: 1, Value: (-28.0625,27.625,-17.125)},Gravity: {Time: 4118, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4167, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.288920 {Acceleration: {Time: 4262, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4227, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4203, Status: 1, Value: (-29.375,28.4375,-16.5625)},Gravity: {Time: 4224, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4266, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.394675 {Acceleration: {Time: 4369, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4349, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4363, Status: 1, Value: (-29.125,29.125,-15.875)},Gravity: {Time: 4347, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4344, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.509331 {Acceleration: {Time: 4483, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4445, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4448, Status: 1, Value: (-28.625,28.75,-16.25)},Gravity: {Time: 4431, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4486, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.597476 {Acceleration: {Time: 4567, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4575, Status: 3, Value: (0.01953125,0.01953125,0.16796875)},Magnetic: {Time: 4534, Status: 1, Value: (-29.3125,29.8125,-14.625)},Gravity: {Time: 4572, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4569, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.683816 {Acceleration: {Time: 4653, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4661, Status: 3, Value: (-0.01953125,0.05859375,0.01171875)},Magnetic: {Time: 4591, Status: 1, Value: (-27.5,28.6875,-15.6875)},Gravity: {Time: 4659, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4657, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:04.809431 {Acceleration: {Time: 4783, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4756, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4770, Status: 1, Value: (-27.9375,28.75,-15.625)},Gravity: {Time: 4753, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4787, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38214111328125, 0.9239501953125)}}
0:00:04.894470 {Acceleration: {Time: 4863, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4872, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 4857, Status: 1, Value: (-27.8125,28.0,-16.0)},Gravity: {Time: 4870, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4866, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3822021484375, 0.9239501953125)}}
