0:00:01.395908: {Acceleration: {Time: 1373, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1347, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 1360, Status: 1, Value: (-29.875,29.4375,-16.6875)},Gravity: {Time: 1343, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1377, Status: 0, Value: (-0.01556396484375,-0.00250244140625,-0.39697265625, 0.917724609375)}}
0:00:01.507855: {Acceleration: {Time: 1489, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1434, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1437, Status: 1, Value: (-29.125,28.125,-15.3125)},Gravity: {Time: 1431, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1484, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:01.604227: {Acceleration: {Time: 1583, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1546, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 1522, Status: 1, Value: (-31.4375,28.5625,-16.1875)},Gravity: {Time: 1543, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1585, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:01.690499: {Acceleration: {Time: 1669, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1605, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 1608, Status: 1, Value: (-30.8125,29.875,-15.375)},Gravity: {Time: 1602, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1672, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:01.802666: {Acceleration: {Time: 1784, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1770, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1773, Status: 1, Value: (-31.5625,29.0,-15.375)},Gravity: {Time: 1756, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1781, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:01.890907: {Acceleration: {Time: 1872, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1861, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1864, Status: 1, Value: (-30.75,29.5,-15.875)},Gravity: {Time: 1858, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1867, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.006525: {Acceleration: {Time: 1980, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1988, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 1923, Status: 1, Value: (-30.75,29.5,-15.875)},Gravity: {Time: 1986, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1982, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.103348: {Acceleration: {Time: 2077, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2085, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 2046, Status: 1, Value: (-29.375,28.4375,-16.75)},Gravity: {Time: 2083, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2079, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.216246: {Acceleration: {Time: 2195, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2184, Status: 3, Value: (-0.01171875,0.02734375,0.04296875)},Magnetic: {Time: 2187, Status: 1, Value: (-31.5625,29.3125,-15.75)},Gravity: {Time: 2170, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2198, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:02.297982: {Acceleration: {Time: 2277, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2270, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 2273, Status: 1, Value: (-30.6875,28.5625,-15.5)},Gravity: {Time: 2266, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 2280, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39697265625, 0.917724609375)}}
