0:00:00.056531: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.8105016946792603, Phase: 50590.26953125
0:00:00.152290: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.6420888900756836, Phase: 50590.87109375
0:00:00.247942: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.489380121231079, Phase: 50591.4765625
0:00:00.361529: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.3266878128051758, Phase: 50592.19140625
0:00:00.455638: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.2057887315750122, Phase: 50592.78125
0:00:00.568346: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.075197696685791, Phase: 50593.48828125
0:00:00.669001: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.9705691337585449, Phase: 50594.125
0:00:00.769664: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.8766453266143799, Phase: 50594.75390625
0:00:00.868718: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.7918217778205872, Phase: 50595.3828125
0:00:00.950494: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.7293857336044312, Phase: 50595.890625
0:00:01.065281: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.6490497589111328, Phase: 50596.61328125
0:00:01.150520: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.5948148965835571, Phase: 50597.15234375
0:00:01.263161: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.5309417843818665, Phase: 50597.85546875
0:00:01.348367: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.4865729510784149, Phase: 50598.390625
0:00:01.463040: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.4334281384944916, Phase: 50599.109375
0:00:01.561476: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.3919028043746948, Phase: 50599.73046875
0:00:01.670411: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.3508983552455902, Phase: 50600.4140625
0:00:01.753694: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.3225720524787903, Phase: 50600.93359375
0:00:01.849877: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.292265385389328, Phase: 50601.54296875
0:00:01.976811: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.25686249136924744, Phase: 50602.34375
0:00:02.064239: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.23515550792217255, Phase: 50602.88671875
0:00:02.177857: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.20947006344795227, Phase: 50603.6015625
0:00:02.275611: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.18959179520606995, Phase: 50604.21875
0:00:02.364863: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.17321333289146423, Phase: 50604.77734375
0:00:02.480548: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.15397702157497406, Phase: 50605.50390625
0:00:02.579639: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.13922171294689178, Phase: 50606.12890625
0:00:02.678711: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.12588036060333252, Phase: 50606.75390625
0:00:02.770597: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.11463860422372818, Phase: 50607.33203125
0:00:02.887185: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.10180272161960602, Phase: 50608.0703125
0:00:02.971585: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.09339221566915512, Phase: 50608.60546875
0:00:03.066661: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.08479319512844086, Phase: 50609.19921875
0:00:03.175814: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.07591958343982697, Phase: 50609.8828125
