0:00:01.385263: {Acceleration: {Time: 1358, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1332, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1346, Status: 1, Value: (-29.6875,29.8125,-15.0625)},Gravity: {Time: 1329, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1362, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.472824: {Acceleration: {Time: 1447, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1417, Status: 3, Value: (0.02734375,0.01953125,-0.00390625)},Magnetic: {Time: 1420, Status: 1, Value: (-29.5,28.8125,-15.875)},Gravity: {Time: 1415, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1449, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.583740: {Acceleration: {Time: 1558, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1532, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 1546, Status: 1, Value: (-29.8125,29.9375,-13.9375)},Gravity: {Time: 1529, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1560, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.662620: {Acceleration: {Time: 1637, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1580, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 1583, Status: 1, Value: (-29.4375,28.4375,-16.375)},Gravity: {Time: 1577, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 1631, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.767014: {Acceleration: {Time: 1732, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1738, Status: 3, Value: (-0.00390625,0.01171875,-0.03515625)},Magnetic: {Time: 1740, Status: 1, Value: (-29.0625,28.125,-15.625)},Gravity: {Time: 1736, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 1744, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.877315: {Acceleration: {Time: 1854, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1803, Status: 3, Value: (0.03515625,0.01953125,0.00390625)},Magnetic: {Time: 1817, Status: 1, Value: (-29.125,28.125,-15.25)},Gravity: {Time: 1800, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 1849, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:01.975971: {Acceleration: {Time: 1950, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1913, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 1888, Status: 1, Value: (-29.1875,28.1875,-14.5)},Gravity: {Time: 1909, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 1953, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:02.089021: {Acceleration: {Time: 2064, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2038, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 2052, Status: 1, Value: (-29.3125,28.6875,-17.5)},Gravity: {Time: 2035, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 2066, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:02.190936: {Acceleration: {Time: 2168, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2136, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 2138, Status: 1, Value: (-29.5,28.8125,-15.875)},Gravity: {Time: 2134, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2165, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:02.286510: {Acceleration: {Time: 2255, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 2264, Status: 3, Value: (0.02734375,-0.01953125,0.04296875)},Magnetic: {Time: 2225, Status: 1, Value: (-28.6875,27.8125,-14.9375)},Gravity: {Time: 2261, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2257, Status: 0, Value: (-0.0150146484375,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:02.388082: {Acceleration: {Time: 2363, Status: 0, Value: (-0.001953125,0.0,-0.00390625)},Gyroscope: {Time: 2335, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 2349, Status: 1, Value: (-30.6875,28.5625,-15.8125)},Gravity: {Time: 2365, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2358, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:02.487301: {Acceleration: {Time: 2465, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2453, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 2456, Status: 1, Value: (-29.875,29.125,-16.625)},Gravity: {Time: 2450, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2459, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:02.586001: {Acceleration: {Time: 2555, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 2564, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 2523, Status: 1, Value: (-30.875,29.625,-14.9375)},Gravity: {Time: 2560, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2557, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38238525390625, 0.92388916015625)}}
0:00:02.678897: {Acceleration: {Time: 2654, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 2646, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 2650, Status: 1, Value: (-29.5,29.75,-16.625)},Gravity: {Time: 2643, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2656, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38232421875, 0.92388916015625)}}
0:00:02.793849: {Acceleration: {Time: 2772, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 2715, Status: 3, Value: (-0.05078125,-0.01953125,-0.03515625)},Magnetic: {Time: 2729, Status: 1, Value: (-29.5,28.8125,-15.875)},Gravity: {Time: 2711, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2768, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:02.901161: {Acceleration: {Time: 2871, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2879, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 2818, Status: 1, Value: (-29.75,28.125,-16.6875)},Gravity: {Time: 2877, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2874, Status: 0, Value: (-0.01519775390625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:02.997499: {Acceleration: {Time: 2972, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2964, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 2968, Status: 1, Value: (-29.875,28.1875,-15.9375)},Gravity: {Time: 2961, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 2976, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:03.107848: {Acceleration: {Time: 3080, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3049, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 3051, Status: 1, Value: (-28.75,29.125,-15.625)},Gravity: {Time: 3086, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 3083, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.207306: {Acceleration: {Time: 3177, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3186, Status: 3, Value: (-0.01953125,0.02734375,-0.04296875)},Magnetic: {Time: 3119, Status: 1, Value: (-29.0625,29.125,-16.375)},Gravity: {Time: 3182, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 3179, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.282645: {Acceleration: {Time: 3259, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3186, Status: 3, Value: (-0.01953125,0.02734375,-0.04296875)},Magnetic: {Time: 3202, Status: 1, Value: (-29.875,27.875,-15.5625)},Gravity: {Time: 3182, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 3252, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.389910: {Acceleration: {Time: 3366, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3346, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3360, Status: 1, Value: (-29.4375,28.125,-16.0)},Gravity: {Time: 3343, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3340, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.506879: {Acceleration: {Time: 3482, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3455, Status: 3, Value: (-0.01953125,-0.01953125,0.05078125)},Magnetic: {Time: 3469, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 3452, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3485, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.588763: {Acceleration: {Time: 3565, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3541, Status: 3, Value: (0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 3545, Status: 1, Value: (-30.875,29.625,-15.0)},Gravity: {Time: 3539, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3559, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.700364: {Acceleration: {Time: 3670, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3679, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 3642, Status: 1, Value: (-30.9375,30.3125,-14.5625)},Gravity: {Time: 3677, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3672, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.797748: {Acceleration: {Time: 3776, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3762, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3765, Status: 1, Value: (-28.5625,27.75,-16.125)},Gravity: {Time: 3748, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3772, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.914107: {Acceleration: {Time: 3893, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3858, Status: 3, Value: (0.02734375,0.01953125,-0.03515625)},Magnetic: {Time: 3860, Status: 1, Value: (-28.5625,27.4375,-16.0625)},Gravity: {Time: 3854, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3890, Status: 0, Value: (-0.01531982421875,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:03.998682: {Acceleration: {Time: 3978, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3944, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 3947, Status: 1, Value: (-30.125,29.3125,-14.3125)},Gravity: {Time: 3941, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3973, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.38226318359375, 0.9239501953125)}}
0:00:04.096401: {Acceleration: {Time: 4066, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4075, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4010, Status: 1, Value: (-30.8125,29.625,-15.375)},Gravity: {Time: 4072, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4069, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:04.217708: {Acceleration: {Time: 4197, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4158, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 4161, Status: 1, Value: (-30.0625,29.5625,-15.0625)},Gravity: {Time: 4154, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4192, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:04.321502: {Acceleration: {Time: 4298, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4257, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4261, Status: 1, Value: (-29.8125,28.125,-16.25)},Gravity: {Time: 4254, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4301, Status: 0, Value: (-0.01531982421875,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:04.407070: {Acceleration: {Time: 4379, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4350, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 4353, Status: 1, Value: (-30.75,28.9375,-15.375)},Gravity: {Time: 4386, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4381, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.38226318359375, 0.9239501953125)}}
0:00:04.499058: {Acceleration: {Time: 4476, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4441, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4445, Status: 1, Value: (-30.125,29.4375,-17.6875)},Gravity: {Time: 4427, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4470, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.38226318359375, 0.9239501953125)}}
0:00:04.610957: {Acceleration: {Time: 4588, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4549, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4552, Status: 1, Value: (-29.625,28.5625,-14.8125)},Gravity: {Time: 4535, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4591, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.38226318359375, 0.9239501953125)}}
0:00:04.722071: {Acceleration: {Time: 4699, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4674, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4688, Status: 1, Value: (-28.6875,29.125,-16.0625)},Gravity: {Time: 4672, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4702, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.38226318359375, 0.9239501953125)}}
0:00:04.806636: {Acceleration: {Time: 4777, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4786, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 4727, Status: 1, Value: (-29.4375,28.125,-16.0)},Gravity: {Time: 4783, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4780, Status: 0, Value: (-0.0152587890625,-0.0029296875,-0.38226318359375, 0.9239501953125)}}
0:00:04.907332: {Acceleration: {Time: 4878, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4887, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4850, Status: 1, Value: (-31.0625,29.25,-16.125)},Gravity: {Time: 4884, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4881, Status: 0, Value: (-0.0152587890625,-0.00299072265625,-0.38226318359375, 0.9239501953125)}}
0:00:04.999180: {Acceleration: {Time: 4977, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4969, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4972, Status: 1, Value: (-30.4375,29.8125,-15.8125)},Gravity: {Time: 4966, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4979, Status: 0, Value: (-0.01531982421875,-0.00299072265625,-0.3822021484375, 0.9239501953125)}}
0:00:05.108513: {Acceleration: {Time: 5089, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 5037, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 5051, Status: 1, Value: (-30.0,28.25,-14.75)},Gravity: {Time: 5034, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5083, Status: 0, Value: (-0.0152587890625,-0.0030517578125,-0.3822021484375, 0.9239501953125)}}
0:00:05.206789: {Acceleration: {Time: 5178, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5187, Status: 3, Value: (0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 5121, Status: 1, Value: (-30.25,29.75,-16.9375)},Gravity: {Time: 5184, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5180, Status: 0, Value: (-0.01531982421875,-0.0030517578125,-0.3822021484375, 0.9239501953125)}}
0:00:05.306526: {Acceleration: {Time: 5278, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 5287, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 5246, Status: 1, Value: (-28.9375,28.0625,-16.8125)},Gravity: {Time: 5283, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 5280, Status: 0, Value: (-0.0152587890625,-0.0030517578125,-0.38226318359375, 0.9239501953125)}}
0:00:05.429019: {Acceleration: {Time: 5409, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5370, Status: 3, Value: (-0.01953125,0.01171875,-0.00390625)},Magnetic: {Time: 5373, Status: 1, Value: (-30.5625,29.625,-14.625)},Gravity: {Time: 5367, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 5404, Status: 0, Value: (-0.0152587890625,-0.0030517578125,-0.3822021484375, 0.9239501953125)}}
0:00:05.526910: {Acceleration: {Time: 5498, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5507, Status: 3, Value: (-0.01171875,-0.01953125,0.04296875)},Magnetic: {Time: 5442, Status: 1, Value: (-29.375,29.0625,-17.0)},Gravity: {Time: 5504, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5501, Status: 0, Value: (-0.0152587890625,-0.0030517578125,-0.3822021484375, 0.9239501953125)}}
0:00:05.618846: {Acceleration: {Time: 5597, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5589, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5593, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 5586, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5600, Status: 0, Value: (-0.0152587890625,-0.0030517578125,-0.3822021484375, 0.9239501953125)}}
0:00:05.735059: {Acceleration: {Time: 5713, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5684, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 5686, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 5681, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5716, Status: 0, Value: (-0.0152587890625,-0.00299072265625,-0.38226318359375, 0.9239501953125)}}
0:00:05.821626: {Acceleration: {Time: 5800, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5736, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5739, Status: 1, Value: (-30.75,28.9375,-15.375)},Gravity: {Time: 5802, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5796, Status: 0, Value: (-0.01519775390625,-0.00299072265625,-0.38226318359375, 0.9239501953125)}}
