Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.046738, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.140486, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.234250, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.328001, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.421752, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.515500, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.609252, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.687353, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.781173, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.890497, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.968602, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.078139, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.171748, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.249856, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.359252, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.453003, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.531106, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.640502, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.734252, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.812353, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.921753, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.999985, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.093660, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.203137, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.296751, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.390502, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.468600, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.578003, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.671736, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.765499, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.843645, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.937444, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.046747, 0.0, 0.0, 90.0, 0.0, 0.0
