0:00:01.419833 {Acceleration: {Time: 1387, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1360, Status: 3, Value: (-0.01171875,-0.01953125,-0.01953125)},Magnetic: {Time: 1374, Status: 1, Value: (-30.5,30.875,-15.8125)},Gravity: {Time: 1358, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 1389, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:01.530331 {Acceleration: {Time: 1498, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1472, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 1486, Status: 1, Value: (-30.75,29.5,-15.875)},Gravity: {Time: 1469, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1500, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:01.613581 {Acceleration: {Time: 1574, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1583, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 1525, Status: 1, Value: (-31.5625,29.3125,-15.75)},Gravity: {Time: 1580, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1577, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:01.702991 {Acceleration: {Time: 1670, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1664, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1666, Status: 1, Value: (-29.5625,30.75,-16.6875)},Gravity: {Time: 1661, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1673, Status: 0, Value: (-0.0155029296875,-0.00274658203125,-0.39617919921875, 0.91802978515625)}}
0:00:01.813851 {Acceleration: {Time: 1776, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1745, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1748, Status: 1, Value: (-29.3125,28.375,-17.1875)},Gravity: {Time: 1784, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1779, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:01.913140 {Acceleration: {Time: 1880, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1854, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 1868, Status: 1, Value: (-30.6875,29.8125,-16.1875)},Gravity: {Time: 1851, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1883, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.029320 {Acceleration: {Time: 1994, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1975, Status: 3, Value: (0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 1989, Status: 1, Value: (-29.75,27.8125,-16.4375)},Gravity: {Time: 1972, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1996, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.115627 {Acceleration: {Time: 2086, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2045, Status: 3, Value: (0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 2049, Status: 1, Value: (-29.5625,29.4375,-15.5625)},Gravity: {Time: 2031, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2083, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.232152 {Acceleration: {Time: 2203, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2146, Status: 3, Value: (-0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 2160, Status: 1, Value: (-30.1875,27.5625,-16.375)},Gravity: {Time: 2144, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2198, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.326771 {Acceleration: {Time: 2297, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2286, Status: 3, Value: (-0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 2290, Status: 1, Value: (-30.0625,28.4375,-17.4375)},Gravity: {Time: 2283, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2293, Status: 0, Value: (-0.0155029296875,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.409992 {Acceleration: {Time: 2378, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2373, Status: 3, Value: (0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 2375, Status: 1, Value: (-30.6875,29.25,-15.8125)},Gravity: {Time: 2369, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2381, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.523615 {Acceleration: {Time: 2489, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2457, Status: 3, Value: (0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 2459, Status: 1, Value: (-29.8125,28.5,-16.375)},Gravity: {Time: 2494, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2491, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.632377 {Acceleration: {Time: 2603, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2553, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 2567, Status: 1, Value: (-30.6875,28.25,-15.5)},Gravity: {Time: 2550, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2599, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.728005 {Acceleration: {Time: 2691, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2699, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 2638, Status: 1, Value: (-30.5625,28.5,-16.625)},Gravity: {Time: 2697, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2694, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.825148 {Acceleration: {Time: 2794, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2758, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2762, Status: 1, Value: (-30.25,27.875,-15.9375)},Gravity: {Time: 2744, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2788, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:02.935696 {Acceleration: {Time: 2904, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2897, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2899, Status: 1, Value: (-30.3125,29.1875,-16.25)},Gravity: {Time: 2894, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2907, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:03.022973 {Acceleration: {Time: 2985, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2994, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2954, Status: 1, Value: (-29.875,29.4375,-16.6875)},Gravity: {Time: 2991, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2988, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39617919921875, 0.91802978515625)}}
0:00:03.143000 {Acceleration: {Time: 3112, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3105, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 3109, Status: 1, Value: (-30.0,29.5,-15.5)},Gravity: {Time: 3102, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3114, Status: 0, Value: (-0.01556396484375,-0.00286865234375,-0.39617919921875, 0.91802978515625)}}
0:00:03.224626 {Acceleration: {Time: 3194, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3186, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3189, Status: 1, Value: (-29.875,28.5,-15.9375)},Gravity: {Time: 3183, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3196, Status: 0, Value: (-0.01556396484375,-0.00286865234375,-0.39617919921875, 0.91802978515625)}}
