Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.107129, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127886.390625
0:00:00.216490, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127887.078125
0:00:00.314657, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127887.703125
0:00:00.414322, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127888.3359375
0:00:00.503902, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127888.8984375
0:00:00.621464, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127889.640625
0:00:00.706067, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127890.1640625
0:00:00.822047, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127890.8984375
0:00:00.906675, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127891.4375
0:00:01.032862, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127892.234375
0:00:01.120481, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127892.78125
0:00:01.235494, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127893.515625
0:00:01.317308, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127894.03125
0:00:01.425570, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127894.7109375
0:00:01.526261, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127895.34375
0:00:01.616992, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127895.9140625
0:00:01.726262, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127896.6015625
0:00:01.824367, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127897.2265625
0:00:01.924951, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127897.859375
0:00:02.017016, 0.0, 1.401298464324817e-44, 90.0, 1.401298464324817e-44, 127898.4375
