0:00:01.331016 {Acceleration: {Time: 1266, Status: 0, Value: (-0.00390625,-0.00390625,0.0)},Gyroscope: {Time: 1240, Status: 3, Value: (-0.0390625,0.01953125,0.0)},Magnetic: {Time: 1254, Status: 2, Value: (0.0,-23.375,-35.6875)},Gravity: {Time: 1237, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 1269, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.00286865234375)}}
0:00:01.420097 {Acceleration: {Time: 1367, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 1341, Status: 3, Value: (0.0078125,0.05078125,-0.0390625)},Magnetic: {Time: 1355, Status: 2, Value: (0.125,-24.0,-37.625)},Gravity: {Time: 1338, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 1370, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.516981 {Acceleration: {Time: 1459, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1464, Status: 3, Value: (0.0,0.01953125,-0.046875)},Magnetic: {Time: 1467, Status: 2, Value: (0.125,-24.1875,-35.625)},Gravity: {Time: 1462, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 1470, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.628983 {Acceleration: {Time: 1581, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1574, Status: 3, Value: (0.0390625,0.01953125,0.03125)},Magnetic: {Time: 1576, Status: 2, Value: (0.125,-24.125,-36.3125)},Gravity: {Time: 1570, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 1584, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.714124 {Acceleration: {Time: 1663, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1642, Status: 3, Value: (-0.0390625,-0.01953125,0.03125)},Magnetic: {Time: 1656, Status: 2, Value: (0.25,-23.6875,-35.6875)},Gravity: {Time: 1640, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 1637, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.797504 {Acceleration: {Time: 1750, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1744, Status: 3, Value: (-0.0078125,-0.01953125,0.0234375)},Magnetic: {Time: 1746, Status: 2, Value: (0.75,-23.9375,-35.625)},Gravity: {Time: 1739, Status: 3, Value: (0.2109375,0.59375,9.8671875)}, Rotation: {Time: 1753, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.904019 {Acceleration: {Time: 1848, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1810, Status: 3, Value: (-0.046875,-0.01953125,-0.015625)},Magnetic: {Time: 1786, Status: 2, Value: (0.0,-23.3125,-36.0)},Gravity: {Time: 1807, Status: 3, Value: (0.2109375,0.59375,9.8671875)}, Rotation: {Time: 1851, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:01.988964 {Acceleration: {Time: 1934, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1898, Status: 3, Value: (-0.046875,-0.01953125,-0.0546875)},Magnetic: {Time: 1901, Status: 2, Value: (-0.625,-23.0625,-37.0625)},Gravity: {Time: 1895, Status: 3, Value: (0.2109375,0.59375,9.8671875)}, Rotation: {Time: 1937, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:02.114615 {Acceleration: {Time: 2047, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2040, Status: 3, Value: (-0.0390625,0.01953125,-0.0078125)},Magnetic: {Time: 2043, Status: 2, Value: (-0.125,-24.9375,-36.9375)},Gravity: {Time: 2037, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 2050, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
0:00:02.181383 {Acceleration: {Time: 2132, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2125, Status: 3, Value: (0.0,-0.0546875,-0.0078125)},Magnetic: {Time: 2127, Status: 2, Value: (0.875,-23.5,-35.6875)},Gravity: {Time: 2121, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 2135, Status: 0, Value: (-0.01031494140625,-0.0302734375,-0.99951171875, 0.00286865234375)}}
