0:00:04.249870: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.359403: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.437343: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.546724: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.624867: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.734245: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.812372: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.921743: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:04.999839: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.109368: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.202997: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.296877: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.374840: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.484245: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.562373: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.671747: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.765639: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.859246: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:05.953127: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.046743: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.140627: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.234247: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.328140: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.406093: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.515472: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.593622: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.702993: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.781121: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.890470: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:06.968590: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.077996: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.156094: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.265475: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.343591: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.452972: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.531125: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.640631: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.718622: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.828130: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:07.906092: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.015639: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.093590: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.203135: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.281093: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.390634: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.468593: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.577996: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.671897: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.765497: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.859376: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:08.952995: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.031095: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.140496: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.234325: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.327997: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.421922: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.515496: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.609431: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.702995: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.796900: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.890496: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:09.984371: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.077996: Frequency: 6.165713243029195e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.156189: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.249870: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.359421: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.437370: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.546878: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.624870: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.734389: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.812370: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.921869: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:10.999870: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.109376: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.187371: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.296872: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.374871: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.484387: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.562370: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.671869: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.749845: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.859230: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:11.937340: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.046747: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.124870: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.234244: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.312340: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.421867: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.499843: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.609247: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.687342: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.796854: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.874869: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:12.984246: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.062437: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.171747: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.249844: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.359247: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.437370: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.546746: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.624865: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.734247: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.812341: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:13.921747: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.015669: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.109246: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.203132: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.296746: Frequency: 6.025583396596713e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.390637: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.468621: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.578133: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.656096: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.765637: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.843600: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:14.953131: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.031121: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.140635: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.218662: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.328127: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.406119: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.515484: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.593597: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.702995: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.781099: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.890480: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:15.968597: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:16.077996: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:16.171858: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
0:00:16.265496: Frequency: 5.885453550164232e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 24.65324592590332
