0:00:01.394788: {Acceleration: {Time: 1368, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1377, Status: 3, Value: (0.00390625,0.04296875,0.01953125)},Magnetic: {Time: 1336, Status: 1, Value: (-26.3125,-19.0,-7.375)},Gravity: {Time: 1373, Status: 3, Value: (0.1484375,-0.1953125,9.6328125)}, Rotation: {Time: 1370, Status: 0, Value: (-0.01025390625,-0.0068359375,0.0032958984375, 0.99993896484375)}}
0:00:01.486440: {Acceleration: {Time: 1466, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1459, Status: 3, Value: (0.01171875,-0.03515625,-0.01953125)},Magnetic: {Time: 1462, Status: 1, Value: (-24.5625,-21.125,-7.25)},Gravity: {Time: 1455, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 1469, Status: 0, Value: (-0.01025390625,-0.00689697265625,0.0032958984375, 0.99993896484375)}}
0:00:01.596011: {Acceleration: {Time: 1567, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1573, Status: 3, Value: (-0.02734375,0.00390625,0.01953125)},Magnetic: {Time: 1575, Status: 1, Value: (-26.1875,-21.9375,-6.8125)},Gravity: {Time: 1570, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 1578, Status: 0, Value: (-0.01025390625,-0.00689697265625,0.0032958984375, 0.99993896484375)}}
0:00:01.702095: {Acceleration: {Time: 1684, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1648, Status: 3, Value: (0.01171875,0.00390625,0.01953125)},Magnetic: {Time: 1651, Status: 1, Value: (-25.25,-21.8125,-8.0)},Gravity: {Time: 1645, Status: 3, Value: (0.140625,-0.1953125,9.6328125)}, Rotation: {Time: 1681, Status: 0, Value: (-0.01025390625,-0.00689697265625,0.0032958984375, 0.99993896484375)}}
0:00:01.784281: {Acceleration: {Time: 1757, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1762, Status: 3, Value: (0.00390625,0.00390625,0.01953125)},Magnetic: {Time: 1764, Status: 1, Value: (-25.75,-20.6875,-7.5)},Gravity: {Time: 1760, Status: 3, Value: (0.1484375,-0.1953125,9.6328125)}, Rotation: {Time: 1767, Status: 0, Value: (-0.01025390625,-0.00689697265625,0.0032958984375, 0.99993896484375)}}
0:00:01.905931: {Acceleration: {Time: 1889, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1830, Status: 3, Value: (0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 1844, Status: 1, Value: (-25.5625,-21.8125,-8.375)},Gravity: {Time: 1828, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 1883, Status: 0, Value: (-0.01025390625,-0.00689697265625,0.0032958984375, 0.99993896484375)}}
0:00:01.996961: {Acceleration: {Time: 1977, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1970, Status: 3, Value: (0.00390625,0.00390625,-0.02734375)},Magnetic: {Time: 1973, Status: 1, Value: (-26.4375,-22.625,-7.5625)},Gravity: {Time: 1966, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 1980, Status: 0, Value: (-0.01019287109375,-0.0069580078125,0.0032958984375, 0.99993896484375)}}
0:00:02.114568: {Acceleration: {Time: 2095, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2068, Status: 3, Value: (-0.02734375,0.00390625,-0.02734375)},Magnetic: {Time: 2082, Status: 1, Value: (-25.875,-19.375,-7.4375)},Gravity: {Time: 2065, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2097, Status: 0, Value: (-0.01019287109375,-0.0069580078125,0.0032958984375, 0.99993896484375)}}
0:00:02.200956: {Acceleration: {Time: 2182, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2117, Status: 3, Value: (0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 2121, Status: 1, Value: (-25.5,-21.0,-6.8125)},Gravity: {Time: 2114, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2184, Status: 0, Value: (-0.01019287109375,-0.0069580078125,0.0032958984375, 0.99993896484375)}}
0:00:02.308862: {Acceleration: {Time: 2290, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2269, Status: 3, Value: (0.01171875,0.00390625,-0.02734375)},Magnetic: {Time: 2283, Status: 1, Value: (-27.0,-20.625,-7.75)},Gravity: {Time: 2267, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2264, Status: 0, Value: (-0.01019287109375,-0.0069580078125,0.0032958984375, 0.99993896484375)}}
0:00:02.395218: {Acceleration: {Time: 2369, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2378, Status: 3, Value: (0.01171875,0.04296875,-0.02734375)},Magnetic: {Time: 2339, Status: 1, Value: (-26.0625,-21.375,-7.875)},Gravity: {Time: 2375, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2372, Status: 0, Value: (-0.01019287109375,-0.0069580078125,0.0032958984375, 0.99993896484375)}}
0:00:02.495622: {Acceleration: {Time: 2470, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2479, Status: 3, Value: (-0.03515625,0.00390625,-0.02734375)},Magnetic: {Time: 2442, Status: 1, Value: (-26.5625,-20.3125,-7.75)},Gravity: {Time: 2476, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 2472, Status: 0, Value: (-0.01019287109375,-0.00701904296875,0.0032958984375, 0.99993896484375)}}
0:00:02.615341: {Acceleration: {Time: 2595, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2588, Status: 3, Value: (0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 2591, Status: 1, Value: (-25.6875,-20.625,-5.625)},Gravity: {Time: 2584, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 2599, Status: 0, Value: (-0.01019287109375,-0.00701904296875,0.0032958984375, 0.99993896484375)}}
0:00:02.697167: {Acceleration: {Time: 2678, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2672, Status: 3, Value: (0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 2674, Status: 1, Value: (-24.1875,-20.8125,-7.3125)},Gravity: {Time: 2667, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2681, Status: 0, Value: (-0.01019287109375,-0.00701904296875,0.0032958984375, 0.99993896484375)}}
0:00:02.809514: {Acceleration: {Time: 2791, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2781, Status: 3, Value: (0.01171875,0.00390625,-0.02734375)},Magnetic: {Time: 2784, Status: 1, Value: (-25.125,-20.375,-6.8125)},Gravity: {Time: 2766, Status: 3, Value: (0.140625,-0.1953125,9.640625)}, Rotation: {Time: 2793, Status: 0, Value: (-0.01019287109375,-0.00701904296875,0.0032958984375, 0.99993896484375)}}
0:00:02.896725: {Acceleration: {Time: 2872, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2881, Status: 3, Value: (0.00390625,0.00390625,-0.02734375)},Magnetic: {Time: 2840, Status: 1, Value: (-25.6875,-21.0625,-7.9375)},Gravity: {Time: 2877, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 2874, Status: 0, Value: (-0.01019287109375,-0.007080078125,0.0032958984375, 0.99993896484375)}}
0:00:03.000033: {Acceleration: {Time: 2982, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2961, Status: 3, Value: (-0.03515625,0.00390625,0.01171875)},Magnetic: {Time: 2975, Status: 1, Value: (-24.9375,-21.125,-7.5625)},Gravity: {Time: 2959, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 2956, Status: 0, Value: (-0.01019287109375,-0.007080078125,0.0032958984375, 0.99993896484375)}}
0:00:03.115600: {Acceleration: {Time: 3091, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3100, Status: 3, Value: (0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 3061, Status: 1, Value: (-25.75,-21.625,-7.1875)},Gravity: {Time: 3096, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 3093, Status: 0, Value: (-0.01019287109375,-0.007080078125,0.0032958984375, 0.99993896484375)}}
0:00:03.202855: {Acceleration: {Time: 3187, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3150, Status: 3, Value: (0.00390625,0.00390625,-0.02734375)},Magnetic: {Time: 3153, Status: 1, Value: (-26.25,-20.3125,-7.0625)},Gravity: {Time: 3146, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 3184, Status: 0, Value: (-0.01019287109375,-0.007080078125,0.0032958984375, 0.99993896484375)}}
0:00:03.318377: {Acceleration: {Time: 3303, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3264, Status: 3, Value: (0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 3267, Status: 1, Value: (-24.9375,-20.8125,-8.0)},Gravity: {Time: 3261, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 3297, Status: 0, Value: (-0.01019287109375,-0.00714111328125,0.0032958984375, 0.99993896484375)}}
0:00:03.416866: {Acceleration: {Time: 3392, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3401, Status: 3, Value: (0.00390625,0.00390625,-0.02734375)},Magnetic: {Time: 3336, Status: 1, Value: (-25.9375,-20.9375,-6.0)},Gravity: {Time: 3398, Status: 3, Value: (0.1484375,-0.1953125,9.640625)}, Rotation: {Time: 3395, Status: 0, Value: (-0.01019287109375,-0.00714111328125,0.0032958984375, 0.99993896484375)}}
0:00:03.506287: {Acceleration: {Time: 3479, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3485, Status: 3, Value: (-0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 3487, Status: 1, Value: (-25.0625,-20.6875,-6.8125)},Gravity: {Time: 3483, Status: 3, Value: (0.15625,-0.1953125,9.640625)}, Rotation: {Time: 3491, Status: 0, Value: (-0.01019287109375,-0.00714111328125,0.0032958984375, 0.99993896484375)}}
