0:00:01.415384: {Acceleration: {Time: 1370, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1364, Status: 3, Value: (-0.01953125,-0.00390625,-0.02734375)},Magnetic: {Time: 1367, Status: 1, Value: (-29.4375,28.4375,-16.1875)},Gravity: {Time: 1360, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 1374, Status: 0, Value: (-0.01617431640625,-0.0029296875,-0.3853759765625, 0.922607421875)}}
0:00:01.526343: {Acceleration: {Time: 1485, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1446, Status: 3, Value: (-0.01953125,-0.00390625,0.01171875)},Magnetic: {Time: 1449, Status: 1, Value: (-29.4375,28.75,-16.5)},Gravity: {Time: 1442, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 1481, Status: 0, Value: (-0.01617431640625,-0.0029296875,-0.3853759765625, 0.922607421875)}}
0:00:01.624755: {Acceleration: {Time: 1574, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1583, Status: 3, Value: (-0.01953125,-0.00390625,-0.03515625)},Magnetic: {Time: 1543, Status: 1, Value: (-28.0,27.3125,-17.5)},Gravity: {Time: 1580, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 1577, Status: 0, Value: (-0.01617431640625,-0.0028076171875,-0.3912353515625, 0.92010498046875)}}
0:00:01.716497: {Acceleration: {Time: 1673, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1665, Status: 3, Value: (0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 1668, Status: 1, Value: (-28.5,27.4375,-16.3125)},Gravity: {Time: 1662, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 1675, Status: 0, Value: (-0.01617431640625,-0.0028076171875,-0.3912353515625, 0.92010498046875)}}
0:00:01.829066: {Acceleration: {Time: 1785, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1775, Status: 3, Value: (0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 1779, Status: 1, Value: (-27.875,27.6875,-15.625)},Gravity: {Time: 1762, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 1788, Status: 0, Value: (-0.01617431640625,-0.0028076171875,-0.39202880859375, 0.9197998046875)}}
0:00:01.916302: {Acceleration: {Time: 1866, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1875, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 1835, Status: 1, Value: (-28.5,27.6875,-16.6875)},Gravity: {Time: 1872, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 1869, Status: 0, Value: (-0.01617431640625,-0.0028076171875,-0.3919677734375, 0.9197998046875)}}
0:00:02.016546: {Acceleration: {Time: 1972, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1945, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1959, Status: 1, Value: (-28.1875,28.6875,-16.625)},Gravity: {Time: 1942, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1975, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3919677734375, 0.91986083984375)}}
0:00:02.125360: {Acceleration: {Time: 2084, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2035, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 2048, Status: 1, Value: (-29.625,28.875,-15.0)},Gravity: {Time: 2031, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2080, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3919677734375, 0.91986083984375)}}
0:00:02.226052: {Acceleration: {Time: 2182, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2145, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 2147, Status: 1, Value: (-27.1875,26.9375,-17.1875)},Gravity: {Time: 2185, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 2178, Status: 0, Value: (-0.015625,-0.0025634765625,-0.3919677734375, 0.91986083984375)}}
0:00:02.325370: {Acceleration: {Time: 2276, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2285, Status: 3, Value: (-0.01953125,-0.00390625,0.01171875)},Magnetic: {Time: 2244, Status: 1, Value: (-29.125,28.5,-15.4375)},Gravity: {Time: 2281, Status: 3, Value: (0.171875,-0.265625,9.640625)}, Rotation: {Time: 2278, Status: 0, Value: (-0.01611328125,-0.00299072265625,-0.38018798828125, 0.92474365234375)}}
