0:00:01.377919 {Acceleration: {Time: 1339, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1288, Status: 3, Value: (0.06640625,-0.0546875,0.01171875)},Magnetic: {Time: 1302, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 1285, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1334, Status: 0, Value: (-0.01507568359375,-0.00274658203125,-0.389404296875, 0.92095947265625)}}
0:00:01.479028 {Acceleration: {Time: 1430, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1440, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 1398, Status: 1, Value: (-29.5,28.8125,-15.875)},Gravity: {Time: 1436, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1432, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
0:00:01.578479 {Acceleration: {Time: 1536, Status: 0, Value: (0.0,-0.001953125,-0.001953125)},Gyroscope: {Time: 1510, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 1524, Status: 1, Value: (-30.5,29.25,-15.0)},Gravity: {Time: 1507, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1539, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.389404296875, 0.9208984375)}}
0:00:01.665988 {Acceleration: {Time: 1625, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1595, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 1598, Status: 1, Value: (-29.625,29.1875,-15.125)},Gravity: {Time: 1593, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1627, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
0:00:01.779953 {Acceleration: {Time: 1739, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 1712, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1726, Status: 1, Value: (-29.3125,29.25,-14.4375)},Gravity: {Time: 1709, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1741, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
0:00:01.867670 {Acceleration: {Time: 1820, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1829, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 1788, Status: 1, Value: (-29.625,28.875,-14.75)},Gravity: {Time: 1825, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 1822, Status: 0, Value: (-0.01507568359375,-0.0028076171875,-0.389404296875, 0.92095947265625)}}
0:00:01.967211 {Acceleration: {Time: 1926, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1886, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 1889, Status: 1, Value: (-29.375,29.875,-14.375)},Gravity: {Time: 1872, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1928, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.389404296875, 0.92095947265625)}}
0:00:02.080190 {Acceleration: {Time: 2039, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 2014, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2028, Status: 1, Value: (-29.125,29.125,-15.5625)},Gravity: {Time: 2012, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2041, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.389404296875, 0.92095947265625)}}
0:00:02.166595 {Acceleration: {Time: 2128, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2115, Status: 3, Value: (-0.01171875,-0.02734375,0.00390625)},Magnetic: {Time: 2118, Status: 1, Value: (-29.4375,28.5,-15.9375)},Gravity: {Time: 2101, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2125, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.389404296875, 0.92095947265625)}}
0:00:02.277900 {Acceleration: {Time: 2239, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 2224, Status: 3, Value: (-0.00390625,-0.02734375,0.00390625)},Magnetic: {Time: 2227, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 2210, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 2235, Status: 0, Value: (-0.01507568359375,-0.00286865234375,-0.389404296875, 0.92095947265625)}}
0:00:02.377698 {Acceleration: {Time: 2330, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2339, Status: 3, Value: (0.03515625,-0.01953125,-0.02734375)},Magnetic: {Time: 2303, Status: 1, Value: (-30.9375,29.375,-14.1875)},Gravity: {Time: 2336, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 2333, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:02.485051 {Acceleration: {Time: 2444, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2417, Status: 3, Value: (0.02734375,-0.0546875,0.01171875)},Magnetic: {Time: 2431, Status: 1, Value: (-30.5625,28.6875,-13.875)},Gravity: {Time: 2447, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2439, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:02.573570 {Acceleration: {Time: 2526, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 2535, Status: 3, Value: (-0.01171875,-0.0546875,-0.02734375)},Magnetic: {Time: 2467, Status: 1, Value: (-30.375,27.875,-15.125)},Gravity: {Time: 2533, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2530, Status: 0, Value: (-0.01513671875,-0.0028076171875,-0.38934326171875, 0.92095947265625)}}
0:00:02.689553 {Acceleration: {Time: 2648, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2611, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 2614, Status: 1, Value: (-29.0,27.5,-15.6875)},Gravity: {Time: 2651, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2644, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
