0:00:01.312533: {Acceleration: {Time: 1268, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1231, Status: 3, Value: (0.0078125,0.0,0.01953125)},Magnetic: {Time: 1206, Status: 0, Value: (-22.75,-10.25,-37.4375)},Gravity: {Time: 1228, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 1272, Status: 0, Value: (-0.034423828125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.406345: {Acceleration: {Time: 1361, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1331, Status: 3, Value: (-0.0390625,0.0078125,-0.01953125)},Magnetic: {Time: 1306, Status: 0, Value: (-22.375,-8.4375,-37.4375)},Gravity: {Time: 1327, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 1355, Status: 0, Value: (-0.034423828125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.500095: {Acceleration: {Time: 1458, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1423, Status: 3, Value: (0.0,0.0078125,0.01953125)},Magnetic: {Time: 1401, Status: 0, Value: (-23.125,-8.8125,-37.8125)},Gravity: {Time: 1419, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 1461, Status: 0, Value: (-0.034423828125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.593836: {Acceleration: {Time: 1552, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1528, Status: 3, Value: (0.0,-0.03125,0.01953125)},Magnetic: {Time: 1531, Status: 0, Value: (-23.125,-9.875,-38.625)},Gravity: {Time: 1526, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 1545, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.687464: {Acceleration: {Time: 1642, Status: 0, Value: (-0.005859375,-0.001953125,0.0)},Gyroscope: {Time: 1652, Status: 3, Value: (-0.0390625,0.0078125,0.01953125)},Magnetic: {Time: 1588, Status: 0, Value: (-23.8125,-9.125,-38.1875)},Gravity: {Time: 1649, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 1645, Status: 0, Value: (-0.03448486328125,-0.07281494140625,-0.44451904296875, 0.89215087890625)}}
0:00:01.796962: {Acceleration: {Time: 1742, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 1751, Status: 3, Value: (0.0078125,0.0078125,-0.02734375)},Magnetic: {Time: 1686, Status: 0, Value: (-22.75,-9.875,-39.0)},Gravity: {Time: 1748, Status: 3, Value: (1.5625,0.03125,9.640625)}, Rotation: {Time: 1745, Status: 0, Value: (-0.0345458984375,-0.07275390625,-0.44451904296875, 0.89215087890625)}}
0:00:01.890718: {Acceleration: {Time: 1845, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 1835, Status: 3, Value: (0.0078125,0.0078125,-0.02734375)},Magnetic: {Time: 1838, Status: 0, Value: (-23.5,-9.875,-39.0)},Gravity: {Time: 1821, Status: 3, Value: (1.5625,0.03125,9.640625)}, Rotation: {Time: 1847, Status: 0, Value: (-0.0345458984375,-0.07275390625,-0.444580078125, 0.89208984375)}}
0:00:01.984466: {Acceleration: {Time: 1946, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 1908, Status: 3, Value: (0.0078125,0.0078125,-0.01953125)},Magnetic: {Time: 1912, Status: 0, Value: (-22.375,-9.5,-38.25)},Gravity: {Time: 1905, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 1943, Status: 0, Value: (-0.0345458984375,-0.07275390625,-0.444580078125, 0.89215087890625)}}
0:00:02.046774: {Acceleration: {Time: 2014, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2004, Status: 3, Value: (0.0,0.0078125,-0.01953125)},Magnetic: {Time: 1980, Status: 0, Value: (-23.125,-9.125,-38.25)},Gravity: {Time: 2000, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 2009, Status: 0, Value: (-0.03460693359375,-0.07275390625,-0.44451904296875, 0.89215087890625)}}
0:00:02.156258: {Acceleration: {Time: 2102, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 2111, Status: 3, Value: (0.0,0.0078125,0.01953125)},Magnetic: {Time: 2048, Status: 0, Value: (-23.5,-10.25,-38.1875)},Gravity: {Time: 2108, Status: 3, Value: (1.5703125,0.03125,9.6328125)}, Rotation: {Time: 2105, Status: 0, Value: (-0.03460693359375,-0.07281494140625,-0.444580078125, 0.89208984375)}}
0:00:02.250095: {Acceleration: {Time: 2208, Status: 0, Value: (0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 2182, Status: 3, Value: (-0.03125,0.0078125,-0.01953125)},Magnetic: {Time: 2196, Status: 0, Value: (-25.3125,-11.0,-39.0)},Gravity: {Time: 2179, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2212, Status: 0, Value: (-0.03460693359375,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:02.343657: {Acceleration: {Time: 2301, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2310, Status: 3, Value: (0.0078125,-0.03125,-0.01953125)},Magnetic: {Time: 2247, Status: 0, Value: (-23.5,-9.875,-37.4375)},Gravity: {Time: 2307, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2304, Status: 0, Value: (-0.0345458984375,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:02.453216: {Acceleration: {Time: 2408, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 2367, Status: 3, Value: (-0.03125,0.0078125,-0.01953125)},Magnetic: {Time: 2370, Status: 0, Value: (-22.0,-9.875,-37.4375)},Gravity: {Time: 2353, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2410, Status: 0, Value: (-0.03448486328125,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:02.546921: {Acceleration: {Time: 2508, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 2465, Status: 3, Value: (0.0078125,0.0078125,-0.01171875)},Magnetic: {Time: 2468, Status: 0, Value: (-22.75,-11.375,-39.4375)},Gravity: {Time: 2451, Status: 3, Value: (1.5625,0.03125,9.625)}, Rotation: {Time: 2512, Status: 0, Value: (-0.03448486328125,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:02.625056: {Acceleration: {Time: 2583, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2571, Status: 3, Value: (0.0078125,-0.0390625,0.02734375)},Magnetic: {Time: 2546, Status: 0, Value: (-23.8125,-11.0,-38.25)},Gravity: {Time: 2568, Status: 3, Value: (1.5625,0.0390625,9.625)}, Rotation: {Time: 2578, Status: 0, Value: (-0.034423828125,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:02.718800: {Acceleration: {Time: 2678, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2642, Status: 3, Value: (0.0078125,0.0,-0.01171875)},Magnetic: {Time: 2616, Status: 0, Value: (-23.125,-9.5,-38.625)},Gravity: {Time: 2681, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 2674, Status: 0, Value: (-0.034423828125,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:02.828164: {Acceleration: {Time: 2773, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2783, Status: 3, Value: (0.0078125,-0.03125,-0.01953125)},Magnetic: {Time: 2740, Status: 0, Value: (-22.375,-8.8125,-40.1875)},Gravity: {Time: 2779, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2776, Status: 0, Value: (-0.03436279296875,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:02.906298: {Acceleration: {Time: 2870, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2863, Status: 3, Value: (0.0078125,0.0078125,-0.01953125)},Magnetic: {Time: 2866, Status: 0, Value: (-24.1875,-10.25,-39.0)},Gravity: {Time: 2860, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2873, Status: 0, Value: (-0.03436279296875,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:03.015667: {Acceleration: {Time: 2969, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2932, Status: 3, Value: (0.0078125,0.0078125,0.01953125)},Magnetic: {Time: 2935, Status: 0, Value: (-24.1875,-10.25,-39.4375)},Gravity: {Time: 2928, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 2966, Status: 0, Value: (-0.03436279296875,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:03.109431: {Acceleration: {Time: 3068, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3042, Status: 3, Value: (0.0078125,0.0078125,-0.01953125)},Magnetic: {Time: 3056, Status: 0, Value: (-22.75,-9.5,-37.0)},Gravity: {Time: 3039, Status: 3, Value: (1.5625,0.03125,9.6328125)}, Rotation: {Time: 3072, Status: 0, Value: (-0.03436279296875,-0.0728759765625,-0.44464111328125, 0.89208984375)}}
0:00:03.187540: {Acceleration: {Time: 3143, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3131, Status: 3, Value: (0.0078125,0.0,-0.01953125)},Magnetic: {Time: 3107, Status: 0, Value: (-23.5,-9.5,-39.8125)},Gravity: {Time: 3128, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 3138, Status: 0, Value: (-0.03436279296875,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.281295: {Acceleration: {Time: 3232, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3241, Status: 3, Value: (0.0078125,0.0,-0.01953125)},Magnetic: {Time: 3176, Status: 0, Value: (-22.75,-8.8125,-39.0)},Gravity: {Time: 3238, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 3235, Status: 0, Value: (-0.03436279296875,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.375054: {Acceleration: {Time: 3333, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3343, Status: 3, Value: (0.0078125,0.0,-0.01953125)},Magnetic: {Time: 3327, Status: 0, Value: (-23.5,-8.8125,-37.0)},Gravity: {Time: 3341, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 3335, Status: 0, Value: (-0.03436279296875,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.468777: {Acceleration: {Time: 3434, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3401, Status: 3, Value: (0.0078125,0.0,-0.01171875)},Magnetic: {Time: 3376, Status: 0, Value: (-23.5,-9.5,-38.25)},Gravity: {Time: 3398, Status: 3, Value: (1.5625,0.0390625,9.625)}, Rotation: {Time: 3428, Status: 0, Value: (-0.03436279296875,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.578174: {Acceleration: {Time: 3532, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3493, Status: 3, Value: (0.0078125,0.0,0.02734375)},Magnetic: {Time: 3469, Status: 0, Value: (-23.5,-9.125,-37.8125)},Gravity: {Time: 3490, Status: 3, Value: (1.5625,0.0390625,9.625)}, Rotation: {Time: 3534, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.671921: {Acceleration: {Time: 3622, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3631, Status: 3, Value: (0.0078125,-0.0390625,0.01953125)},Magnetic: {Time: 3568, Status: 0, Value: (-23.5,-9.125,-37.8125)},Gravity: {Time: 3628, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 3624, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.765677: {Acceleration: {Time: 3720, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3728, Status: 3, Value: (-0.03125,0.0,0.01953125)},Magnetic: {Time: 3690, Status: 0, Value: (-22.75,-9.5,-38.1875)},Gravity: {Time: 3726, Status: 3, Value: (1.5625,0.0390625,9.6328125)}, Rotation: {Time: 3723, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.859437: {Acceleration: {Time: 3823, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3786, Status: 3, Value: (0.015625,-0.0390625,0.01953125)},Magnetic: {Time: 3789, Status: 0, Value: (-22.75,-10.625,-38.25)},Gravity: {Time: 3772, Status: 3, Value: (1.5546875,0.0390625,9.6328125)}, Rotation: {Time: 3825, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:03.937549: {Acceleration: {Time: 3894, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3884, Status: 3, Value: (0.015625,-0.0390625,-0.01953125)},Magnetic: {Time: 3860, Status: 0, Value: (-23.125,-8.0625,-39.4375)},Gravity: {Time: 3880, Status: 3, Value: (1.5546875,0.0390625,9.6328125)}, Rotation: {Time: 3890, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:04.031294: {Acceleration: {Time: 3989, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3952, Status: 3, Value: (0.015625,0.0078125,-0.01953125)},Magnetic: {Time: 3955, Status: 0, Value: (-24.1875,-9.875,-38.1875)},Gravity: {Time: 3949, Status: 3, Value: (1.5546875,0.03125,9.6328125)}, Rotation: {Time: 3986, Status: 0, Value: (-0.0343017578125,-0.07281494140625,-0.44464111328125, 0.89208984375)}}
0:00:04.125047: {Acceleration: {Time: 4089, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4063, Status: 3, Value: (0.015625,0.0078125,-0.01953125)},Magnetic: {Time: 4077, Status: 0, Value: (-22.75,-9.875,-36.625)},Gravity: {Time: 4060, Status: 3, Value: (1.5546875,0.03125,9.6328125)}, Rotation: {Time: 4092, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.234422: {Acceleration: {Time: 4190, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4181, Status: 3, Value: (-0.0234375,0.0078125,-0.01953125)},Magnetic: {Time: 4184, Status: 0, Value: (-23.125,-11.0,-37.8125)},Gravity: {Time: 4177, Status: 3, Value: (1.5546875,0.03125,9.6328125)}, Rotation: {Time: 4186, Status: 0, Value: (-0.03424072265625,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.328171: {Acceleration: {Time: 4285, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4273, Status: 3, Value: (0.0078125,0.0078125,-0.01171875)},Magnetic: {Time: 4276, Status: 0, Value: (-22.75,-11.0,-36.625)},Gravity: {Time: 4259, Status: 3, Value: (1.5625,0.03125,9.625)}, Rotation: {Time: 4287, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
0:00:04.421928: {Acceleration: {Time: 4381, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4374, Status: 3, Value: (-0.03125,0.0078125,-0.01171875)},Magnetic: {Time: 4377, Status: 0, Value: (-23.125,-9.875,-37.4375)},Gravity: {Time: 4371, Status: 3, Value: (1.5625,0.03125,9.625)}, Rotation: {Time: 4383, Status: 0, Value: (-0.0343017578125,-0.07275390625,-0.44464111328125, 0.89208984375)}}
