0:00:04.637917: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51152.8828125
0:00:04.736327: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51153.5
0:00:04.841441: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51154.15625
0:00:04.934607: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51154.74609375
0:00:05.047290: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51155.44921875
0:00:05.144161: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51156.05859375
0:00:05.238911: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51156.65234375
0:00:05.322973: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51157.17578125
0:00:05.447371: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51157.953125
0:00:05.529242: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51158.47265625
0:00:05.636246: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51159.140625
0:00:05.749907: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51159.859375
0:00:05.835311: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51160.390625
0:00:05.951036: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51161.12109375
0:00:06.041274: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51161.68359375
0:00:06.156036: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51162.40625
0:00:06.243398: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51162.95703125
0:00:06.359099: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51163.6875
0:00:06.431406: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51164.140625
0:00:06.559235: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51164.94921875
0:00:06.645654: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51165.48828125
0:00:06.759274: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51166.203125
0:00:06.845650: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51166.74609375
0:00:06.960248: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51167.4609375
0:00:07.042729: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51167.98046875
0:00:07.139953: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51168.59375
