0:00:04.637777: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.0172338144302664e-40, Phase: 51152.8828125
0:00:04.736296: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.7309064992147765e-40, Phase: 51153.5
0:00:04.841314: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.4552570782974417e-40, Phase: 51154.15625
0:00:04.934469: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.2314837265294117e-40, Phase: 51154.74609375
0:00:05.047183: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.9918336631605815e-40, Phase: 51155.44921875
0:00:05.144135: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8046622272807157e-40, Phase: 51156.05859375
0:00:05.238758: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.6385102683657221e-40, Phase: 51156.65234375
0:00:05.322821: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5046582390534156e-40, Phase: 51157.17578125
0:00:05.446849: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.3265111652838016e-40, Phase: 51157.953125
0:00:05.529080: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.219423936640099e-40, Phase: 51158.47265625
0:00:05.636144: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.0940497630369577e-40, Phase: 51159.140625
0:00:05.749768: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.745610429839805e-41, Phase: 51159.859375
0:00:05.835159: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -8.940424332238765e-41, Phase: 51160.390625
0:00:05.950982: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.947604370264632e-41, Phase: 51161.12109375
0:00:06.041204: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.252980721498821e-41, Phase: 51161.68359375
0:00:06.155887: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.45396033714081e-41, Phase: 51162.40625
0:00:06.243239: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.902549391428994e-41, Phase: 51162.95703125
0:00:06.359028: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.247021969817845e-41, Phase: 51163.6875
0:00:06.431253: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.875818006618201e-41, Phase: 51164.140625
0:00:06.559182: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.280686548819451e-41, Phase: 51164.94921875
0:00:06.645499: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.923075180723758e-41, Phase: 51165.48828125
0:00:06.759251: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.494558110333229e-41, Phase: 51166.203125
0:00:06.845501: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.19930452389999e-41, Phase: 51166.74609375
0:00:06.960096: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.849960816743813e-41, Phase: 51167.4609375
0:00:07.042450: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.6200077387481105e-41, Phase: 51167.98046875
0:00:07.139811: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.3739397284126726e-41, Phase: 51168.59375
0:00:07.260301: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.099145099558576e-41, Phase: 51169.3515625
0:00:07.352669: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.9124921441105103e-41, Phase: 51169.9296875
0:00:07.465310: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.7053802310833024e-41, Phase: 51170.640625
0:00:07.546052: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5709957083545524e-41, Phase: 51171.1484375
0:00:07.659840: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.3994767763211948e-41, Phase: 51171.86328125
0:00:07.757643: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.2667738117496346e-41, Phase: 51172.4765625
0:00:07.865040: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.1365931844138591e-41, Phase: 51173.1484375
0:00:07.950058: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.0427061873040964e-41, Phase: 51173.6796875
0:00:08.047371: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.437745157227643e-42, Phase: 51174.296875
0:00:08.155548: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -8.459638829128921e-42, Phase: 51174.97265625
0:00:08.272255: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.512361067245344e-42, Phase: 51175.70703125
0:00:08.352223: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.926618309157571e-42, Phase: 51176.20703125
0:00:08.460357: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.209153495423264e-42, Phase: 51176.88671875
0:00:08.552005: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.654239303550637e-42, Phase: 51177.46484375
