0:00:01.430350: {Acceleration: {Time: 1382, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1390, Status: 3, Value: (-0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 1327, Status: 1, Value: (-28.6875,28.4375,-15.3125)},Gravity: {Time: 1387, Status: 3, Value: (0.1796875,-0.2421875,9.640625)}, Rotation: {Time: 1385, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38494873046875, 0.92279052734375)}}
0:00:01.524055: {Acceleration: {Time: 1482, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1473, Status: 3, Value: (-0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 1477, Status: 1, Value: (-30.6875,29.5625,-16.125)},Gravity: {Time: 1470, Status: 3, Value: (0.1796875,-0.2421875,9.640625)}, Rotation: {Time: 1484, Status: 0, Value: (-0.01519775390625,-0.0037841796875,-0.38494873046875, 0.92279052734375)}}
0:00:01.631470: {Acceleration: {Time: 1592, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1543, Status: 3, Value: (0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 1557, Status: 1, Value: (-30.0,28.5625,-15.1875)},Gravity: {Time: 1540, Status: 3, Value: (0.1796875,-0.2421875,9.640625)}, Rotation: {Time: 1588, Status: 0, Value: (-0.01519775390625,-0.0037841796875,-0.38494873046875, 0.92279052734375)}}
0:00:01.729997: {Acceleration: {Time: 1681, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1690, Status: 3, Value: (-0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 1650, Status: 1, Value: (-29.5,28.5,-15.5)},Gravity: {Time: 1687, Status: 3, Value: (0.1796875,-0.2421875,9.640625)}, Rotation: {Time: 1684, Status: 0, Value: (-0.01519775390625,-0.0037841796875,-0.38494873046875, 0.92279052734375)}}
0:00:01.831742: {Acceleration: {Time: 1789, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1763, Status: 3, Value: (0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 1777, Status: 1, Value: (-29.375,27.5,-16.0625)},Gravity: {Time: 1760, Status: 3, Value: (0.1796875,-0.2421875,9.640625)}, Rotation: {Time: 1792, Status: 0, Value: (-0.01519775390625,-0.0037841796875,-0.38494873046875, 0.92279052734375)}}
0:00:01.946749: {Acceleration: {Time: 1905, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1879, Status: 3, Value: (0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 1893, Status: 1, Value: (-30.5625,29.625,-14.625)},Gravity: {Time: 1877, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1907, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38494873046875, 0.92279052734375)}}
0:00:02.031219: {Acceleration: {Time: 1983, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1992, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 1950, Status: 1, Value: (-29.0625,26.875,-14.9375)},Gravity: {Time: 1989, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 1985, Status: 0, Value: (-0.01519775390625,-0.0037841796875,-0.38494873046875, 0.92279052734375)}}
0:00:02.121981: {Acceleration: {Time: 2080, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2073, Status: 3, Value: (0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 2076, Status: 1, Value: (-28.5625,28.6875,-16.875)},Gravity: {Time: 2069, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 2083, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38494873046875, 0.92279052734375)}}
0:00:02.230324: {Acceleration: {Time: 2191, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2141, Status: 3, Value: (-0.02734375,0.02734375,-0.03515625)},Magnetic: {Time: 2155, Status: 1, Value: (-28.3125,28.125,-14.9375)},Gravity: {Time: 2138, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 2187, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38494873046875, 0.92279052734375)}}
0:00:02.330059: {Acceleration: {Time: 2282, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2291, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 2250, Status: 1, Value: (-30.625,28.875,-16.1875)},Gravity: {Time: 2288, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2285, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38494873046875, 0.92279052734375)}}
