0:00:01.330770: {Acceleration: {Time: 1302, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1296, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 1299, Status: 1, Value: (-29.75,29.375,-17.25)},Gravity: {Time: 1292, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1305, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.439666: {Acceleration: {Time: 1414, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1364, Status: 3, Value: (0.03515625,-0.01953125,-0.02734375)},Magnetic: {Time: 1378, Status: 1, Value: (-30.1875,28.5,-16.875)},Gravity: {Time: 1360, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1409, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.536467: {Acceleration: {Time: 1502, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1510, Status: 3, Value: (-0.00390625,-0.01953125,-0.02734375)},Magnetic: {Time: 1470, Status: 1, Value: (-30.625,29.8125,-16.75)},Gravity: {Time: 1508, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1505, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.651122: {Acceleration: {Time: 1616, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1625, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 1565, Status: 1, Value: (-30.3125,28.875,-16.125)},Gravity: {Time: 1622, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1618, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.749148: {Acceleration: {Time: 1714, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1723, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 1683, Status: 1, Value: (-29.1875,27.6875,-17.75)},Gravity: {Time: 1720, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 1717, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.848625: {Acceleration: {Time: 1820, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1780, Status: 3, Value: (-0.00390625,0.02734375,0.01953125)},Magnetic: {Time: 1783, Status: 1, Value: (-31.1875,29.5625,-15.625)},Gravity: {Time: 1766, Status: 3, Value: (0.15625,-0.2578125,9.6328125)}, Rotation: {Time: 1823, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:01.961169: {Acceleration: {Time: 1932, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1906, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1920, Status: 1, Value: (-30.5625,28.8125,-16.875)},Gravity: {Time: 1904, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1935, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.043670: {Acceleration: {Time: 1988, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2009, Status: 3, Value: (0.02734375,0.01953125,0.05078125)},Magnetic: {Time: 2013, Status: 1, Value: (-29.5,28.8125,-15.8125)},Gravity: {Time: 1995, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1990, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.139158: {Acceleration: {Time: 2110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2075, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 2051, Status: 1, Value: (-30.5625,28.5,-16.4375)},Gravity: {Time: 2072, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2114, Status: 0, Value: (-0.01513671875,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:02.249989: {Acceleration: {Time: 2221, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2186, Status: 3, Value: (0.03515625,-0.01953125,0.00390625)},Magnetic: {Time: 2190, Status: 1, Value: (-31.25,27.5625,-16.8125)},Gravity: {Time: 2183, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 2224, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
