0:00:03.943491: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27049.783203125
0:00:04.034836: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27050.36328125
0:00:04.139116: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27051.01953125
0:00:04.242761: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27051.67578125
0:00:04.346763: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27052.33203125
0:00:04.450922: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27052.98828125
0:00:04.554870: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27053.64453125
0:00:04.658711: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27054.306640625
0:00:04.750006: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27054.880859375
0:00:04.853915: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27055.537109375
0:00:04.957864: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27056.193359375
0:00:05.061786: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27056.849609375
0:00:05.165826: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27057.505859375
0:00:05.257294: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27058.0859375
0:00:05.348569: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27058.66015625
0:00:05.465661: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27059.3984375
0:00:05.569531: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27060.060546875
0:00:05.673362: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27060.716796875
0:00:05.764741: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27061.291015625
0:00:05.868955: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27061.947265625
0:00:05.973214: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27062.609375
0:00:06.077084: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27063.265625
0:00:06.181245: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27063.921875
0:00:06.272761: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27064.501953125
0:00:06.376788: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27065.158203125
0:00:06.480807: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27065.814453125
0:00:06.584775: Frequency: 0.0, Amplitude: 3.0828566215145976e-44, Offset: 90.0003433227539, Phase Shift: 3.0828566215145976e-44, Phase: 27066.4765625
