Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.046862, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.156976, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.250761, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.345217, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.439345, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.533663, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.627928, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.722171, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.816288, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:00.894865, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.004524, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.098725, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.192957, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.286983, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.381153, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.475104, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.569524, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.663909, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.757716, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.851972, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:01.946078, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.040267, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.134457, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.228736, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.322783, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.416956, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.511559, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.605924, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.700811, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.779362, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.873793, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:02.968229, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:03.062031, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:03.156585, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:03.250892, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:03.344927, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
0:00:03.439077, 5.74532370373175e-44, 0.0, 90.0, 0.0, 47.830501556396484
