0:00:01.371421: {Acceleration: {Time: 1330, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1265, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 1269, Status: 1, Value: (-28.8125,30.0625,-15.8125)},Gravity: {Time: 1262, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 1332, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38055419921875, 0.92462158203125)}}
0:00:01.466880: {Acceleration: {Time: 1425, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1389, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1366, Status: 1, Value: (-29.125,29.125,-15.8125)},Gravity: {Time: 1385, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1428, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:01.578202: {Acceleration: {Time: 1537, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1530, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1533, Status: 1, Value: (-29.0,27.1875,-15.5625)},Gravity: {Time: 1526, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1540, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:01.687093: {Acceleration: {Time: 1649, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1598, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1612, Status: 1, Value: (-28.625,28.125,-15.5625)},Gravity: {Time: 1594, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1643, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:01.786907: {Acceleration: {Time: 1745, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1703, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1706, Status: 1, Value: (-27.375,27.6875,-16.0)},Gravity: {Time: 1748, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1741, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:01.878637: {Acceleration: {Time: 1838, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1803, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 1807, Status: 1, Value: (-28.375,28.75,-15.5)},Gravity: {Time: 1789, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1832, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:01.992476: {Acceleration: {Time: 1952, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1910, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1913, Status: 1, Value: (-28.9375,27.4375,-16.3125)},Gravity: {Time: 1954, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1946, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38055419921875, 0.92462158203125)}}
0:00:02.086976: {Acceleration: {Time: 2041, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2045, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2049, Status: 1, Value: (-30.25,29.3125,-13.8125)},Gravity: {Time: 2043, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2035, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.183397: {Acceleration: {Time: 2138, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2143, Status: 3, Value: (0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 2145, Status: 1, Value: (-28.875,28.5,-14.3125)},Gravity: {Time: 2140, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2133, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.288549: {Acceleration: {Time: 2240, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2245, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2248, Status: 1, Value: (-28.8125,29.125,-15.0625)},Gravity: {Time: 2243, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2250, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.404713: {Acceleration: {Time: 2364, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2353, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2356, Status: 1, Value: (-29.5625,28.875,-15.375)},Gravity: {Time: 2339, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2366, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
0:00:02.490804: {Acceleration: {Time: 2451, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2424, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 2438, Status: 1, Value: (-27.4375,28.0,-15.625)},Gravity: {Time: 2421, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2453, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.382568359375, 0.92376708984375)}}
