0:00:01.300827 {Acceleration: {Time: 1250, Status: 0, Value: (-0.009765625,-0.02734375,-0.001953125)},Gyroscope: {Time: 1235, Status: 3, Value: (-0.37109375,0.1953125,-0.35546875)},Magnetic: {Time: 1238, Status: 0, Value: (-39.1875,-67.1875,-66.5)},Gravity: {Time: 1221, Status: 3, Value: (0.5625,-0.1171875,9.703125)}, Rotation: {Time: 1245, Status: 0, Value: (-0.00592041015625,-0.02972412109375,0.0047607421875, 0.99951171875)}}
0:00:01.426284 {Acceleration: {Time: 1363, Status: 0, Value: (0.0078125,0.048828125,0.00390625)},Gyroscope: {Time: 1331, Status: 3, Value: (0.48046875,0.0390625,0.2578125)},Magnetic: {Time: 1334, Status: 0, Value: (-39.375,-68.5625,-66.625)},Gravity: {Time: 1371, Status: 3, Value: (0.5703125,-0.1171875,9.703125)}, Rotation: {Time: 1365, Status: 0, Value: (-0.006103515625,-0.03009033203125,0.0047607421875, 0.99951171875)}}
0:00:01.489326 {Acceleration: {Time: 1439, Status: 0, Value: (-0.005859375,-0.044921875,-0.00390625)},Gyroscope: {Time: 1425, Status: 3, Value: (0.04296875,-0.15234375,0.2578125)},Magnetic: {Time: 1428, Status: 0, Value: (-38.75,-68.625,-67.8125)},Gravity: {Time: 1411, Status: 3, Value: (0.5703125,-0.1171875,9.703125)}, Rotation: {Time: 1435, Status: 0, Value: (-0.0059814453125,-0.030029296875,0.00469970703125, 0.99951171875)}}
0:00:01.614624 {Acceleration: {Time: 1553, Status: 0, Value: (0.0,-0.03125,-0.00390625)},Gyroscope: {Time: 1521, Status: 3, Value: (0.12890625,-0.07421875,-0.28125)},Magnetic: {Time: 1525, Status: 0, Value: (-39.8125,-68.6875,-67.5)},Gravity: {Time: 1561, Status: 3, Value: (0.5625,-0.109375,9.703125)}, Rotation: {Time: 1555, Status: 0, Value: (-0.0057373046875,-0.02972412109375,0.004638671875, 0.99951171875)}}
0:00:01.678093 {Acceleration: {Time: 1621, Status: 0, Value: (-0.00390625,-0.0234375,-0.00390625)},Gyroscope: {Time: 1630, Status: 3, Value: (0.38671875,-0.234375,-0.125)},Magnetic: {Time: 1591, Status: 0, Value: (-39.875,-69.75,-67.25)},Gravity: {Time: 1627, Status: 3, Value: (0.5703125,-0.109375,9.703125)}, Rotation: {Time: 1624, Status: 0, Value: (-0.0057373046875,-0.02972412109375,0.004638671875, 0.99951171875)}}
0:00:01.772421 {Acceleration: {Time: 1719, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 1712, Status: 3, Value: (-0.53125,0.1171875,0.1796875)},Magnetic: {Time: 1715, Status: 0, Value: (-38.875,-69.375,-68.375)},Gravity: {Time: 1709, Status: 3, Value: (0.5703125,-0.1171875,9.703125)}, Rotation: {Time: 1722, Status: 0, Value: (-0.005859375,-0.02984619140625,0.004638671875, 0.99951171875)}}
0:00:01.867155 {Acceleration: {Time: 1818, Status: 0, Value: (0.001953125,0.033203125,0.001953125)},Gyroscope: {Time: 1780, Status: 3, Value: (0.42578125,0.0390625,0.09765625)},Magnetic: {Time: 1784, Status: 0, Value: (-39.0625,-69.25,-66.25)},Gravity: {Time: 1777, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 1814, Status: 0, Value: (-0.0059814453125,-0.02972412109375,0.00457763671875, 0.99951171875)}}
0:00:01.977138 {Acceleration: {Time: 1915, Status: 0, Value: (0.0078125,0.04296875,0.001953125)},Gyroscope: {Time: 1888, Status: 3, Value: (0.38671875,0.0390625,0.36328125)},Magnetic: {Time: 1902, Status: 0, Value: (-39.1875,-67.125,-66.125)},Gravity: {Time: 1886, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 1918, Status: 0, Value: (-0.0059814453125,-0.0296630859375,0.00457763671875, 0.99951171875)}}
0:00:02.071467 {Acceleration: {Time: 2012, Status: 0, Value: (0.00390625,0.037109375,0.00390625)},Gyroscope: {Time: 1978, Status: 3, Value: (0.45703125,0.00390625,0.2109375)},Magnetic: {Time: 1981, Status: 0, Value: (-38.4375,-69.25,-67.4375)},Gravity: {Time: 1976, Status: 3, Value: (0.578125,-0.1171875,9.7109375)}, Rotation: {Time: 2007, Status: 0, Value: (-0.005859375,-0.02960205078125,0.00457763671875, 0.99951171875)}}
0:00:02.165274 {Acceleration: {Time: 2108, Status: 0, Value: (0.0,-0.025390625,-0.001953125)},Gyroscope: {Time: 2071, Status: 3, Value: (-0.609375,0.26953125,-0.25)},Magnetic: {Time: 2045, Status: 0, Value: (-39.0625,-68.3125,-67.8125)},Gravity: {Time: 2067, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 2111, Status: 0, Value: (-0.00579833984375,-0.02947998046875,0.00457763671875, 0.99951171875)}}
