0:00:01.391984: {Acceleration: {Time: 1350, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1342, Status: 3, Value: (-0.01953125,0.01171875,0.01953125)},Magnetic: {Time: 1346, Status: 1, Value: (-29.125,29.125,-15.5625)},Gravity: {Time: 1339, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1352, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.395751953125, 0.918212890625)}}
0:00:01.501245: {Acceleration: {Time: 1462, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1411, Status: 3, Value: (0.01953125,-0.02734375,-0.01953125)},Magnetic: {Time: 1425, Status: 1, Value: (-28.875,28.1875,-14.125)},Gravity: {Time: 1407, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 1458, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39569091796875, 0.91827392578125)}}
0:00:01.610530: {Acceleration: {Time: 1571, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1532, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1535, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 1528, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1567, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:01.709212: {Acceleration: {Time: 1661, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 1670, Status: 3, Value: (0.01953125,0.05859375,0.01171875)},Magnetic: {Time: 1630, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 1667, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1663, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:01.805840: {Acceleration: {Time: 1767, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1738, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1752, Status: 1, Value: (-26.9375,27.375,-15.9375)},Gravity: {Time: 1736, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1763, Status: 0, Value: (-0.015380859375,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:01.921847: {Acceleration: {Time: 1874, Status: 0, Value: (0.005859375,0.0,0.001953125)},Gyroscope: {Time: 1883, Status: 3, Value: (-0.01953125,-0.01953125,0.09765625)},Magnetic: {Time: 1818, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 1881, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 1876, Status: 0, Value: (-0.01544189453125,-0.0028076171875,-0.3956298828125, 0.91827392578125)}}
0:00:02.020318: {Acceleration: {Time: 1972, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 1981, Status: 3, Value: (-0.05078125,0.01953125,-0.02734375)},Magnetic: {Time: 1915, Status: 1, Value: (-29.1875,27.875,-14.5)},Gravity: {Time: 1978, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1975, Status: 0, Value: (-0.015380859375,-0.00274658203125,-0.39556884765625, 0.91827392578125)}}
0:00:02.114045: {Acceleration: {Time: 2073, Status: 0, Value: (0.005859375,-0.001953125,0.001953125)},Gyroscope: {Time: 2065, Status: 3, Value: (-0.05078125,0.09765625,-0.140625)},Magnetic: {Time: 2068, Status: 1, Value: (-28.6875,29.4375,-15.9375)},Gravity: {Time: 2062, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2075, Status: 0, Value: (-0.015380859375,-0.00274658203125,-0.39556884765625, 0.9183349609375)}}
0:00:02.200663: {Acceleration: {Time: 2159, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2132, Status: 3, Value: (0.02734375,0.00390625,-0.02734375)},Magnetic: {Time: 2147, Status: 1, Value: (-28.5625,27.5,-15.75)},Gravity: {Time: 2130, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 2162, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39556884765625, 0.91827392578125)}}
0:00:02.313561: {Acceleration: {Time: 2264, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2269, Status: 3, Value: (0.02734375,0.01171875,0.01953125)},Magnetic: {Time: 2273, Status: 1, Value: (-29.5625,28.1875,-15.25)},Gravity: {Time: 2267, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 2275, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.3956298828125, 0.91827392578125)}}
