0:00:00.112938: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118578.5625
0:00:00.225872: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118579.2734375
0:00:00.314519: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118579.828125
0:00:00.407967: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118580.4140625
0:00:00.522879: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118581.140625
0:00:00.608400: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118581.6796875
0:00:00.734408: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118582.46875
0:00:00.829055: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118583.0625
0:00:00.925965: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118583.6640625
0:00:01.012534: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118584.2109375
0:00:01.136263: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118584.9921875
0:00:01.222885: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118585.5390625
0:00:01.315441: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118586.1171875
0:00:01.429452: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118586.84375
0:00:01.523158: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118587.4375
0:00:01.630487: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118588.1171875
0:00:01.729047: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118588.734375
0:00:01.830748: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118589.375
0:00:01.945747: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118590.1015625
0:00:02.030252: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118590.6328125
0:00:02.121009: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118591.2109375
0:00:02.229279: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118591.890625
0:00:02.329121: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118592.5234375
0:00:02.429786: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118593.1640625
0:00:02.550949: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118593.9296875
0:00:02.649419: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118594.546875
0:00:02.741346: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118595.1328125
0:00:02.851772: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118595.8203125
0:00:02.944170: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118596.40625
0:00:03.029745: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118596.9453125
0:00:03.133377: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118597.59375
0:00:03.247246: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118598.3125
0:00:03.353608: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118598.984375
0:00:03.448946: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118599.5859375
0:00:03.561952: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118600.296875
0:00:03.648468: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118600.84375
0:00:03.757751: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118601.53125
0:00:03.865973: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118602.2109375
0:00:03.951530: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118602.7421875
0:00:04.044944: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118603.3359375
0:00:04.165953: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118604.1015625
0:00:04.247956: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118604.6171875
0:00:04.361878: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118605.3359375
0:00:04.460346: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118605.9609375
0:00:04.559856: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118606.59375
0:00:04.652929: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118607.1796875
0:00:04.762268: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118607.8671875
0:00:04.861367: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118608.484375
0:00:04.953108: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118609.0625
0:00:05.060378: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118609.734375
0:00:05.186682: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118610.53125
0:00:05.273382: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118611.078125
0:00:05.360966: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118611.625
0:00:05.472900: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118612.3359375
0:00:05.582266: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118613.0234375
0:00:05.670807: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118613.5703125
0:00:05.780160: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118614.265625
0:00:05.868640: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118614.8203125
0:00:05.981497: Frequency: 0.0, Amplitude: 1.5414283107572988e-44, Offset: 90.00016784667969, Phase Shift: 1.5414283107572988e-44, Phase: 118615.53125
