0:00:01.364729 {Acceleration: {Time: 1343, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1329, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 1333, Status: 1, Value: (-28.6875,28.75,-15.8125)},Gravity: {Time: 1316, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1339, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38739013671875, 0.9217529296875)}}
0:00:01.469644 {Acceleration: {Time: 1440, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1448, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 1390, Status: 1, Value: (-27.0,28.3125,-16.0)},Gravity: {Time: 1446, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1442, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.387451171875, 0.9217529296875)}}
0:00:01.566812 {Acceleration: {Time: 1545, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1507, Status: 3, Value: (0.01953125,-0.01171875,0.05078125)},Magnetic: {Time: 1510, Status: 1, Value: (-28.3125,28.375,-15.875)},Gravity: {Time: 1503, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 1541, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.385009765625, 0.92279052734375)}}
0:00:01.692008 {Acceleration: {Time: 1668, Status: 0, Value: (0.001953125,0.0,0.00390625)},Gyroscope: {Time: 1660, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 1663, Status: 1, Value: (-27.75,27.375,-16.4375)},Gravity: {Time: 1657, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1670, Status: 0, Value: (-0.015625,-0.002685546875,-0.38568115234375, 0.9224853515625)}}
0:00:01.774043 {Acceleration: {Time: 1750, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1741, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 1745, Status: 1, Value: (-28.3125,28.4375,-15.5)},Gravity: {Time: 1727, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1724, Status: 0, Value: (-0.015625,-0.002685546875,-0.3858642578125, 0.92242431640625)}}
0:00:01.886429 {Acceleration: {Time: 1865, Status: 0, Value: (0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 1851, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1854, Status: 1, Value: (-28.5,28.8125,-14.6875)},Gravity: {Time: 1837, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1861, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.38604736328125, 0.92230224609375)}}
0:00:01.984114 {Acceleration: {Time: 1960, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1921, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 1924, Status: 1, Value: (-28.0,29.375,-15.5)},Gravity: {Time: 1907, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 1963, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.3861083984375, 0.92230224609375)}}
0:00:02.071447 {Acceleration: {Time: 2048, Status: 0, Value: (0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 2011, Status: 3, Value: (-0.01953125,-0.00390625,-0.03515625)},Magnetic: {Time: 2013, Status: 1, Value: (-27.9375,28.4375,-15.1875)},Gravity: {Time: 2007, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 2050, Status: 0, Value: (-0.01611328125,-0.0029296875,-0.38616943359375, 0.92230224609375)}}
0:00:02.173942 {Acceleration: {Time: 2150, Status: 0, Value: (-0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 2144, Status: 3, Value: (-0.01953125,-0.00390625,0.00390625)},Magnetic: {Time: 2147, Status: 1, Value: (-28.25,28.6875,-16.3125)},Gravity: {Time: 2140, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 2153, Status: 0, Value: (-0.01617431640625,-0.0029296875,-0.38604736328125, 0.92236328125)}}
0:00:02.287538 {Acceleration: {Time: 2264, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2257, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 2261, Status: 1, Value: (-28.6875,27.8125,-15.125)},Gravity: {Time: 2254, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2266, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38037109375, 0.9246826171875)}}
