0:00:04.224658: Frequency: 0.0, Amplitude: 1.3888647556304932, Offset: 78.74275207519531, Phase Shift: 0.02041243389248848, Phase: 9655.2919921875
0:00:04.328351: Frequency: 0.0, Amplitude: 1.2508230209350586, Offset: 79.31499481201172, Phase Shift: 0.018383601680397987, Phase: 9655.947265625
0:00:04.432078: Frequency: 0.0, Amplitude: 1.1265013217926025, Offset: 79.85813903808594, Phase Shift: 0.01655641943216324, Phase: 9656.6025390625
0:00:04.535796: Frequency: 0.0, Amplitude: 1.015564203262329, Offset: 80.36883544921875, Phase Shift: 0.014925953932106495, Phase: 9657.2509765625
0:00:04.626842: Frequency: 0.0, Amplitude: 0.925731360912323, Offset: 80.8032455444336, Phase Shift: 0.013605663552880287, Phase: 9657.830078125
0:00:04.730600: Frequency: 0.0, Amplitude: 0.8345659375190735, Offset: 81.266357421875, Phase Shift: 0.012265786528587341, Phase: 9658.478515625
0:00:04.834281: Frequency: 0.0, Amplitude: 0.7516145706176758, Offset: 81.71031951904297, Phase Shift: 0.011046632193028927, Phase: 9659.1328125
0:00:04.938037: Frequency: 0.0, Amplitude: 0.6769102811813354, Offset: 82.1317138671875, Phase Shift: 0.009948687627911568, Phase: 9659.7880859375
0:00:05.029137: Frequency: 0.0, Amplitude: 0.6176605224609375, Offset: 82.48281860351562, Phase Shift: 0.009077882394194603, Phase: 9660.361328125
0:00:05.132822: Frequency: 0.0, Amplitude: 0.5562683939933777, Offset: 82.86493682861328, Phase Shift: 0.008175590075552464, Phase: 9661.015625
0:00:05.236476: Frequency: 0.0, Amplitude: 0.5009799003601074, Offset: 83.22763061523438, Phase Shift: 0.007363003678619862, Phase: 9661.6708984375
0:00:05.340230: Frequency: 0.0, Amplitude: 0.4511865973472595, Offset: 83.57189178466797, Phase Shift: 0.006631181109696627, Phase: 9662.326171875
0:00:05.431355: Frequency: 0.0, Amplitude: 0.41169434785842896, Offset: 83.85873413085938, Phase Shift: 0.006050755735486746, Phase: 9662.8994140625
0:00:05.535138: Frequency: 0.0, Amplitude: 0.3707753121852875, Offset: 84.17091369628906, Phase Shift: 0.005449359770864248, Phase: 9663.5546875
0:00:05.638797: Frequency: 0.0, Amplitude: 0.3339232802391052, Offset: 84.46723175048828, Phase Shift: 0.004907737951725721, Phase: 9664.2099609375
0:00:05.742461: Frequency: 0.0, Amplitude: 0.3010387420654297, Offset: 84.7458267211914, Phase Shift: 0.004424426704645157, Phase: 9664.8583984375
0:00:05.846174: Frequency: 0.0, Amplitude: 0.27111712098121643, Offset: 85.0129165649414, Phase Shift: 0.00398466270416975, Phase: 9665.5126953125
0:00:05.937398: Frequency: 0.0, Amplitude: 0.24713513255119324, Offset: 85.23785400390625, Phase Shift: 0.003632195061072707, Phase: 9666.091796875
0:00:06.041093: Frequency: 0.0, Amplitude: 0.2227974385023117, Offset: 85.4776611328125, Phase Shift: 0.003274498973041773, Phase: 9666.740234375
0:00:06.144830: Frequency: 0.0, Amplitude: 0.2006525844335556, Offset: 85.70753479003906, Phase Shift: 0.002949031535536051, Phase: 9667.39453125
0:00:06.248489: Frequency: 0.0, Amplitude: 0.18070879578590393, Offset: 85.92574310302734, Phase Shift: 0.002655913820490241, Phase: 9668.048828125
0:00:06.352210: Frequency: 0.0, Amplitude: 0.1627478152513504, Offset: 86.13285064697266, Phase Shift: 0.002391937654465437, Phase: 9668.7041015625
0:00:06.443320: Frequency: 0.0, Amplitude: 0.14850254356861115, Offset: 86.30541229248047, Phase Shift: 0.002182571915909648, Phase: 9669.27734375
0:00:06.547125: Frequency: 0.0, Amplitude: 0.1337425857782364, Offset: 86.49321746826172, Phase Shift: 0.0019656424410641193, Phase: 9669.9326171875
0:00:06.650775: Frequency: 0.0, Amplitude: 0.12044965475797653, Offset: 86.67147064208984, Phase Shift: 0.00177027378231287, Phase: 9670.587890625
0:00:06.754468: Frequency: 0.0, Amplitude: 0.10847794264554977, Offset: 86.84066009521484, Phase Shift: 0.001594322849996388, Phase: 9671.2431640625
0:00:06.845584: Frequency: 0.0, Amplitude: 0.09898290038108826, Offset: 86.98163604736328, Phase Shift: 0.0014547723112627864, Phase: 9671.81640625
0:00:06.949322: Frequency: 0.0, Amplitude: 0.08914481103420258, Offset: 87.13506317138672, Phase Shift: 0.001310179941356182, Phase: 9672.4716796875
0:00:07.053029: Frequency: 0.0, Amplitude: 0.08028455078601837, Offset: 87.28070068359375, Phase Shift: 0.0011799588100984693, Phase: 9673.126953125
0:00:07.156812: Frequency: 0.0, Amplitude: 0.07237817347049713, Offset: 87.4176254272461, Phase Shift: 0.0010637571103870869, Phase: 9673.775390625
0:00:07.247790: Frequency: 0.0, Amplitude: 0.06597588211297989, Offset: 87.53410339355469, Phase Shift: 0.0009696613415144384, Phase: 9674.3544921875
0:00:07.351469: Frequency: 0.0, Amplitude: 0.05947861820459366, Offset: 87.65827178955078, Phase Shift: 0.000874169694725424, Phase: 9675.0029296875
0:00:07.455223: Frequency: 0.0, Amplitude: 0.053566765040159225, Offset: 87.77730560302734, Phase Shift: 0.000787281955126673, Phase: 9675.6572265625
0:00:07.558833: Frequency: 0.0, Amplitude: 0.04824266955256462, Offset: 87.8902816772461, Phase Shift: 0.000709032581653446, Phase: 9676.3125
0:00:07.662496: Frequency: 0.0, Amplitude: 0.04344773665070534, Offset: 87.99752044677734, Phase Shift: 0.000638560566585511, Phase: 9676.9677734375
0:00:07.753641: Frequency: 0.0, Amplitude: 0.039644766598939896, Offset: 88.08688354492188, Phase Shift: 0.0005826675333082676, Phase: 9677.541015625
0:00:07.857325: Frequency: 0.0, Amplitude: 0.03570440039038658, Offset: 88.18413543701172, Phase Shift: 0.0005247550434432924, Phase: 9678.1962890625
0:00:07.961043: Frequency: 0.0, Amplitude: 0.03215567767620087, Offset: 88.27643585205078, Phase Shift: 0.00047259865095838904, Phase: 9678.8515625
0:00:08.064777: Frequency: 0.0, Amplitude: 0.028959669172763824, Offset: 88.36404418945312, Phase Shift: 0.00042562629096210003, Phase: 9679.5068359375
0:00:08.155821: Frequency: 0.0, Amplitude: 0.026424836367368698, Offset: 88.43704223632812, Phase Shift: 0.0003883713507093489, Phase: 9680.080078125
0:00:08.272139: Frequency: 0.0, Amplitude: 0.023512842133641243, Offset: 88.525390625, Phase Shift: 0.0003455731784924865, Phase: 9680.810546875
0:00:08.363187: Frequency: 0.0, Amplitude: 0.021454770117998123, Offset: 88.59119415283203, Phase Shift: 0.00031532527646049857, Phase: 9681.3837890625
0:00:08.466991: Frequency: 0.0, Amplitude: 0.01932227984070778, Offset: 88.66281127929688, Phase Shift: 0.00028398362337611616, Phase: 9682.0380859375
0:00:08.570721: Frequency: 0.0, Amplitude: 0.01740175113081932, Offset: 88.73078155517578, Phase Shift: 0.0002557571860961616, Phase: 9682.6923828125
0:00:08.661823: Frequency: 0.0, Amplitude: 0.01587858237326145, Offset: 88.78741455078125, Phase Shift: 0.0002333708544028923, Phase: 9683.265625
0:00:08.765483: Frequency: 0.0, Amplitude: 0.014300337061285973, Offset: 88.84905242919922, Phase Shift: 0.00021017504332121462, Phase: 9683.919921875
0:00:08.869253: Frequency: 0.0, Amplitude: 0.01287900097668171, Offset: 88.90756225585938, Phase Shift: 0.00018928534700535238, Phase: 9684.5751953125
0:00:08.973055: Frequency: 0.0, Amplitude: 0.011598932556807995, Offset: 88.96309661865234, Phase Shift: 0.00017047191795427352, Phase: 9685.23046875
0:00:09.076811: Frequency: 0.0, Amplitude: 0.010446092113852501, Offset: 89.01580810546875, Phase Shift: 0.0001535284100100398, Phase: 9685.8857421875
0:00:09.167799: Frequency: 0.0, Amplitude: 0.009531748481094837, Offset: 89.05972290039062, Phase Shift: 0.0001400901237502694, Phase: 9686.458984375
0:00:09.271475: Frequency: 0.0, Amplitude: 0.008584369905292988, Offset: 89.10750579833984, Phase Shift: 0.00012616629828698933, Phase: 9687.1142578125
0:00:09.375228: Frequency: 0.0, Amplitude: 0.007731153629720211, Offset: 89.15286254882812, Phase Shift: 0.00011362641089363024, Phase: 9687.76953125
0:00:09.479011: Frequency: 0.0, Amplitude: 0.006962739862501621, Offset: 89.19593048095703, Phase Shift: 0.0001023328659357503, Phase: 9688.4248046875
0:00:09.570130: Frequency: 0.0, Amplitude: 0.006353292614221573, Offset: 89.2318115234375, Phase Shift: 9.33756964514032e-05, Phase: 9688.998046875
