0:00:01.407915: {Acceleration: {Time: 1390, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1383, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 1386, Status: 1, Value: (-30.5,29.125,-17.4375)},Gravity: {Time: 1380, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1393, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.518786: {Acceleration: {Time: 1496, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1465, Status: 3, Value: (0.02734375,-0.01171875,0.01171875)},Magnetic: {Time: 1468, Status: 1, Value: (-30.125,28.75,-17.4375)},Gravity: {Time: 1504, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1499, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.611369: {Acceleration: {Time: 1594, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1574, Status: 3, Value: (0.02734375,0.02734375,0.01171875)},Magnetic: {Time: 1588, Status: 1, Value: (-31.9375,30.25,-16.8125)},Gravity: {Time: 1571, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1567, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.698709: {Acceleration: {Time: 1681, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1655, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 1669, Status: 1, Value: (-30.5625,28.1875,-16.3125)},Gravity: {Time: 1652, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1684, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.811231: {Acceleration: {Time: 1797, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1756, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1759, Status: 1, Value: (-31.625,30.9375,-16.0)},Gravity: {Time: 1742, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1793, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:01.901476: {Acceleration: {Time: 1885, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1853, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1828, Status: 1, Value: (-31.9375,29.3125,-16.0625)},Gravity: {Time: 1850, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1878, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.013936: {Acceleration: {Time: 1997, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1971, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 1985, Status: 1, Value: (-31.0625,30.5,-16.875)},Gravity: {Time: 1969, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2000, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.127554: {Acceleration: {Time: 2110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2080, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 2084, Status: 1, Value: (-31.375,29.5,-17.3125)},Gravity: {Time: 2078, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 2113, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.216823: {Acceleration: {Time: 2199, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2170, Status: 3, Value: (-0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 2173, Status: 1, Value: (-29.6875,28.75,-17.5625)},Gravity: {Time: 2168, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2203, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.321716: {Acceleration: {Time: 2305, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2298, Status: 3, Value: (0.02734375,0.02734375,-0.02734375)},Magnetic: {Time: 2300, Status: 1, Value: (-31.0625,29.5,-16.5625)},Gravity: {Time: 2294, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 2308, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.408921: {Acceleration: {Time: 2386, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2395, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 2330, Status: 1, Value: (-30.625,29.1875,-16.3125)},Gravity: {Time: 2392, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2388, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.507694: {Acceleration: {Time: 2485, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2494, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 2428, Status: 1, Value: (-30.1875,30.375,-18.1875)},Gravity: {Time: 2490, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2487, Status: 0, Value: (-0.015625,-0.00250244140625,-0.39959716796875, 0.91656494140625)}}
0:00:02.608001: {Acceleration: {Time: 2585, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2594, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 2557, Status: 1, Value: (-31.25,28.8125,-17.6875)},Gravity: {Time: 2591, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2588, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:02.717938: {Acceleration: {Time: 2701, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2676, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 2690, Status: 1, Value: (-30.75,29.5625,-15.5)},Gravity: {Time: 2674, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2704, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:02.832418: {Acceleration: {Time: 2816, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2809, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 2811, Status: 1, Value: (-30.5625,28.1875,-16.375)},Gravity: {Time: 2806, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2819, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:02.914282: {Acceleration: {Time: 2898, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2890, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 2893, Status: 1, Value: (-30.625,29.1875,-16.625)},Gravity: {Time: 2876, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2872, Status: 0, Value: (-0.015625,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
