0:00:01.408574: {Acceleration: {Time: 1371, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1364, Status: 3, Value: (-0.02734375,0.01171875,-0.00390625)},Magnetic: {Time: 1366, Status: 1, Value: (-29.4375,27.8125,-15.625)},Gravity: {Time: 1360, Status: 3, Value: (0.1796875,-0.2421875,9.65625)}, Rotation: {Time: 1374, Status: 0, Value: (-0.01507568359375,-0.00311279296875,-0.39892578125, 0.9168701171875)}}
0:00:01.519539: {Acceleration: {Time: 1480, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 1485, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1444, Status: 1, Value: (-29.875,28.5,-15.875)},Gravity: {Time: 1482, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1476, Status: 0, Value: (-0.0150146484375,-0.00311279296875,-0.39898681640625, 0.9168701171875)}}
0:00:01.615100: {Acceleration: {Time: 1571, Status: 0, Value: (-0.001953125,0.00390625,0.001953125)},Gyroscope: {Time: 1580, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 1519, Status: 1, Value: (-31.625,28.0,-14.625)},Gravity: {Time: 1577, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1574, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.39892578125, 0.9168701171875)}}
0:00:01.714801: {Acceleration: {Time: 1678, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1637, Status: 3, Value: (0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 1641, Status: 1, Value: (-29.375,28.75,-16.6875)},Gravity: {Time: 1623, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1680, Status: 0, Value: (-0.01507568359375,-0.0030517578125,-0.39898681640625, 0.91680908203125)}}
0:00:01.821175: {Acceleration: {Time: 1787, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1708, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1722, Status: 1, Value: (-28.6875,29.125,-16.0)},Gravity: {Time: 1706, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1783, Status: 0, Value: (-0.01507568359375,-0.00299072265625,-0.39898681640625, 0.91680908203125)}}
0:00:01.918812: {Acceleration: {Time: 1884, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1853, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 1867, Status: 1, Value: (-29.625,29.1875,-15.125)},Gravity: {Time: 1851, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 1878, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.39892578125, 0.9168701171875)}}
0:00:02.016552: {Acceleration: {Time: 1973, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1982, Status: 3, Value: (-0.01171875,-0.03515625,-0.00390625)},Magnetic: {Time: 1918, Status: 1, Value: (-29.6875,29.5625,-14.6875)},Gravity: {Time: 1979, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 1976, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.39892578125, 0.9168701171875)}}
0:00:02.108267: {Acceleration: {Time: 2072, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2063, Status: 3, Value: (-0.01171875,0.00390625,-0.00390625)},Magnetic: {Time: 2066, Status: 1, Value: (-28.6875,28.4375,-15.3125)},Gravity: {Time: 2060, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 2074, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.226251: {Acceleration: {Time: 2189, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2163, Status: 3, Value: (0.02734375,-0.03515625,-0.04296875)},Magnetic: {Time: 2177, Status: 1, Value: (-28.5,27.6875,-16.5)},Gravity: {Time: 2159, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 2192, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.308143: {Acceleration: {Time: 2272, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2251, Status: 3, Value: (-0.01953125,0.01171875,-0.00390625)},Magnetic: {Time: 2265, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 2248, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 2246, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.420096: {Acceleration: {Time: 2386, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2353, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2355, Status: 1, Value: (-30.8125,28.9375,-15.0)},Gravity: {Time: 2350, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2382, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.516872: {Acceleration: {Time: 2480, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2443, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2419, Status: 1, Value: (-29.3125,29.5625,-14.75)},Gravity: {Time: 2440, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2483, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.620065: {Acceleration: {Time: 2584, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2577, Status: 3, Value: (-0.01171875,0.00390625,-0.04296875)},Magnetic: {Time: 2580, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 2574, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 2586, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.736020: {Acceleration: {Time: 2696, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2642, Status: 3, Value: (-0.01171875,-0.03515625,-0.04296875)},Magnetic: {Time: 2656, Status: 1, Value: (-28.1875,28.0625,-15.75)},Gravity: {Time: 2702, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2698, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
0:00:02.807098: {Acceleration: {Time: 2766, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2757, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 2760, Status: 1, Value: (-28.9375,28.75,-16.75)},Gravity: {Time: 2773, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2768, Status: 0, Value: (-0.01495361328125,-0.00299072265625,-0.39892578125, 0.9168701171875)}}
