0:00:01.317154 {Acceleration: {Time: 1252, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1261, Status: 3, Value: (-0.0078125,0.0234375,-0.07421875)},Magnetic: {Time: 1224, Status: 1, Value: (-34.625,25.1875,-13.375)},Gravity: {Time: 1258, Status: 3, Value: (0.1484375,0.09375,9.71875)}, Rotation: {Time: 1255, Status: 0, Value: (0.00042724609375,-0.00872802734375,-0.4586181640625, 0.8885498046875)}}
0:00:01.411486 {Acceleration: {Time: 1350, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1344, Status: 3, Value: (-0.0078125,-0.015625,-0.03515625)},Magnetic: {Time: 1346, Status: 1, Value: (-34.5625,23.9375,-14.1875)},Gravity: {Time: 1340, Status: 3, Value: (0.1484375,0.09375,9.71875)}, Rotation: {Time: 1353, Status: 0, Value: (0.00042724609375,-0.00872802734375,-0.4586181640625, 0.8885498046875)}}
0:00:01.505682 {Acceleration: {Time: 1451, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1436, Status: 3, Value: (0.03125,-0.015625,-0.07421875)},Magnetic: {Time: 1440, Status: 1, Value: (-34.5,23.125,-13.375)},Gravity: {Time: 1422, Status: 3, Value: (0.1484375,0.09375,9.71875)}, Rotation: {Time: 1446, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.4586181640625, 0.8885498046875)}}
0:00:01.615945 {Acceleration: {Time: 1542, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 1552, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 1536, Status: 1, Value: (-34.625,23.9375,-13.375)},Gravity: {Time: 1549, Status: 3, Value: (0.140625,0.0859375,9.71875)}, Rotation: {Time: 1544, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45867919921875, 0.8885498046875)}}
0:00:01.710013 {Acceleration: {Time: 1642, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 1621, Status: 3, Value: (0.0390625,-0.0078125,-0.06640625)},Magnetic: {Time: 1635, Status: 1, Value: (-34.5,22.6875,-12.5625)},Gravity: {Time: 1618, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 1615, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.458740234375, 0.8885498046875)}}
0:00:01.804091 {Acceleration: {Time: 1732, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 1742, Status: 3, Value: (0.03125,-0.0078125,0.05078125)},Magnetic: {Time: 1678, Status: 1, Value: (-34.25,23.5,-13.375)},Gravity: {Time: 1739, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 1735, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.458740234375, 0.8885498046875)}}
0:00:01.898115 {Acceleration: {Time: 1838, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1812, Status: 3, Value: (-0.0390625,-0.046875,0.04296875)},Magnetic: {Time: 1826, Status: 1, Value: (-34.75,23.9375,-12.5625)},Gravity: {Time: 1809, Status: 3, Value: (0.140625,0.0859375,9.71875)}, Rotation: {Time: 1842, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.458740234375, 0.88848876953125)}}
0:00:01.976280 {Acceleration: {Time: 1910, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1897, Status: 3, Value: (-0.0078125,0.0390625,-0.03515625)},Magnetic: {Time: 1900, Status: 1, Value: (-34.875,23.6875,-13.75)},Gravity: {Time: 1883, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 1907, Status: 0, Value: (0.00042724609375,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:02.070605 {Acceleration: {Time: 2008, Status: 0, Value: (-0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 1982, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 1996, Status: 1, Value: (-34.5,22.25,-11.75)},Gravity: {Time: 1979, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 2011, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:02.133572 {Acceleration: {Time: 2083, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2068, Status: 3, Value: (-0.046875,0.0,0.05078125)},Magnetic: {Time: 2071, Status: 1, Value: (-34.5625,24.3125,-12.625)},Gravity: {Time: 2054, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 2079, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
