0:00:01.327211: {Acceleration: {Time: 1260, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1252, Status: 3, Value: (0.00390625,-0.03515625,0.03125)},Magnetic: {Time: 1255, Status: 2, Value: (-24.4375,-12.6875,-29.875)},Gravity: {Time: 1249, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 1263, Status: 0, Value: (0.0115966796875,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:01.427290: {Acceleration: {Time: 1373, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1323, Status: 3, Value: (0.00390625,-0.03515625,-0.0078125)},Magnetic: {Time: 1337, Status: 2, Value: (-23.0,-13.0,-29.8125)},Gravity: {Time: 1320, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 1369, Status: 0, Value: (0.0115966796875,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:01.527301: {Acceleration: {Time: 1467, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1457, Status: 3, Value: (0.01171875,0.01171875,-0.09375)},Magnetic: {Time: 1459, Status: 2, Value: (-23.875,-12.8125,-30.5625)},Gravity: {Time: 1453, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 1462, Status: 0, Value: (0.0115966796875,-0.0133056640625,-0.87420654296875, 0.48516845703125)}}
0:00:01.627213: {Acceleration: {Time: 1555, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1564, Status: 3, Value: (0.01171875,-0.06640625,-0.015625)},Magnetic: {Time: 1500, Status: 2, Value: (-24.0,-13.3125,-30.1875)},Gravity: {Time: 1560, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 1557, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:01.710623: {Acceleration: {Time: 1655, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1646, Status: 3, Value: (-0.0234375,-0.02734375,-0.015625)},Magnetic: {Time: 1650, Status: 2, Value: (-24.1875,-13.0,-29.5625)},Gravity: {Time: 1643, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 1657, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:01.793990: {Acceleration: {Time: 1735, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1740, Status: 3, Value: (0.01171875,0.0546875,-0.0078125)},Magnetic: {Time: 1742, Status: 2, Value: (-23.4375,-12.3125,-29.5625)},Gravity: {Time: 1737, Status: 3, Value: (-0.078125,0.328125,9.859375)}, Rotation: {Time: 1730, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:01.893959: {Acceleration: {Time: 1832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1841, Status: 3, Value: (0.01171875,0.00390625,0.03125)},Magnetic: {Time: 1802, Status: 2, Value: (-23.875,-12.75,-31.1875)},Gravity: {Time: 1838, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 1835, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.001806: {Acceleration: {Time: 1937, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1899, Status: 3, Value: (0.01171875,-0.03515625,-0.0078125)},Magnetic: {Time: 1901, Status: 2, Value: (-25.0,-13.8125,-28.9375)},Gravity: {Time: 1896, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 1934, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.093561: {Acceleration: {Time: 2031, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1994, Status: 3, Value: (0.01171875,-0.03515625,-0.0078125)},Magnetic: {Time: 1970, Status: 2, Value: (-25.375,-13.75,-30.8125)},Gravity: {Time: 1991, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 2035, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.175563: {Acceleration: {Time: 2110, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2058, Status: 3, Value: (-0.0234375,-0.03515625,-0.0078125)},Magnetic: {Time: 2060, Status: 2, Value: (-23.5625,-12.6875,-30.875)},Gravity: {Time: 2055, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 2104, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.277223: {Acceleration: {Time: 2221, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2195, Status: 3, Value: (0.01171875,0.00390625,0.03125)},Magnetic: {Time: 2209, Status: 2, Value: (-24.0625,-12.5625,-29.5625)},Gravity: {Time: 2191, Status: 3, Value: (-0.078125,0.34375,9.859375)}, Rotation: {Time: 2223, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.360248: {Acceleration: {Time: 2306, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2246, Status: 3, Value: (0.01171875,0.01171875,0.0234375)},Magnetic: {Time: 2248, Status: 2, Value: (-24.6875,-13.6875,-28.875)},Gravity: {Time: 2308, Status: 3, Value: (-0.0703125,0.34375,9.8671875)}, Rotation: {Time: 2300, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.459487: {Acceleration: {Time: 2402, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2365, Status: 3, Value: (0.00390625,0.00390625,-0.015625)},Magnetic: {Time: 2341, Status: 2, Value: (-23.75,-12.5,-29.25)},Gravity: {Time: 2362, Status: 3, Value: (-0.0703125,0.34375,9.8671875)}, Rotation: {Time: 2405, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.560604: {Acceleration: {Time: 2485, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2494, Status: 3, Value: (0.00390625,0.00390625,0.0234375)},Magnetic: {Time: 2450, Status: 2, Value: (-23.625,-12.0625,-29.625)},Gravity: {Time: 2491, Status: 3, Value: (-0.0703125,0.34375,9.8671875)}, Rotation: {Time: 2488, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.643989: {Acceleration: {Time: 2592, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2551, Status: 3, Value: (0.00390625,0.00390625,-0.015625)},Magnetic: {Time: 2555, Status: 2, Value: (-22.0,-11.75,-30.9375)},Gravity: {Time: 2538, Status: 3, Value: (-0.0703125,0.34375,9.8671875)}, Rotation: {Time: 2594, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.743941: {Acceleration: {Time: 2679, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2665, Status: 3, Value: (0.00390625,0.00390625,-0.0078125)},Magnetic: {Time: 2669, Status: 2, Value: (-24.6875,-13.625,-29.5625)},Gravity: {Time: 2651, Status: 3, Value: (-0.0703125,0.34375,9.859375)}, Rotation: {Time: 2674, Status: 0, Value: (0.0115966796875,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
0:00:02.827265: {Acceleration: {Time: 2772, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2736, Status: 3, Value: (0.01171875,0.01171875,0.0234375)},Magnetic: {Time: 2712, Status: 2, Value: (-24.1875,-13.0,-29.9375)},Gravity: {Time: 2775, Status: 3, Value: (-0.078125,0.3359375,9.8671875)}, Rotation: {Time: 2767, Status: 0, Value: (0.01165771484375,-0.01324462890625,-0.87420654296875, 0.48516845703125)}}
