Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.047469, 0.0, 0.0, 90.0, 0.0, 132792.6875
0:00:00.144898, 0.0, 0.0, 90.0, 0.0, 132793.296875
0:00:00.227860, 0.0, 0.0, 90.0, 0.0, 132793.8125
0:00:00.335136, 0.0, 0.0, 90.0, 0.0, 132794.484375
0:00:00.448076, 0.0, 0.0, 90.0, 0.0, 132795.1875
0:00:00.546753, 0.0, 0.0, 90.0, 0.0, 132795.796875
0:00:00.647365, 0.0, 0.0, 90.0, 0.0, 132796.421875
0:00:00.738033, 0.0, 0.0, 90.0, 0.0, 132796.984375
0:00:00.854004, 0.0, 0.0, 90.0, 0.0, 132797.703125
0:00:00.938497, 0.0, 0.0, 90.0, 0.0, 132798.21875
0:00:01.055425, 0.0, 0.0, 90.0, 0.0, 132798.96875
0:00:01.142062, 0.0, 0.0, 90.0, 0.0, 132799.515625
0:00:01.253027, 0.0, 0.0, 90.0, 0.0, 132800.203125
0:00:01.348316, 0.0, 0.0, 90.0, 0.0, 132800.796875
0:00:01.434908, 0.0, 0.0, 90.0, 0.0, 132801.328125
0:00:01.549884, 0.0, 0.0, 90.0, 0.0, 132802.046875
0:00:01.649801, 0.0, 0.0, 90.0, 0.0, 132802.6875
0:00:01.748375, 0.0, 0.0, 90.0, 0.0, 132803.296875
0:00:01.842197, 0.0, 0.0, 90.0, 0.0, 132803.875
0:00:01.956166, 0.0, 0.0, 90.0, 0.0, 132804.59375
0:00:02.063432, 0.0, 0.0, 90.0, 0.0, 132805.265625
0:00:02.159178, 0.0, 0.0, 90.0, 0.0, 132805.859375
0:00:02.253220, 0.0, 0.0, 90.0, 0.0, 132806.4375
0:00:02.364428, 0.0, 0.0, 90.0, 0.0, 132807.140625
0:00:02.451040, 0.0, 0.0, 90.0, 0.0, 132807.6875
0:00:02.560271, 0.0, 0.0, 90.0, 0.0, 132808.375
0:00:02.648890, 0.0, 0.0, 90.0, 0.0, 132808.9375
0:00:02.762798, 0.0, 0.0, 90.0, 0.0, 132809.65625
0:00:02.876768, 0.0, 0.0, 90.0, 0.0, 132810.375
0:00:02.963339, 0.0, 0.0, 90.0, 0.0, 132810.921875
0:00:03.079258, 0.0, 0.0, 90.0, 0.0, 132811.640625
