0:00:01.616904 {Acceleration: {Time: 1575, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1549, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1563, Status: 1, Value: (-29.875,28.8125,-16.25)},Gravity: {Time: 1547, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1578, Status: 0, Value: (-0.01544189453125,-0.00299072265625,-0.398681640625, 0.91693115234375)}}
0:00:01.734285 {Acceleration: {Time: 1695, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1625, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1601, Status: 1, Value: (-29.1875,29.5,-15.5625)},Gravity: {Time: 1622, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 1690, Status: 0, Value: (-0.01544189453125,-0.00299072265625,-0.398681640625, 0.91693115234375)}}
0:00:01.858672 {Acceleration: {Time: 1815, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1795, Status: 3, Value: (-0.02734375,0.01171875,-0.03515625)},Magnetic: {Time: 1809, Status: 1, Value: (-29.875,27.5625,-15.25)},Gravity: {Time: 1791, Status: 3, Value: (0.1796875,-0.2421875,9.6484375)}, Rotation: {Time: 1788, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:01.943858 {Acceleration: {Time: 1895, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1904, Status: 3, Value: (-0.02734375,0.01171875,-0.03515625)},Magnetic: {Time: 1865, Status: 1, Value: (-31.0,29.9375,-14.1875)},Gravity: {Time: 1901, Status: 3, Value: (0.1796875,-0.2421875,9.6484375)}, Rotation: {Time: 1897, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.064865 {Acceleration: {Time: 2026, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1986, Status: 3, Value: (-0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 1989, Status: 1, Value: (-29.375,27.75,-16.375)},Gravity: {Time: 1983, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2021, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.194187 {Acceleration: {Time: 2151, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2125, Status: 3, Value: (0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 2139, Status: 1, Value: (-27.9375,28.0625,-15.375)},Gravity: {Time: 2121, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2154, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.309949 {Acceleration: {Time: 2267, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2260, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 2262, Status: 1, Value: (-29.25,28.875,-14.8125)},Gravity: {Time: 2257, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2269, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.543068 {Acceleration: {Time: 2396, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2345, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 2359, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 2342, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2391, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.563960 {Acceleration: {Time: 2515, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2506, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 2510, Status: 1, Value: (-29.25,27.4375,-16.75)},Gravity: {Time: 2503, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2517, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
0:00:02.754150 {Acceleration: {Time: 2628, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2577, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 2591, Status: 1, Value: (-29.75,28.625,-13.5625)},Gravity: {Time: 2634, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2630, Status: 0, Value: (-0.015380859375,-0.0030517578125,-0.398681640625, 0.91693115234375)}}
