0:00:01.391216: {Acceleration: {Time: 1370, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 1329, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 1332, Status: 1, Value: (-28.5,27.125,-16.0)},Gravity: {Time: 1315, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1366, Status: 0, Value: (-0.01556396484375,-0.002685546875,-0.3865966796875, 0.922119140625)}}
0:00:01.498206: {Acceleration: {Time: 1475, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1412, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 1415, Status: 1, Value: (-27.5,29.25,-16.375)},Gravity: {Time: 1409, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1477, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39373779296875, 0.9190673828125)}}
0:00:01.590580: {Acceleration: {Time: 1569, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 1536, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 1539, Status: 1, Value: (-28.875,28.375,-17.0)},Gravity: {Time: 1534, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1566, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39373779296875, 0.9190673828125)}}
0:00:01.705347: {Acceleration: {Time: 1678, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 1647, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 1649, Status: 1, Value: (-29.0,28.4375,-16.25)},Gravity: {Time: 1684, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 1681, Status: 0, Value: (-0.0155029296875,-0.0035400390625,-0.385009765625, 0.92279052734375)}}
0:00:01.813216: {Acceleration: {Time: 1792, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 1742, Status: 3, Value: (0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 1756, Status: 1, Value: (-29.4375,28.125,-15.8125)},Gravity: {Time: 1739, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 1788, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38507080078125, 0.9227294921875)}}
0:00:01.909996: {Acceleration: {Time: 1887, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 1823, Status: 3, Value: (-0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 1827, Status: 1, Value: (-28.75,29.75,-15.8125)},Gravity: {Time: 1739, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 1889, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38507080078125, 0.9227294921875)}}
0:00:02.016180: {Acceleration: {Time: 1995, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1958, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 1961, Status: 1, Value: (-28.75,29.125,-15.5)},Gravity: {Time: 1944, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1992, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
0:00:02.112521: {Acceleration: {Time: 2089, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2052, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 2028, Status: 1, Value: (-29.9375,29.1875,-16.0625)},Gravity: {Time: 2049, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 2092, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385009765625, 0.92279052734375)}}
0:00:02.188509: {Acceleration: {Time: 2165, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2111, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 2115, Status: 1, Value: (-28.6875,28.8125,-15.5)},Gravity: {Time: 2108, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2159, Status: 0, Value: (-0.0152587890625,-0.00286865234375,-0.385009765625, 0.92279052734375)}}
0:00:02.297539: {Acceleration: {Time: 2274, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2254, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2268, Status: 1, Value: (-28.625,27.75,-15.5625)},Gravity: {Time: 2252, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2248, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385009765625, 0.92279052734375)}}
