Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.112940, 0.0, 0.0, 90.0, 0.0, 9219.640625
0:00:00.219932, 0.0, 0.0, 90.0, 0.0, 9220.3134765625
0:00:00.316217, 0.0, 0.0, 90.0, 0.0, 9220.9169921875
0:00:00.395835, 0.0, 0.0, 90.0, 0.0, 9221.419921875
0:00:00.515480, 0.0, 0.0, 90.0, 0.0, 9222.1748046875
0:00:00.616968, 0.0, 0.0, 90.0, 0.0, 9222.8095703125
0:00:00.716098, 0.0, 0.0, 90.0, 0.0, 9223.431640625
0:00:00.801374, 0.0, 0.0, 90.0, 0.0, 9223.97265625
0:00:00.915001, 0.0, 0.0, 90.0, 0.0, 9224.6826171875
0:00:01.027482, 0.0, 0.0, 90.0, 0.0, 9225.3916015625
0:00:01.125975, 0.0, 0.0, 90.0, 0.0, 9226.0146484375
0:00:01.209594, 0.0, 0.0, 90.0, 0.0, 9226.5361328125
0:00:01.306977, 0.0, 0.0, 90.0, 0.0, 9227.15234375
0:00:01.422520, 0.0, 0.0, 90.0, 0.0, 9227.880859375
0:00:01.529346, 0.0, 0.0, 90.0, 0.0, 9228.552734375
0:00:01.609983, 0.0, 0.0, 90.0, 0.0, 9229.0556640625
0:00:01.716820, 0.0, 0.0, 90.0, 0.0, 9229.728515625
0:00:01.832387, 0.0, 0.0, 90.0, 0.0, 9230.4580078125
0:00:01.920580, 0.0, 0.0, 90.0, 0.0, 9231.0107421875
0:00:02.029631, 0.0, 0.0, 90.0, 0.0, 9231.6962890625
0:00:02.119881, 0.0, 0.0, 90.0, 0.0, 9232.267578125
0:00:02.235420, 0.0, 0.0, 90.0, 0.0, 9232.9912109375
0:00:02.322659, 0.0, 0.0, 90.0, 0.0, 9233.5439453125
0:00:02.430494, 0.0, 0.0, 90.0, 0.0, 9234.22265625
0:00:02.522610, 0.0, 0.0, 90.0, 0.0, 9234.7998046875
0:00:02.631507, 0.0, 0.0, 90.0, 0.0, 9235.4853515625
0:00:02.747128, 0.0, 0.0, 90.0, 0.0, 9236.2080078125
0:00:02.830117, 0.0, 0.0, 90.0, 0.0, 9236.7294921875
0:00:02.926563, 0.0, 0.0, 90.0, 0.0, 9237.3388671875
0:00:03.037137, 0.0, 0.0, 90.0, 0.0, 9238.0361328125
0:00:03.122304, 0.0, 0.0, 90.0, 0.0, 9238.5703125
0:00:03.236878, 0.0, 0.0, 90.0, 0.0, 9239.29296875
0:00:03.350386, 0.0, 0.0, 90.0, 0.0, 9240.0029296875
0:00:03.446477, 0.0, 0.0, 90.0, 0.0, 9240.60546875
0:00:03.530753, 0.0, 0.0, 90.0, 0.0, 9241.1396484375
0:00:03.627979, 0.0, 0.0, 90.0, 0.0, 9241.7490234375
0:00:03.741461, 0.0, 0.0, 90.0, 0.0, 9242.4658203125
0:00:03.838543, 0.0, 0.0, 90.0, 0.0, 9243.0751953125
0:00:03.937135, 0.0, 0.0, 90.0, 0.0, 9243.697265625
0:00:04.036279, 0.0, 0.0, 90.0, 0.0, 9244.3203125
0:00:04.146832, 0.0, 0.0, 90.0, 0.0, 9245.0126953125
0:00:04.236141, 0.0, 0.0, 90.0, 0.0, 9245.578125
0:00:04.349625, 0.0, 0.0, 90.0, 0.0, 9246.294921875
0:00:04.436988, 0.0, 0.0, 90.0, 0.0, 9246.8427734375
0:00:04.542845, 0.0, 0.0, 90.0, 0.0, 9247.5087890625
0:00:04.653381, 0.0, 0.0, 90.0, 0.0, 9248.205078125
