0:00:01.426458: {Acceleration: {Time: 1386, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1348, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 1351, Status: 1, Value: (-29.625,28.875,-14.75)},Gravity: {Time: 1345, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1382, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:01.527071: {Acceleration: {Time: 1478, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1487, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 1450, Status: 1, Value: (-29.9375,28.5,-15.5)},Gravity: {Time: 1484, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1481, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:01.617805: {Acceleration: {Time: 1576, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1568, Status: 3, Value: (-0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 1571, Status: 1, Value: (-30.0625,28.9375,-14.75)},Gravity: {Time: 1565, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1578, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:01.727098: {Acceleration: {Time: 1687, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1636, Status: 3, Value: (-0.01171875,-0.01953125,-0.0546875)},Magnetic: {Time: 1650, Status: 1, Value: (-28.875,28.5625,-14.1875)},Gravity: {Time: 1633, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 1682, Status: 0, Value: (-0.01495361328125,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:01.825155: {Acceleration: {Time: 1777, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1786, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 1720, Status: 1, Value: (-29.3125,27.75,-16.8125)},Gravity: {Time: 1782, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1779, Status: 0, Value: (-0.0150146484375,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:01.925854: {Acceleration: {Time: 1877, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1886, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1846, Status: 1, Value: (-30.125,29.875,-15.0625)},Gravity: {Time: 1883, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1880, Status: 0, Value: (-0.0150146484375,-0.0028076171875,-0.39080810546875, 0.92034912109375)}}
0:00:02.017816: {Acceleration: {Time: 1976, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1968, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 1972, Status: 1, Value: (-28.6875,27.75,-15.375)},Gravity: {Time: 1965, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1978, Status: 0, Value: (-0.0152587890625,-0.002685546875,-0.39727783203125, 0.91754150390625)}}
0:00:02.127684: {Acceleration: {Time: 2078, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2084, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2086, Status: 1, Value: (-29.125,29.4375,-15.9375)},Gravity: {Time: 2081, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2088, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39727783203125, 0.91754150390625)}}
0:00:02.236963: {Acceleration: {Time: 2198, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2158, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 2162, Status: 1, Value: (-29.875,29.1875,-16.3125)},Gravity: {Time: 2155, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2192, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39727783203125, 0.91754150390625)}}
0:00:02.336688: {Acceleration: {Time: 2294, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2268, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 2282, Status: 1, Value: (-29.25,28.5625,-14.5)},Gravity: {Time: 2265, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 2298, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39727783203125, 0.91754150390625)}}
0:00:02.424342: {Acceleration: {Time: 2383, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2353, Status: 3, Value: (0.02734375,0.01171875,-0.03515625)},Magnetic: {Time: 2357, Status: 1, Value: (-30.0625,29.8125,-15.4375)},Gravity: {Time: 2351, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 2385, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.39727783203125, 0.91754150390625)}}
0:00:02.532569: {Acceleration: {Time: 2491, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2471, Status: 3, Value: (0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 2485, Status: 1, Value: (-29.1875,28.5,-14.875)},Gravity: {Time: 2469, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2465, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.39727783203125, 0.91754150390625)}}
0:00:02.646589: {Acceleration: {Time: 2608, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2567, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 2570, Status: 1, Value: (-29.25,29.5,-15.1875)},Gravity: {Time: 2553, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 2603, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.39727783203125, 0.91754150390625)}}
0:00:02.748182: {Acceleration: {Time: 2707, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2669, Status: 3, Value: (0.01953125,-0.02734375,0.00390625)},Magnetic: {Time: 2672, Status: 1, Value: (-29.75,27.8125,-16.375)},Gravity: {Time: 2709, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2702, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.39727783203125, 0.91754150390625)}}
0:00:02.846904: {Acceleration: {Time: 2800, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2808, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2742, Status: 1, Value: (-28.875,26.4375,-16.125)},Gravity: {Time: 2805, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2803, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:02.938571: {Acceleration: {Time: 2898, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2890, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 2893, Status: 1, Value: (-28.625,28.125,-15.6875)},Gravity: {Time: 2887, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 2900, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:03.047959: {Acceleration: {Time: 3009, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 2958, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 2972, Status: 1, Value: (-28.4375,29.125,-14.875)},Gravity: {Time: 2955, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3004, Status: 0, Value: (-0.014892578125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:03.147100: {Acceleration: {Time: 3100, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3109, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 3042, Status: 1, Value: (-29.25,28.0625,-17.125)},Gravity: {Time: 3105, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 3102, Status: 0, Value: (-0.0150146484375,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
0:00:03.247451: {Acceleration: {Time: 3200, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3209, Status: 3, Value: (0.02734375,0.01171875,0.00390625)},Magnetic: {Time: 3172, Status: 1, Value: (-28.4375,27.375,-16.875)},Gravity: {Time: 3206, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 3203, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.39727783203125, 0.91754150390625)}}
