0:00:04.166939: Frequency: 0.0, Amplitude: 44.63690948486328, Offset: 94.90241241455078, Phase Shift: 1.5414283107572988e-44, Phase: 127911.9765625
0:00:04.250407: Frequency: 0.0, Amplitude: 46.3614501953125, Offset: 94.70176696777344, Phase Shift: 1.5414283107572988e-44, Phase: 127912.5078125
0:00:04.346683: Frequency: 0.0, Amplitude: 48.48812484741211, Offset: 94.47734832763672, Phase Shift: 1.5414283107572988e-44, Phase: 127913.1171875
0:00:04.465184: Frequency: 0.0, Amplitude: 50.805423736572266, Offset: 94.21885681152344, Phase Shift: 1.5414283107572988e-44, Phase: 127913.8671875
0:00:04.566287: Frequency: 0.0, Amplitude: 52.583072662353516, Offset: 94.0093002319336, Phase Shift: 1.5414283107572988e-44, Phase: 127914.5078125
0:00:04.666606: Frequency: 0.0, Amplitude: 54.187042236328125, Offset: 93.8101577758789, Phase Shift: 1.5414283107572988e-44, Phase: 127915.1484375
0:00:04.770438: Frequency: 0.0, Amplitude: 55.66992950439453, Offset: 93.61576843261719, Phase Shift: 1.5414283107572988e-44, Phase: 127915.8046875
0:00:04.867843: Frequency: 0.0, Amplitude: 56.92216110229492, Offset: 93.44318389892578, Phase Shift: 1.5414283107572988e-44, Phase: 127916.4140625
0:00:04.966636: Frequency: 0.0, Amplitude: 58.079402923583984, Offset: 93.27549743652344, Phase Shift: 1.5414283107572988e-44, Phase: 127917.03125
0:00:05.076492: Frequency: 0.0, Amplitude: 59.23212814331055, Offset: 93.0990219116211, Phase Shift: 1.5414283107572988e-44, Phase: 127917.7265625
0:00:05.162125: Frequency: 0.0, Amplitude: 60.048370361328125, Offset: 92.96765899658203, Phase Shift: 1.5414283107572988e-44, Phase: 127918.265625
0:00:05.276841: Frequency: 0.0, Amplitude: 61.03426742553711, Offset: 92.8006591796875, Phase Shift: 1.5414283107572988e-44, Phase: 127918.9921875
0:00:05.366559: Frequency: 0.0, Amplitude: 61.72240447998047, Offset: 92.67787170410156, Phase Shift: 1.5414283107572988e-44, Phase: 127919.546875
0:00:05.479329: Frequency: 0.0, Amplitude: 62.51059341430664, Offset: 92.52973937988281, Phase Shift: 1.5414283107572988e-44, Phase: 127920.265625
