0:00:01.413216: {Acceleration: {Time: 1393, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1329, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1331, Status: 1, Value: (-28.5,29.0,-17.375)},Gravity: {Time: 1325, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1395, Status: 0, Value: (-0.015625,-0.00262451171875,-0.3905029296875, 0.92047119140625)}}
0:00:01.525705: {Acceleration: {Time: 1506, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1481, Status: 3, Value: (0.02734375,0.01953125,0.03515625)},Magnetic: {Time: 1495, Status: 1, Value: (-27.5,29.625,-16.3125)},Gravity: {Time: 1479, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1508, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3905029296875, 0.92047119140625)}}
0:00:01.607921: {Acceleration: {Time: 1588, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1581, Status: 3, Value: (0.02734375,-0.01953125,-0.00390625)},Magnetic: {Time: 1584, Status: 1, Value: (-28.375,28.125,-15.125)},Gravity: {Time: 1578, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 1590, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.3905029296875, 0.92047119140625)}}
0:00:01.721355: {Acceleration: {Time: 1702, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1695, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 1698, Status: 1, Value: (-28.875,28.375,-17.375)},Gravity: {Time: 1692, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1704, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:01.806671: {Acceleration: {Time: 1787, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1761, Status: 3, Value: (-0.01953125,0.01953125,-0.04296875)},Magnetic: {Time: 1775, Status: 1, Value: (-28.3125,29.0625,-16.25)},Gravity: {Time: 1759, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 1789, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:01.916782: {Acceleration: {Time: 1900, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1871, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 1885, Status: 1, Value: (-28.1875,28.0625,-16.3125)},Gravity: {Time: 1869, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 1895, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.015249: {Acceleration: {Time: 1990, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1998, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 1933, Status: 1, Value: (-29.375,28.4375,-16.5)},Gravity: {Time: 1995, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 1993, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.115385: {Acceleration: {Time: 2095, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2069, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 2083, Status: 1, Value: (-27.8125,28.6875,-16.6875)},Gravity: {Time: 2066, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2098, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.231957: {Acceleration: {Time: 2215, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2158, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 2172, Status: 1, Value: (-28.9375,29.5,-14.1875)},Gravity: {Time: 2155, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2212, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:02.318285: {Acceleration: {Time: 2301, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2260, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 2263, Status: 1, Value: (-28.1875,27.0625,-16.0)},Gravity: {Time: 2246, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 2296, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.39178466796875, 0.919921875)}}
