0:00:01.314088: {Acceleration: {Time: 1252, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1261, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 1220, Status: 2, Value: (-1.125,-15.1875,-36.75)},Gravity: {Time: 1258, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 1255, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.408494: {Acceleration: {Time: 1351, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1344, Status: 3, Value: (0.015625,0.0,-0.01953125)},Magnetic: {Time: 1347, Status: 2, Value: (-1.75,-14.875,-36.3125)},Gravity: {Time: 1340, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 1354, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.502621: {Acceleration: {Time: 1453, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1413, Status: 3, Value: (-0.0234375,0.0,-0.01953125)},Magnetic: {Time: 1415, Status: 2, Value: (-0.125,-15.4375,-37.0625)},Gravity: {Time: 1410, Status: 3, Value: (0.3671875,0.078125,9.7109375)}, Rotation: {Time: 1448, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.596867: {Acceleration: {Time: 1548, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1513, Status: 3, Value: (-0.0234375,-0.0078125,0.01953125)},Magnetic: {Time: 1486, Status: 2, Value: (-1.0625,-17.0625,-37.625)},Gravity: {Time: 1509, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 1552, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.01922607421875)}}
0:00:01.706857: {Acceleration: {Time: 1643, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1652, Status: 3, Value: (-0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 1612, Status: 2, Value: (-0.4375,-15.125,-37.0625)},Gravity: {Time: 1649, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 1645, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.769416: {Acceleration: {Time: 1724, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1708, Status: 3, Value: (0.0234375,-0.046875,0.01953125)},Magnetic: {Time: 1711, Status: 2, Value: (-1.25,-16.25,-36.75)},Gravity: {Time: 1693, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 1719, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.879504: {Acceleration: {Time: 1815, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1823, Status: 3, Value: (0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 1756, Status: 2, Value: (-0.375,-14.75,-36.1875)},Gravity: {Time: 1821, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 1817, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:01.973293: {Acceleration: {Time: 1919, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1890, Status: 3, Value: (0.0234375,0.0,-0.01953125)},Magnetic: {Time: 1893, Status: 2, Value: (-1.1875,-15.875,-36.75)},Gravity: {Time: 1888, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 1923, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:02.083240: {Acceleration: {Time: 2014, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2023, Status: 3, Value: (0.0234375,0.0,-0.01953125)},Magnetic: {Time: 1957, Status: 2, Value: (-1.5,-16.25,-36.375)},Gravity: {Time: 2020, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 2016, Status: 2, Value: (0.01873779296875,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:02.161161: {Acceleration: {Time: 2113, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2105, Status: 3, Value: (-0.015625,0.0,0.01953125)},Magnetic: {Time: 2109, Status: 2, Value: (-1.25,-16.9375,-35.5625)},Gravity: {Time: 2102, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 2115, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.0191650390625)}}
0:00:02.272063: {Acceleration: {Time: 2215, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2175, Status: 3, Value: (-0.015625,0.0,-0.01953125)},Magnetic: {Time: 2177, Status: 2, Value: (-1.5625,-15.9375,-36.75)},Gravity: {Time: 2172, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 2209, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.366588: {Acceleration: {Time: 2309, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2274, Status: 3, Value: (-0.015625,0.0,0.01953125)},Magnetic: {Time: 2247, Status: 2, Value: (-1.1875,-14.9375,-37.9375)},Gravity: {Time: 2270, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 2313, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.429127: {Acceleration: {Time: 2384, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2369, Status: 3, Value: (-0.015625,-0.0390625,-0.01953125)},Magnetic: {Time: 2372, Status: 2, Value: (-1.3125,-16.0,-38.0)},Gravity: {Time: 2354, Status: 3, Value: (0.359375,0.078125,9.7109375)}, Rotation: {Time: 2380, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.538976: {Acceleration: {Time: 2485, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2455, Status: 3, Value: (-0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 2470, Status: 2, Value: (-1.5,-16.5625,-35.1875)},Gravity: {Time: 2453, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 2487, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.633287: {Acceleration: {Time: 2585, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2571, Status: 3, Value: (-0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 2574, Status: 2, Value: (-1.1875,-15.875,-36.3125)},Gravity: {Time: 2556, Status: 3, Value: (0.359375,0.0859375,9.7109375)}, Rotation: {Time: 2581, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.743174: {Acceleration: {Time: 2684, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2644, Status: 3, Value: (0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 2619, Status: 2, Value: (-1.1875,-15.1875,-37.125)},Gravity: {Time: 2686, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 2679, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.01910400390625)}}
0:00:02.837327: {Acceleration: {Time: 2775, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2784, Status: 3, Value: (0.015625,-0.0078125,0.01953125)},Magnetic: {Time: 2718, Status: 2, Value: (-0.4375,-15.4375,-36.625)},Gravity: {Time: 2781, Status: 3, Value: (0.3671875,0.0859375,9.7109375)}, Rotation: {Time: 2777, Status: 2, Value: (0.0186767578125,0.00384521484375,0.9996337890625, 0.0191650390625)}}
