0:00:01.304021 {Acceleration: {Time: 1216, Status: 0, Value: (-0.00390625,-0.029296875,-0.005859375)},Gyroscope: {Time: 1221, Status: 3, Value: (0.3671875,-0.12109375,-0.4375)},Magnetic: {Time: 1184, Status: 1, Value: (8.625,2.4375,-27.75)},Gravity: {Time: 1219, Status: 3, Value: (-0.1015625,0.1875,9.890625)}, Rotation: {Time: 1212, Status: 0, Value: (0.0052490234375,0.0072021484375,0.6214599609375, 0.78338623046875)}}
0:00:01.382565 {Acceleration: {Time: 1308, Status: 0, Value: (0.021484375,0.02734375,-0.001953125)},Gyroscope: {Time: 1292, Status: 3, Value: (-0.0546875,-0.015625,0.56640625)},Magnetic: {Time: 1296, Status: 1, Value: (8.0,2.375,-28.1875)},Gravity: {Time: 1265, Status: 3, Value: (-0.1015625,0.1953125,9.8828125)}, Rotation: {Time: 1302, Status: 0, Value: (0.005126953125,0.00726318359375,0.62139892578125, 0.783447265625)}}
0:00:01.460757 {Acceleration: {Time: 1383, Status: 0, Value: (-0.017578125,-0.015625,-0.001953125)},Gyroscope: {Time: 1292, Status: 3, Value: (-0.0546875,-0.015625,0.56640625)},Magnetic: {Time: 1346, Status: 1, Value: (8.625,2.0,-27.8125)},Gravity: {Time: 1338, Status: 3, Value: (-0.1015625,0.1875,9.8828125)}, Rotation: {Time: 1379, Status: 0, Value: (0.00506591796875,0.00738525390625,0.621337890625, 0.783447265625)}}
0:00:01.586471 {Acceleration: {Time: 1505, Status: 0, Value: (0.0078125,-0.0390625,-0.001953125)},Gyroscope: {Time: 1458, Status: 3, Value: (0.55859375,-0.16796875,-1.01171875)},Magnetic: {Time: 1500, Status: 1, Value: (8.0,2.375,-28.5625)},Gravity: {Time: 1495, Status: 3, Value: (-0.1015625,0.1875,9.8828125)}, Rotation: {Time: 1508, Status: 0, Value: (0.00506591796875,0.00726318359375,0.62139892578125, 0.783447265625)}}
0:00:01.665121 {Acceleration: {Time: 1588, Status: 0, Value: (0.001953125,-0.025390625,-0.001953125)},Gyroscope: {Time: 1583, Status: 3, Value: (-0.375,0.109375,0.40625)},Magnetic: {Time: 1541, Status: 1, Value: (7.25,1.625,-27.0625)},Gravity: {Time: 1595, Status: 3, Value: (-0.0859375,0.1875,9.890625)}, Rotation: {Time: 1590, Status: 0, Value: (0.00518798828125,0.00714111328125,0.6214599609375, 0.78338623046875)}}
0:00:01.758903 {Acceleration: {Time: 1679, Status: 0, Value: (0.0078125,0.03125,-0.001953125)},Gyroscope: {Time: 1672, Status: 3, Value: (0.4609375,-0.19921875,-0.28125)},Magnetic: {Time: 1676, Status: 1, Value: (8.0,1.1875,-28.3125)},Gravity: {Time: 1595, Status: 3, Value: (-0.0859375,0.1875,9.890625)}, Rotation: {Time: 1682, Status: 0, Value: (0.0052490234375,0.0072021484375,0.6214599609375, 0.783447265625)}}
0:00:01.853223 {Acceleration: {Time: 1768, Status: 0, Value: (-0.025390625,-0.03125,0.0)},Gyroscope: {Time: 1757, Status: 3, Value: (-0.15234375,0.1484375,0.0234375)},Magnetic: {Time: 1718, Status: 1, Value: (8.3125,1.9375,-29.0625)},Gravity: {Time: 1711, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 1762, Status: 0, Value: (0.0052490234375,0.00732421875,0.62139892578125, 0.783447265625)}}
0:00:01.932099 {Acceleration: {Time: 1859, Status: 0, Value: (-0.005859375,0.0234375,-0.00390625)},Gyroscope: {Time: 1757, Status: 3, Value: (-0.15234375,0.1484375,0.0234375)},Magnetic: {Time: 1847, Status: 1, Value: (8.0,4.375,-26.875)},Gravity: {Time: 1844, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 1854, Status: 0, Value: (0.0052490234375,0.00726318359375,0.621337890625, 0.78350830078125)}}
0:00:02.026354 {Acceleration: {Time: 1942, Status: 0, Value: (-0.021484375,0.005859375,0.005859375)},Gyroscope: {Time: 1938, Status: 3, Value: (0.265625,0.03125,-1.1640625)},Magnetic: {Time: 1899, Status: 1, Value: (7.625,1.625,-27.8125)},Gravity: {Time: 1949, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 1945, Status: 0, Value: (0.00531005859375,0.00738525390625,0.621337890625, 0.78350830078125)}}
0:00:02.105013 {Acceleration: {Time: 2030, Status: 0, Value: (0.009765625,0.015625,-0.001953125)},Gyroscope: {Time: 2024, Status: 3, Value: (0.54296875,-0.16015625,-1.23828125)},Magnetic: {Time: 2028, Status: 1, Value: (8.3125,3.125,-27.75)},Gravity: {Time: 1949, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 2032, Status: 0, Value: (0.005126953125,0.007568359375,0.621337890625, 0.78350830078125)}}
0:00:02.230581 {Acceleration: {Time: 2160, Status: 0, Value: (-0.01953125,-0.03515625,-0.001953125)},Gyroscope: {Time: 2149, Status: 3, Value: (0.4609375,-0.11328125,-1.1640625)},Magnetic: {Time: 2028, Status: 1, Value: (8.3125,3.125,-27.75)},Gravity: {Time: 1949, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 2155, Status: 0, Value: (0.00506591796875,0.00762939453125,0.62139892578125, 0.783447265625)}}
0:00:02.309147 {Acceleration: {Time: 2242, Status: 0, Value: (-0.04296875,-0.033203125,0.005859375)},Gyroscope: {Time: 2236, Status: 3, Value: (-0.54296875,0.15625,0.9609375)},Magnetic: {Time: 2239, Status: 1, Value: (8.6875,4.75,-27.6875)},Gravity: {Time: 2204, Status: 3, Value: (-0.0703125,0.1796875,9.8828125)}, Rotation: {Time: 2245, Status: 0, Value: (0.00506591796875,0.0074462890625,0.621337890625, 0.783447265625)}}
0:00:02.403452 {Acceleration: {Time: 2321, Status: 0, Value: (-0.0234375,-0.0234375,-0.005859375)},Gyroscope: {Time: 2315, Status: 3, Value: (0.0234375,0.0,0.31640625)},Magnetic: {Time: 2318, Status: 1, Value: (7.625,1.1875,-27.9375)},Gravity: {Time: 2328, Status: 3, Value: (-0.0625,0.1875,9.8671875)}, Rotation: {Time: 2323, Status: 0, Value: (0.00518798828125,0.00762939453125,0.621337890625, 0.783447265625)}}
0:00:02.481926 {Acceleration: {Time: 2409, Status: 0, Value: (-0.009765625,-0.00390625,-0.001953125)},Gyroscope: {Time: 2403, Status: 3, Value: (0.55859375,-0.11328125,-1.1015625)},Magnetic: {Time: 2405, Status: 1, Value: (8.6875,3.125,-28.1875)},Gravity: {Time: 2328, Status: 3, Value: (-0.0625,0.1875,9.8671875)}, Rotation: {Time: 2412, Status: 0, Value: (0.00506591796875,0.00762939453125,0.621337890625, 0.783447265625)}}
0:00:02.607603 {Acceleration: {Time: 2524, Status: 0, Value: (0.0,0.01171875,-0.00390625)},Gyroscope: {Time: 2517, Status: 3, Value: (-0.29296875,0.078125,0.9375)},Magnetic: {Time: 2520, Status: 1, Value: (8.6875,3.125,-28.1875)},Gravity: {Time: 2442, Status: 3, Value: (-0.0625,0.1796875,9.8671875)}, Rotation: {Time: 2526, Status: 0, Value: (0.005126953125,0.00750732421875,0.621337890625, 0.78350830078125)}}
0:00:02.686064 {Acceleration: {Time: 2609, Status: 0, Value: (-0.037109375,-0.048828125,-0.001953125)},Gyroscope: {Time: 2602, Status: 3, Value: (0.3984375,-0.06640625,-1.24609375)},Magnetic: {Time: 2604, Status: 1, Value: (7.3125,0.3125,-28.6875)},Gravity: {Time: 2442, Status: 3, Value: (-0.0625,0.1796875,9.8671875)}, Rotation: {Time: 2611, Status: 0, Value: (0.00518798828125,0.00732421875,0.621337890625, 0.78350830078125)}}
0:00:02.764191 {Acceleration: {Time: 2690, Status: 0, Value: (-0.017578125,-0.048828125,-0.00390625)},Gyroscope: {Time: 2680, Status: 3, Value: (0.421875,-0.14453125,-0.08984375)},Magnetic: {Time: 2685, Status: 1, Value: (7.625,2.0,-27.8125)},Gravity: {Time: 2653, Status: 3, Value: (-0.0390625,0.171875,9.8515625)}, Rotation: {Time: 2692, Status: 0, Value: (0.0052490234375,0.0067138671875,0.621337890625, 0.78350830078125)}}
0:00:02.890088 {Acceleration: {Time: 2805, Status: 0, Value: (0.015625,0.02734375,0.01171875)},Gyroscope: {Time: 2799, Status: 3, Value: (0.05859375,0.015625,0.1875)},Magnetic: {Time: 2802, Status: 1, Value: (8.625,1.5625,-28.25)},Gravity: {Time: 2796, Status: 3, Value: (-0.0234375,0.1640625,9.84375)}, Rotation: {Time: 2809, Status: 0, Value: (0.00555419921875,0.006591796875,0.62127685546875, 0.78350830078125)}}
0:00:02.968846 {Acceleration: {Time: 2890, Status: 0, Value: (0.013671875,0.0,0.0)},Gyroscope: {Time: 2880, Status: 3, Value: (-0.3984375,0.015625,0.37890625)},Magnetic: {Time: 2886, Status: 1, Value: (8.6875,4.4375,-26.4375)},Gravity: {Time: 2852, Status: 3, Value: (-0.0234375,0.1640625,9.84375)}, Rotation: {Time: 2892, Status: 0, Value: (0.0054931640625,0.00653076171875,0.6212158203125, 0.7835693359375)}}
