0:00:04.404825: Frequency: 0.0, Amplitude: 0.5333070158958435, Offset: 92.21685791015625, Phase Shift: 0.0, Phase: 38601.5546875
0:00:04.480806: Frequency: 0.0, Amplitude: 0.4960917830467224, Offset: 92.13883209228516, Phase Shift: 0.0, Phase: 38602.00390625
0:00:04.577017: Frequency: 0.0, Amplitude: 0.4485522508621216, Offset: 92.03466033935547, Phase Shift: 0.0, Phase: 38602.62890625
0:00:04.674990: Frequency: 0.0, Amplitude: 0.4076484739780426, Offset: 91.94046783447266, Phase Shift: 0.0, Phase: 38603.21875
0:00:04.772062: Frequency: 0.0, Amplitude: 0.3689623177051544, Offset: 91.8469009399414, Phase Shift: 0.0, Phase: 38603.8359375
0:00:04.879056: Frequency: 0.0, Amplitude: 0.3336053490638733, Offset: 91.75695037841797, Phase Shift: 0.0, Phase: 38604.4609375
0:00:04.997803: Frequency: 0.0, Amplitude: 0.2956031262874603, Offset: 91.6546630859375, Phase Shift: 0.0, Phase: 38605.20703125
0:00:05.067279: Frequency: 0.0, Amplitude: 0.2703438401222229, Offset: 91.58292388916016, Phase Shift: 0.0, Phase: 38605.7578125
0:00:05.163253: Frequency: 0.0, Amplitude: 0.24851500988006592, Offset: 91.51812744140625, Phase Shift: 0.0, Phase: 38606.27734375
0:00:05.264468: Frequency: 0.0, Amplitude: 0.22137154638767242, Offset: 91.43341827392578, Phase Shift: 0.0, Phase: 38606.9921875
0:00:05.375491: Frequency: 0.0, Amplitude: 0.20098893344402313, Offset: 91.36637878417969, Phase Shift: 0.0, Phase: 38607.5859375
0:00:05.444037: Frequency: 0.0, Amplitude: 0.18676836788654327, Offset: 91.31761169433594, Phase Shift: 0.0, Phase: 38608.0390625
0:00:05.537586: Frequency: 0.0, Amplitude: 0.1688728928565979, Offset: 91.25344848632812, Phase Shift: 0.0, Phase: 38608.66015625
0:00:05.664044: Frequency: 0.0, Amplitude: 0.14917585253715515, Offset: 91.1786880493164, Phase Shift: 0.0, Phase: 38609.42578125
0:00:05.764472: Frequency: 0.0, Amplitude: 0.13502301275730133, Offset: 91.12185668945312, Phase Shift: 0.0, Phase: 38610.0390625
0:00:05.831852: Frequency: 0.0, Amplitude: 0.1253405213356018, Offset: 91.0812759399414, Phase Shift: 0.0, Phase: 38610.49609375
0:00:05.931242: Frequency: 0.0, Amplitude: 0.11344913393259048, Offset: 91.02913665771484, Phase Shift: 0.0, Phase: 38611.11328125
0:00:06.015306: Frequency: 0.0, Amplitude: 0.10321071743965149, Offset: 90.98198699951172, Phase Shift: 0.0, Phase: 38611.69921875
0:00:06.113358: Frequency: 0.0, Amplitude: 0.09517044574022293, Offset: 90.94322967529297, Phase Shift: 0.0, Phase: 38612.203125
0:00:06.235048: Frequency: 0.0, Amplitude: 0.08364327996969223, Offset: 90.88473510742188, Phase Shift: 0.0, Phase: 38613.00390625
0:00:06.314153: Frequency: 0.0, Amplitude: 0.07681205123662949, Offset: 90.84809112548828, Phase Shift: 0.0, Phase: 38613.53125
0:00:06.414276: Frequency: 0.0, Amplitude: 0.06988410651683807, Offset: 90.80924987792969, Phase Shift: 0.0, Phase: 38614.11328125
0:00:06.501371: Frequency: 0.0, Amplitude: 0.06338348984718323, Offset: 90.77101135253906, Phase Shift: 0.0, Phase: 38614.71484375
0:00:06.571833: Frequency: 0.0, Amplitude: 0.05908355489373207, Offset: 90.74463653564453, Phase Shift: 0.0, Phase: 38615.1484375
0:00:06.674361: Frequency: 0.0, Amplitude: 0.0534764789044857, Offset: 90.70872497558594, Phase Shift: 0.0, Phase: 38615.765625
0:00:06.763202: Frequency: 0.0, Amplitude: 0.04885664954781532, Offset: 90.67765045166016, Phase Shift: 0.0, Phase: 38616.32421875
0:00:06.873869: Frequency: 0.0, Amplitude: 0.04365481063723564, Offset: 90.64082336425781, Phase Shift: 0.0, Phase: 38617.01953125
0:00:06.980701: Frequency: 0.0, Amplitude: 0.03888174146413803, Offset: 90.60504150390625, Phase Shift: 0.0, Phase: 38617.73828125
0:00:07.074173: Frequency: 0.0, Amplitude: 0.03526545315980911, Offset: 90.57645416259766, Phase Shift: 0.0, Phase: 38618.33984375
0:00:07.163306: Frequency: 0.0, Amplitude: 0.032769788056612015, Offset: 90.55587768554688, Phase Shift: 0.0, Phase: 38618.79296875
0:00:07.253672: Frequency: 0.0, Amplitude: 0.029660798609256744, Offset: 90.5290756225586, Phase Shift: 0.0, Phase: 38619.40625
0:00:07.350602: Frequency: 0.0, Amplitude: 0.026846079155802727, Offset: 90.50357055664062, Phase Shift: 0.0, Phase: 38620.0234375
0:00:07.448808: Frequency: 0.0, Amplitude: 0.02447611838579178, Offset: 90.48100280761719, Phase Shift: 0.0, Phase: 38620.59375
0:00:07.532050: Frequency: 0.0, Amplitude: 0.022222165018320084, Offset: 90.45851135253906, Phase Shift: 0.0, Phase: 38621.19140625
0:00:07.614385: Frequency: 0.0, Amplitude: 0.02011326514184475, Offset: 90.4364013671875, Phase Shift: 0.0, Phase: 38621.80859375
