0:00:01.442872: {Acceleration: {Time: 1415, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1407, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 1409, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 1403, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1417, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3883056640625, 0.92138671875)}}
0:00:01.531402: {Acceleration: {Time: 1497, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 1506, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 1464, Status: 1, Value: (-29.875,27.5625,-15.5625)},Gravity: {Time: 1503, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 1499, Status: 0, Value: (-0.01483154296875,-0.00299072265625,-0.3883056640625, 0.92138671875)}}
0:00:01.628973: {Acceleration: {Time: 1600, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 1565, Status: 3, Value: (0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 1539, Status: 1, Value: (-30.375,29.25,-15.8125)},Gravity: {Time: 1561, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 1603, Status: 0, Value: (-0.01483154296875,-0.00299072265625,-0.3883056640625, 0.92138671875)}}
0:00:01.740935: {Acceleration: {Time: 1713, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1688, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 1702, Status: 1, Value: (-30.125,28.9375,-14.375)},Gravity: {Time: 1686, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 1715, Status: 0, Value: (-0.0145263671875,-0.00311279296875,-0.38836669921875, 0.92138671875)}}
0:00:01.827485: {Acceleration: {Time: 1802, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1788, Status: 3, Value: (0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 1792, Status: 1, Value: (-29.375,27.75,-16.375)},Gravity: {Time: 1774, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1798, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:01.933630: {Acceleration: {Time: 1900, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1908, Status: 3, Value: (-0.01953125,0.05078125,0.01171875)},Magnetic: {Time: 1850, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 1906, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1903, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:02.031058: {Acceleration: {Time: 1997, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2006, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 1941, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 2002, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 1999, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:02.121691: {Acceleration: {Time: 2094, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2087, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 2090, Status: 1, Value: (-29.8125,27.5625,-15.9375)},Gravity: {Time: 2084, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2096, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:02.237600: {Acceleration: {Time: 2210, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2173, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 2176, Status: 1, Value: (-29.6875,29.5625,-14.6875)},Gravity: {Time: 2212, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 2206, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
0:00:02.351622: {Acceleration: {Time: 2316, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2326, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 2310, Status: 1, Value: (-28.6875,28.4375,-15.6875)},Gravity: {Time: 2324, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 2319, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38836669921875, 0.92138671875)}}
