0:00:01.272567: {Acceleration: {Time: 1222, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1231, Status: 3, Value: (0.0,0.0,0.00390625)},Magnetic: {Time: 1168, Status: 0, Value: (-3.25,3.25,-34.0)},Gravity: {Time: 1227, Status: 3, Value: (0.34375,-0.4609375,9.7265625)}, Rotation: {Time: 1224, Status: 0, Value: (-0.0230712890625,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.367148: {Acceleration: {Time: 1325, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1286, Status: 3, Value: (0.0,0.0,0.00390625)},Magnetic: {Time: 1289, Status: 0, Value: (-2.875,4.0,-34.375)},Gravity: {Time: 1272, Status: 3, Value: (0.34375,-0.4609375,9.7265625)}, Rotation: {Time: 1327, Status: 0, Value: (-0.0230712890625,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.462017: {Acceleration: {Time: 1420, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1412, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 1414, Status: 0, Value: (-2.875,1.4375,-32.8125)},Gravity: {Time: 1409, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1422, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.573602: {Acceleration: {Time: 1519, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1481, Status: 3, Value: (0.0,0.0,0.00390625)},Magnetic: {Time: 1485, Status: 0, Value: (-2.1875,2.5625,-34.0)},Gravity: {Time: 1478, Status: 3, Value: (0.34375,-0.4609375,9.7265625)}, Rotation: {Time: 1516, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.653588: {Acceleration: {Time: 1610, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1603, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 1606, Status: 0, Value: (-3.25,2.875,-33.625)},Gravity: {Time: 1599, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1613, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.763500: {Acceleration: {Time: 1704, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1671, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 1674, Status: 0, Value: (-3.25,4.375,-34.0)},Gravity: {Time: 1710, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1706, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.842531: {Acceleration: {Time: 1798, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1793, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 1795, Status: 0, Value: (-2.5625,2.5625,-32.8125)},Gravity: {Time: 1789, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1802, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:01.952136: {Acceleration: {Time: 1893, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1902, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 1865, Status: 0, Value: (-4.0,1.8125,-33.1875)},Gravity: {Time: 1898, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1895, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.031763: {Acceleration: {Time: 1990, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1983, Status: 3, Value: (0.0,0.03125,0.00390625)},Magnetic: {Time: 1985, Status: 0, Value: (-2.5625,2.5625,-34.375)},Gravity: {Time: 1980, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 1992, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.142506: {Acceleration: {Time: 2089, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2052, Status: 3, Value: (0.0,-0.015625,0.00390625)},Magnetic: {Time: 2055, Status: 0, Value: (-3.625,2.875,-34.0)},Gravity: {Time: 2048, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 2086, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:02.238100: {Acceleration: {Time: 2187, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2150, Status: 3, Value: (0.0,-0.015625,-0.03515625)},Magnetic: {Time: 2153, Status: 0, Value: (-2.1875,2.5625,-34.375)},Gravity: {Time: 2147, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 2189, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
