0:00:01.339865 {Acceleration: {Time: 1300, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1310, Status: 3, Value: (0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 1272, Status: 1, Value: (-30.3125,28.875,-16.0)},Gravity: {Time: 1306, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1303, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.431248 {Acceleration: {Time: 1399, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1391, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 1394, Status: 1, Value: (-29.3125,28.0625,-16.9375)},Gravity: {Time: 1388, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 1401, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.545791 {Acceleration: {Time: 1513, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1485, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 1499, Status: 1, Value: (-29.9375,29.8125,-16.3125)},Gravity: {Time: 1483, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1516, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.629018 {Acceleration: {Time: 1591, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1599, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 1538, Status: 1, Value: (-29.75,28.4375,-16.8125)},Gravity: {Time: 1596, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1593, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.744686 {Acceleration: {Time: 1712, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1673, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 1676, Status: 1, Value: (-30.3125,28.5625,-15.5625)},Gravity: {Time: 1659, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1715, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.859121 {Acceleration: {Time: 1826, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1800, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 1814, Status: 1, Value: (-29.5,28.8125,-16.0625)},Gravity: {Time: 1797, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 1829, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:01.945425 {Acceleration: {Time: 1913, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1878, Status: 3, Value: (-0.00390625,0.02734375,0.01171875)},Magnetic: {Time: 1881, Status: 1, Value: (-29.75,28.4375,-16.8125)},Gravity: {Time: 1916, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1908, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:02.041734 {Acceleration: {Time: 2012, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 1983, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 1997, Status: 1, Value: (-30.25,29.4375,-16.75)},Gravity: {Time: 1981, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 2008, Status: 0, Value: (-0.015380859375,-0.0025634765625,-0.38873291015625, 0.92120361328125)}}
0:00:02.140421 {Acceleration: {Time: 2107, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2070, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 2044, Status: 1, Value: (-29.8125,28.125,-16.4375)},Gravity: {Time: 2067, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 2111, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.38873291015625, 0.92120361328125)}}
0:00:02.257815 {Acceleration: {Time: 2226, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 2215, Status: 3, Value: (-0.00390625,-0.01953125,-0.02734375)},Magnetic: {Time: 2218, Status: 1, Value: (-29.9375,28.5,-15.6875)},Gravity: {Time: 2201, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 2228, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.3887939453125, 0.92120361328125)}}
0:00:02.343131 {Acceleration: {Time: 2311, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 2285, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 2299, Status: 1, Value: (-30.3125,29.1875,-16.375)},Gravity: {Time: 2283, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2314, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.3887939453125, 0.92120361328125)}}
0:00:02.456672 {Acceleration: {Time: 2425, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 2398, Status: 3, Value: (-0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 2412, Status: 1, Value: (-29.625,30.125,-15.5625)},Gravity: {Time: 2396, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2427, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.38885498046875, 0.921142578125)}}
0:00:02.540868 {Acceleration: {Time: 2512, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 2501, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 2504, Status: 1, Value: (-30.4375,29.25,-15.1875)},Gravity: {Time: 2497, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2506, Status: 0, Value: (-0.01531982421875,-0.0025634765625,-0.38885498046875, 0.921142578125)}}
