0:00:01.355061: {Acceleration: {Time: 1309, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1318, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 1278, Status: 1, Value: (-29.0,27.75,-16.0625)},Gravity: {Time: 1315, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1311, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.455771: {Acceleration: {Time: 1410, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1419, Status: 3, Value: (-0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 1382, Status: 1, Value: (-29.5,29.125,-15.9375)},Gravity: {Time: 1416, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 1412, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.546602: {Acceleration: {Time: 1507, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1500, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1503, Status: 1, Value: (-29.875,28.5,-15.9375)},Gravity: {Time: 1496, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1510, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
0:00:01.662487: {Acceleration: {Time: 1626, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1569, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1583, Status: 1, Value: (-29.5625,28.1875,-15.25)},Gravity: {Time: 1566, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1623, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
0:00:01.750065: {Acceleration: {Time: 1711, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1684, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 1698, Status: 1, Value: (-29.9375,28.875,-15.5625)},Gravity: {Time: 1682, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 1713, Status: 0, Value: (-0.0152587890625,-0.0028076171875,-0.39093017578125, 0.9202880859375)}}
0:00:01.862686: {Acceleration: {Time: 1826, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1817, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 1821, Status: 1, Value: (-30.5625,29.625,-14.625)},Gravity: {Time: 1814, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1823, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:01.971063: {Acceleration: {Time: 1932, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1910, Status: 3, Value: (-0.00390625,0.01953125,0.01171875)},Magnetic: {Time: 1912, Status: 1, Value: (-29.9375,28.1875,-15.1875)},Gravity: {Time: 1906, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 1926, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.059671: {Acceleration: {Time: 2021, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1993, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 2007, Status: 1, Value: (-29.25,29.5,-15.1875)},Gravity: {Time: 1991, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2023, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.174700: {Acceleration: {Time: 2135, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2109, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 2123, Status: 1, Value: (-28.0,29.375,-15.75)},Gravity: {Time: 2106, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2138, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
0:00:02.261209: {Acceleration: {Time: 2223, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2158, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 2162, Status: 1, Value: (-29.6875,29.5625,-14.6875)},Gravity: {Time: 2155, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 2225, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.39093017578125, 0.9202880859375)}}
